idx,sentence,pos,DT,ADJ,NUMERAL,NOUN
1127488,a further 27 goals,ARTICLE JJ CD NNS,a,further,27,goals
1139340,an estimated 90 German soldiers,ARTICLE VBN CD JJ NNS,an,estimated,90,German soldiers
1145432,a career - high 39 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,39,points
1148433,a cold few days,ARTICLE JJ FEW NNS,a,cold,few,days
1149912,a further 25 dependent translators,ARTICLE JJR CD JJ NNS,a,further,25,dependent translators
1152914,An estimated five million people,ARTICLE VBN CD CD NNS,An,estimated,five million,people
1155432,an extra four packets,ARTICLE JJ CD NNS,an,extra,four,packets
1156125,a further three years,ARTICLE JJ CD NNS,a,further,three,years
1159094,an additional 300 men,ARTICLE JJ CD NNS,an,additional,300,men
1166495,a broken leg and two or three bullets,ARTICLE VBN NN CC CD CC CD NNS,a,broken leg and,two or three,bullets
1177119,a last few words,ARTICLE JJ FEW NNS,a,last,few,words
1177730,a further four victories,ARTICLE JJ CD NNS,a,further,four,victories
1177744,a further three victories,ARTICLE JJ CD NNS,a,further,three,victories
1180348,a grueling 10 - round points,ARTICLE JJ CD HYPH NN NNS,a,grueling,10 -,round points
1180786,a possible four stars,ARTICLE JJ CD NNS,a,possible,four,stars
1184006,a further 13 victories,ARTICLE JJ CD NNS,a,further,13,victories
1189492,a similar project several years,ARTICLE JJ NN FEW NNS,a,similar project,several,years
1191070,a tough final two years,ARTICLE JJ JJ CD NNS,a,tough final,two,years
1193835,"an additional 20,000 people",ARTICLE JJ CD NNS,an,additional,"20,000",people
1196176,a further 36 hectares,ARTICLE JJR CD NNS,a,further,36,hectares
1200004,an extra twenty eight days,ARTICLE JJ CD CD NNS,an,extra,twenty eight,days
1200028,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
1205026,a white blaze and three white feet,ARTICLE JJ NN CC CD JJ NNS,a,white blaze and,three,white feet
1209325,"a record 78–76 , 30 games","ARTICLE RECORD CD , CD NNS",a,record,"78–76 , 30",games
1210569,a career - high and franchise record 525 passing yards,ARTICLE NN HYPH NN CC NN RECORD CD NN NNS,a,career - high and franchise record,525,passing yards
1218790,a good 25 pounds,ARTICLE JJ CD NNS,a,good,25,pounds
1219318,a great many days,ARTICLE JJ FEW NNS,a,great,many,days
1220924,a good many times,ARTICLE JJ FEW NNS,a,good,many,times
1221481,A good many thoughts,ARTICLE JJ FEW NNS,A,good,many,thoughts
1223015,a further two and a half lengths,ARTICLE JJ CD CC ARTICLE NN NNS,a,,two and,a half lengths
1225595,a further three lengths,ARTICLE JJ CD NNS,a,further,three,lengths
1226354,a good many little scenes,ARTICLE JJ FEW JJ NNS,a,good,many,little scenes
1227520,an improvised speech several hours,ARTICLE VBN NN FEW NNS,an,improvised speech,several,hours
1232712,a good many cries,ARTICLE JJ FEW NNS,a,good,many,cries
1238708,a combined five times,ARTICLE VBN CD NNS,a,combined,five,times
1240447,a large arena and many people,ARTICLE JJ NN CC FEW NNS,a,large arena and,many,people
1243449,"an additional 4,000 seats",ARTICLE JJ CD NNS,an,additional,"4,000",seats
1247908,a positive ten pounds,ARTICLE JJ CD NNS,a,positive,ten,pounds
1248622,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1249753,a further 21 appearances,ARTICLE JJ CD NNS,a,further,21,appearances
1250299,a career - high 44 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,44,tackles
1251794,a further two months,ARTICLE JJ CD NNS,a,further,two,months
1252512,A good few years,ARTICLE JJ FEW NNS,A,good,few,years
1252921,a good many comforts,ARTICLE JJ FEW NNS,a,good,many,comforts
1256782,an American ship and three British ships,ARTICLE JJ NN CC CD JJ NNS,an,American ship and,three,British ships
1257167,a good 20 minutes,ARTICLE JJ CD NNS,a,good,20,minutes
1257272,a good ten minutes,ARTICLE JJ CD NNS,a,good,ten,minutes
1257647,a small town 16 kilometers,ARTICLE JJ NN CD NNS,a,small town,16,kilometers
1260656,a good many little gifts,ARTICLE JJ FEW JJ NNS,a,good,many,little gifts
1263094,a good many bitter tears,ARTICLE JJ FEW JJ NNS,a,good,many,bitter tears
1263995,an awful three years,ARTICLE JJ CD NNS,an,awful,three,years
1264078,a white star three times,ARTICLE JJ NN CD NNS,a,white star,three,times
1264321,"an estimated 2,998,235 people",ARTICLE VBN CD NNS,an,estimated,"2,998,235",people
1266036,an extra three laps,ARTICLE JJ CD NNS,an,extra,three,laps
1266128,a record 15 cautions,ARTICLE RECORD CD NNS,a,record,15,cautions
1266185,a record 140 laps,ARTICLE RECORD CD NNS,a,record,140,laps
1267577,a scheduled flight four times,ARTICLE VBN NN CD NNS,a,scheduled flight,four,times
1270300,A deep trench 3×5 metres,ARTICLE JJ NN CD NNS,A,deep trench,3×5,metres
1270302,a single room 8×3 metres,ARTICLE JJ NN CD NNS,a,single room,8×3,metres
1271309,a single character or two characters,ARTICLE JJ NN CC CD NNS,a,single character or,two,characters
1279650,"an estimated 700,000 apple trees",ARTICLE VBN CD NN NNS,an,estimated,"700,000",apple trees
1287087,an additional 100 million tonnes,ARTICLE JJ CD CD NNS,an,additional,100 million,tonnes
1289407,"an expected 18,831 dwellings",ARTICLE JJ CD NNS,an,expected,"18,831",dwellings
1290643,"a broad , low gradient glacier 8 nautical miles","ARTICLE JJ , JJ NN NN CD JJ NNS",a,"broad , low gradient glacier",8,nautical miles
1292132,an intensive 20 hours,ARTICLE JJ CD NNS,an,intensive,20,hours
1292318,a total 1000 kW,ARTICLE JJ CD NNS,a,total,1000,kW
1292682,a narrow deeply entrenched glacier 9 nautical miles,ARTICLE JJ RB VBN NN CD JJ NNS,a,narrow deeply entrenched glacier,9,nautical miles
1292963,"a low , snow - covered promontory 7 nautical miles","ARTICLE JJ , NN HYPH VBN NN CD JJ NNS",a,"low , snow - covered promontory",7,nautical miles
1293042,a small ice escarpment 7 nautical miles,ARTICLE JJ NN NN CD JJ NNS,a,small ice escarpment,7,nautical miles
1295945,a small township 15 minutes,ARTICLE JJ NN CD NNS,a,small township,15,minutes
1297192,a good many hard times,ARTICLE JJ FEW JJ NNS,a,good,many,hard times
1297362,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends
1299445,a record 60 weeks,ARTICLE RECORD CD NNS,a,record,60,weeks
1299959,a career - best 16 goals,ARTICLE NN HYPH JJ CD NNS,a,career - best,16,goals
1305404,a combined two goals,ARTICLE VBN CD NNS,a,combined,two,goals
1307441,"a fine picture or two , a stand of flowers","ARTICLE JJ NN CC CD , ARTICLE NN IN NNS",a,,"two ,",a stand of flowers
1310978,a symmetrical three bays,ARTICLE JJ CD NNS,a,symmetrical,three,bays
1321965,a good many hard knocks,ARTICLE JJ FEW JJ NNS,a,good,many,hard knocks
1329914,a good 12 hours,ARTICLE JJ CD NNS,a,good,12,hours
1336876,"a perfect record , 16 wins","ARTICLE JJ RECORD , CD NNS",a,"perfect record ,",16,wins
1342394,a grim papa and three grimmer maiden aunts,ARTICLE JJ NN CC CD JJR NN NNS,a,grim papa and,three,grimmer maiden aunts
1345777,a very different document 24 years,ARTICLE RB JJ NN CD NNS,a,very different document,24,years
1346335,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1346381,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1347728,a modest 14 points,ARTICLE JJ CD NNS,a,modest,14,points
1351024,a good many miracles,ARTICLE JJ FEW NNS,a,good,many,miracles
1362853,a full seven minutes,ARTICLE JJ CD NNS,a,full,seven,minutes
1364520,an estimated two thirds,ARTICLE VBN CD NNS,an,estimated,two,thirds
1365758,an armored brigade commander and two regimental commanders,ARTICLE JJ NN NN CC CD JJ NNS,an,armored brigade commander and,two,regimental commanders
1366495,"a reported 150,000 prisoners",ARTICLE VBN CD NNS,a,reported,"150,000",prisoners
1369257,a full lectureship three years,ARTICLE JJ NN CD NNS,a,full lectureship,three,years
1377451,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
1384107,a combined 15 points,ARTICLE JJ CD NNS,a,combined,15,points
1385650,An estimated 80 % of schools,ARTICLE VBN CD NN IN NNS,An,estimated,80,% of schools
1391015,"an estimated 250,000 adherents",ARTICLE VBN CD NNS,an,estimated,"250,000",adherents
1398519,a brand new baby twenty years,ARTICLE RB JJ NN CD NNS,a,brand new baby,twenty,years
1399312,an estimated three years,ARTICLE VBN CD NNS,an,estimated,three,years
1404734,a good many fine ladies,ARTICLE JJ FEW JJ NNS,a,good,many,fine ladies
1407457,an estimated 70 million people,ARTICLE VBN CD CD NNS,an,estimated,70 million,people
1415853,a half dozen educational conferences,ARTICLE JJ FEW JJ NNS,a,half,dozen,educational conferences
1418995,an approximate 1.8 million people,ARTICLE JJ CD CD NNS,an,approximate,1.8 million,people
1421006,a half - billion dollars,ARTICLE JJ HYPH CD NNS,a,half -,billion,dollars
1422770,"an estimated 5,350 tons",ARTICLE VBN CD NNS,an,estimated,"5,350",tons
1424174,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
1426437,a simple two - axis,ARTICLE JJ CD HYPH NNS,a,simple,two -,axis
1428678,"a further 4,830 Germans",ARTICLE JJ CD NNPS,a,further,"4,830",Germans
1429064,a shared room or two separate rooms,ARTICLE VBN NN CC CD JJ NNS,a,shared room or,two,separate rooms
1437605,a further 35 partners,ARTICLE JJR CD NNS,a,further,35,partners
1448322,"An estimated 343,000 people",ARTICLE VBN CD NNS,An,estimated,"343,000",people
1449796,"an estimated 38,000 bushes",ARTICLE VBN CD NNS,an,estimated,"38,000",bushes
1452280,"an additional 53,300 cellular phones",ARTICLE JJ CD JJ NNS,an,additional,"53,300",cellular phones
1455166,"an estimated 4,560,000 viewers",ARTICLE VBN CD NNS,an,estimated,"4,560,000",viewers
1462528,an additional four primary schools,ARTICLE JJ CD JJ NNS,an,additional,four,primary schools
1468894,an additional six years,ARTICLE JJ CD NNS,an,additional,six,years
1474066,a select few bioreporters,ARTICLE JJ FEW NNS,a,select,few,bioreporters
1477206,a mere two hours,ARTICLE JJ CD NNS,a,mere,two,hours
1481999,a further two goals,ARTICLE JJ CD NNS,a,further,two,goals
1483274,a massive 26 weeks,ARTICLE JJ CD NNS,a,massive,26,weeks
1486939,a good seven minutes,ARTICLE JJ CD NNS,a,good,seven,minutes
1487488,a local nursing home eight days,ARTICLE JJ NN NN CD NNS,a,local nursing home,eight,days
1489449,a half hundred enthusiastic youngsters,ARTICLE JJ CD JJ NNS,a,half,hundred,enthusiastic youngsters
1493174,a cold deck three times,ARTICLE JJ NN CD NNS,a,cold deck,three,times
1495013,a combined 52 league appearances,ARTICLE VBN CD NN NNS,a,combined,52,league appearances
1495512,an additional 20 years,ARTICLE JJ CD NNS,an,additional,20,years
1495557,an additional 20 years,ARTICLE JJ CD NNS,an,additional,20,years
1502688,a great many flowers,ARTICLE JJ FEW NNS,a,great,many,flowers
1504424,an older brother and two younger sisters,ARTICLE JJR NN CC CD JJR NNS,an,older brother and,two,younger sisters
1505615,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1507775,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1507894,a reported 14 million dollars,ARTICLE JJ CD CD NNS,a,reported,14 million,dollars
1508563,a career - high 46 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - high,46,tackles
1510160,a minimum 40 trams,ARTICLE JJ CD NNS,a,minimum,40,trams
1515269,an additional 11 games,ARTICLE JJ CD NNS,an,additional,11,games
1517053,a record six times,ARTICLE RECORD CD NNS,a,record,six,times
1517486,a combined six awards,ARTICLE VBN CD NNS,a,combined,six,awards
1518069,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1519272,a good many years,ARTICLE JJ FEW NNS,a,good,many,years
1523311,an additional 58 branches,ARTICLE JJ CD NNS,an,additional,58,branches
1524746,a good many reasons,ARTICLE JJ FEW NNS,a,good,many,reasons
1528352,a half dozen oarsmen,ARTICLE JJ FEW NNS,a,half,dozen,oarsmen
1530493,a giant gold statue several stories,ARTICLE JJ NN NN FEW NNS,a,giant gold statue,several,stories
1530645,a record three times,ARTICLE RECORD CD NNS,a,record,three,times
1537251,a final twenty two bands,ARTICLE JJ CD CD NNS,a,final,twenty two,bands
1538017,a robust 92 years,ARTICLE JJ CD NNS,a,robust,92,years
1538209,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
1539664,a career - high 16.9 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,16.9,points
1539670,a career - best 17.6 points,ARTICLE NN HYPH JJ CD NNS,a,career - best,17.6,points
1539691,a season - high 26 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,26,points
1540683,a career - high 237 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,237,strikeouts
1550393,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
1551831,a good many more and worse disappointments,ARTICLE JJ FEW FEW CC JJR NNS,a,good,many more and,worse disappointments
1557201,a little bit more hands,ARTICLE JJ NN FEW NNS,a,little bit,more,hands
1558223,a record 22 confirmed championship defenses,ARTICLE RECORD CD VBN NN NNS,a,record,22,confirmed championship defenses
1564595,a full four years,ARTICLE JJ CD NNS,a,full,four,years
1568800,a scant three quarters,ARTICLE JJ CD NNS,a,scant,three,quarters
1571540,an optimum 30 degrees,ARTICLE JJ CD NNS,an,optimum,30,degrees
1572466,a chemical weapon- 1 t 's,ARTICLE JJ NN CD NN NNS,a,chemical weapon-,1,t 's
1574231,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
1575335,a mere five league wins,ARTICLE JJ CD NN NNS,a,mere,five,league wins
1575856,a further two years,ARTICLE JJ CD NNS,a,further,two,years
1577339,A good many plums,ARTICLE JJ FEW NNS,A,good,many,plums
1581586,a further two weeks,ARTICLE JJ CD NNS,a,further,two,weeks
1582467,"a naval fleet and 5,000 troops",ARTICLE JJ NN CC CD NNS,a,naval fleet and,"5,000",troops
1583842,A further 9 members,ARTICLE JJ CD NNS,A,further,9,members
1588567,a good two hours,ARTICLE JJ CD NNS,a,good,two,hours
1594815,a further several thousand planters,ARTICLE JJ FEW CD NNS,a,further,several thousand,planters
1598812,a possible ten years,ARTICLE JJ CD NNS,a,possible,ten,years
1599455,a combined five points,ARTICLE VBN CD NNS,a,combined,five,points
1600687,an astounding 1022 points,ARTICLE JJ CD NNS,an,astounding,1022,points
1601049,a little village 15 kilometres,ARTICLE JJ NN CD NNS,a,little village,15,kilometres
1606136,a team - record 71 points,ARTICLE NN HYPH RECORD CD NNS,a,team - record,71,points
1606843,a long time and 299 hotel rooms,ARTICLE JJ NN CC CD NN NNS,a,long time and,299,hotel rooms
1607332,an estimated 95 million people,ARTICLE VBN CD CD NNS,an,estimated,95 million,people
1607728,a combined 200 points,ARTICLE VBN CD NNS,a,combined,200,points
1608243,a franchise - high 252 goals,ARTICLE NN HYPH JJ CD NNS,a,franchise - high,252,goals
1609071,a club - low 726 penalty minutes,ARTICLE NN HYPH JJ CD NN NNS,a,club - low,726,penalty minutes
1609098,a league - high five players,ARTICLE NN HYPH JJ CD NNS,a,league - high,five,players
1613585,a planar structure and three - fold rotation axes,ARTICLE JJ NN CC CD HYPH JJ NN NNS,a,planar structure and,three -,fold rotation axes
1613896,an additional 30 years,ARTICLE JJ CD NNS,an,additional,30,years
1620198,an additional three awards,ARTICLE JJ CD NNS,an,additional,three,awards
1624687,a school - record 46 tackles,ARTICLE NN HYPH RECORD CD NNS,a,school - record,46,tackles
1628672,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
1634021,a further six appearances,ARTICLE JJ CD NNS,a,further,six,appearances
1638126,a busy two days,ARTICLE JJ CD NNS,a,busy,two,days
1639950,a further 10 years,ARTICLE JJR CD NNS,a,further,10,years
1641968,a giant whirlpool and four continents,ARTICLE JJ NN CC CD NNS,a,giant whirlpool and,four,continents
1643988,a bad ten minutes,ARTICLE JJ CD NNS,a,bad,ten,minutes
1644880,an unmatched 334 goals,ARTICLE JJ CD NNS,an,unmatched,334,goals
1648226,a mere two years,ARTICLE JJ CD NNS,a,mere,two,years
1651742,an additional eight seasons,ARTICLE JJ CD NNS,an,additional,eight,seasons
1652337,a scant four yards,ARTICLE JJ CD NNS,a,scant,four,yards
1655663,a much shorter version two years,ARTICLE RB JJR NN CD NNS,a,much shorter version,two,years
1657079,a decimal point two places,ARTICLE JJ NN CD NNS,a,decimal point,two,places
1657466,an estimated 49 thousand cases,ARTICLE VBN CD CD NNS,an,estimated,49 thousand,cases
1658032,a decimal point two places,ARTICLE JJ NN CD NNS,a,decimal point,two,places
1662887,a good ten minutes,ARTICLE JJ CD NNS,a,good,ten,minutes
1667230,a further three times,ARTICLE JJ CD NNS,a,further,three,times
1667405,an additional three times,ARTICLE JJ CD NNS,an,additional,three,times
1669448,a healthy hundred yards,ARTICLE JJ CD NNS,a,healthy,hundred,yards
1672494,a record seven hundred thousand Brits,ARTICLE RECORD CD CD CD NNPS,a,record,seven hundred thousand,Brits
1674793,an unnamed potential backer three days,ARTICLE JJ JJ NN CD NNS,an,unnamed potential backer,three,days
1675652,"a further 1,700 men",ARTICLE JJR CD NNS,a,further,"1,700",men
1677474,a local estimate ten years,ARTICLE JJ NN CD NNS,a,local estimate,ten,years
1679525,a regular 26 episodes,ARTICLE JJ CD NNS,a,regular,26,episodes
1679679,a splendid four years,ARTICLE JJ CD NNS,a,splendid,four,years
1682227,a good two inches,ARTICLE JJ CD NNS,a,good,two,inches
1689328,a career - best 26 goals,ARTICLE NN HYPH JJS CD NNS,a,career - best,26,goals
1689362,a further two promotions,ARTICLE JJ CD NNS,a,further,two,promotions
1691778,a good few hands,ARTICLE JJ FEW NNS,a,good,few,hands
1693730,a further seventeen million road users,ARTICLE JJR CD CD NN NNS,a,further,seventeen million,road users
1696960,a claimed 48 hours,ARTICLE VBN CD NNS,a,claimed,48,hours
1705932,an additional 120 years,ARTICLE JJ CD NNS,an,additional,120,years
1725273,a possible 156 points,ARTICLE JJ CD NNS,a,possible,156,points
1725851,a great many greenhouses,ARTICLE JJ FEW NNS,a,great,many,greenhouses
1726988,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
1728757,a great many parts,ARTICLE JJ FEW NNS,a,great,many,parts
1731919,a great many ladies,ARTICLE JJ FEW NNS,a,great,many,ladies
1732183,"A red hypergiant 1,212 times",ARTICLE JJ NN CD NNS,A,red hypergiant,"1,212",times
1735919,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors
1735964,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
1736427,an explosive decompression fourteen minutes,ARTICLE JJ NN CD NNS,an,explosive decompression,fourteen,minutes
1736861,a red ribbon 1.25 inches,ARTICLE JJ NN CD NNS,a,red ribbon,1.25,inches
1740595,a minimal 1.6 watts,ARTICLE JJ CD NNS,a,minimal,1.6,watts
1742792,a known six men,ARTICLE VBN CD NNS,a,known,six,men
1746336,a happy three weeks,ARTICLE JJ CD NNS,a,happy,three,weeks
1747117,a blue main sequence star 3.5 times,ARTICLE JJ JJ NN NN CD NNS,a,blue main sequence star,3.5,times
1747748,a new and more cautious approach towards dangers,ARTICLE JJ CC FEW JJ NN IN NNS,a,new and,more,cautious approach towards dangers
1755223,a career - high 266 yards,ARTICLE NN HYPH JJ CD NNS,a,career - high,266,yards
1756711,a further six months,ARTICLE JJ CD NNS,a,further,six,months
1761166,a final two years,ARTICLE JJ CD NNS,a,final,two,years
1767329,a good many people,ARTICLE JJ FEW NNS,a,good,many,people
1773829,an anti poll strategy and two hundred and eight thousand pounds,ARTICLE JJ JJ NN CC CD CD CC CD CD NNS,an,anti poll strategy and,two hundred and eight thousand,pounds
1775785,A further three years,ARTICLE JJ CD NNS,A,further,three,years
1782914,a further one hundred and eight people,ARTICLE JJ CD CD CC CD NNS,a,further,one hundred and eight,people
1785856,a lowly 35 metres,ARTICLE JJ CD NNS,a,lowly,35,metres
1785911,a further two seasons,ARTICLE JJ CD NNS,a,further,two,seasons
1789096,a further five years,ARTICLE JJ CD NNS,a,further,five,years
1792370,a final eight games,ARTICLE JJ CD NNS,a,final,eight,games
1794386,An estimated 100 to 120 thousand Jews,ARTICLE VBN CD TO CD CD NNPS,An,estimated,100 to 120 thousand,Jews
1809173,an added 37 cubic metres,ARTICLE VBN CD JJ NNS,an,added,37,cubic metres
1810121,a mere 20 years,ARTICLE JJ CD NNS,a,mere,20,years
1810492,a Japanese professional three - cushion billiards,ARTICLE JJ JJ CD HYPH NN NNS,a,Japanese professional,three -,cushion billiards
1814168,a breached caldera and two small summit craters,ARTICLE VBN NN CC CD JJ NN NNS,a,breached caldera and,two,small summit craters
1814607,an extra 8 games,ARTICLE JJ CD NNS,an,extra,8,games
1814720,a great many mysterious hints,ARTICLE JJ FEW JJ NNS,a,great,many,mysterious hints
1815523,a long friendship and many years,ARTICLE JJ NN CC FEW NNS,a,long friendship and,many,years
1817395,an estimated three minutes,ARTICLE VBN CD NNS,an,estimated,three,minutes
1818451,an estimated 800 Jewish people,ARTICLE VBN CD JJ NNS,an,estimated,800,Jewish people
1820898,another full year and three months,ARTICLE JJ NN CC CD NNS,another,full year and,three,months
1822181,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
1823198,a little baby six months,ARTICLE JJ NN CD NNS,a,little baby,six,months
1824353,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
1831622,a mere 3 points,ARTICLE JJ CD NNS,a,mere,3,points
1837798,a great many letters,ARTICLE JJ FEW NNS,a,great,many,letters
1838477,an allied attack two weeks,ARTICLE JJ NN CD NNS,an,allied attack,two,weeks
1839593,a good many folks,ARTICLE JJ FEW NNS,a,good,many,folks
1839792,an estimated 10 million Brazilians,ARTICLE VBN CD CD NNPS,an,estimated,10 million,Brazilians
1843103,an intense search and rescue operation several months,ARTICLE JJ NN CC NN NN FEW NNS,an,intense search and rescue operation,several,months
1843842,an extra 36–48 hours,ARTICLE JJ CD NNS,an,extra,36–48,hours
1845304,a further 62 league appearances,ARTICLE JJ CD NN NNS,a,further,62,league appearances
1846580,an estimated 600 indigenous people,ARTICLE VBN CD JJ NNS,an,estimated,600,indigenous people
1857828,a further seven years,ARTICLE JJ CD NNS,a,further,seven,years
1864284,an estimated 5.2 million speakers,ARTICLE VBN CD CD NNS,an,estimated,5.2 million,speakers
1865530,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
1868208,a forlorn little trading station fifteen miles,ARTICLE JJ JJ NN NN CD NNS,a,forlorn little trading station,fifteen,miles
1869616,a half dozen forces,ARTICLE JJ FEW NNS,a,half,dozen,forces
1870280,an estimated 217 mosques,ARTICLE VBN CD NNS,an,estimated,217,mosques
1873866,an estimated 130 churches,ARTICLE VBN CD NNS,an,estimated,130,churches
1875470,"an estimated 33,000 sculptures",ARTICLE VBN CD NNS,an,estimated,"33,000",sculptures
1879911,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
1880352,a career - high 36 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,36,points
1880360,a season - high 28 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,28,points
1883002,a great many things,ARTICLE JJ FEW NNS,a,great,many,things
1884709,a very creative fifteen minutes,ARTICLE RB JJ CD NNS,a,very creative,fifteen,minutes
1886034,a great many new discoveries,ARTICLE JJ FEW JJ NNS,a,great,many,new discoveries
1886901,a planned five volumes,ARTICLE VBN CD NNS,a,planned,five,volumes
1887666,a good many things,ARTICLE JJ FEW NNS,a,good,many,things
1888143,An estimated 111.3 million people,ARTICLE VBN CD CD NNS,An,estimated,111.3 million,people
1888284,An estimated 167 million people,ARTICLE VBN CD CD NNS,An,estimated,167 million,people
1888409,An estimated 114.4 million people,ARTICLE VBN CD CD NNS,An,estimated,114.4 million,people
1888480,an estimated 10.4 million viewers,ARTICLE VBN CD CD NNS,an,estimated,10.4 million,viewers
1891880,an estimated 275 K people,ARTICLE VBN CD CD NNS,an,estimated,275 K,people
1895359,a great deal more people,ARTICLE JJ NN FEW NNS,a,great deal,more,people
1896189,a successful two days,ARTICLE JJ CD NNS,a,successful,two,days
1897498,"a larger , more complex coat of arms","ARTICLE JJR , FEW JJ NN IN NNS",a,"larger ,",more,complex coat of arms
1899943,a new color so three x,ARTICLE JJ NN CC CD NNS,a,new color so,three,x
1909361,another scant two miles,ARTICLE JJ CD NNS,another,scant,two,miles
1911041,an old chap but three tables,ARTICLE JJ NN CC CD NNS,an,old chap but,three,tables
1912757,an additional 194 kg,ARTICLE JJ CD NNS,an,additional,194,kg
1912775,an additional 194 kg,ARTICLE JJ CD NNS,an,additional,194,kg
1919369,a massive structure 18 metres,ARTICLE JJ NN CD NNS,a,massive structure,18,metres
1920253,a half - dozen city cousins,ARTICLE JJ HYPH FEW NN NNS,a,half -,dozen,city cousins
1920550,a Scottish woman two thousand pounds,ARTICLE JJ NN CD CD NNS,a,Scottish woman,two thousand,pounds
1923298,an additional six months,ARTICLE JJ CD NNS,an,additional,six,months
1927211,a fucking million years,ARTICLE JJ CD NNS,a,fucking,million,years
1929068,a good seven hours,ARTICLE JJ CD NNS,a,good,seven,hours
1929226,a good 17 years,ARTICLE JJ CD NNS,a,good,17,years
1931095,a good many notions,ARTICLE JJ FEW NNS,a,good,many,notions
1931491,an additional two years,ARTICLE JJ CD NNS,an,additional,two,years
1937533,a staggering 22 years,ARTICLE JJ CD NNS,a,staggering,22,years
1941652,A further 468 men,ARTICLE JJ CD NNS,A,further,468,men
1945219,a staggering 22 years,ARTICLE JJ CD NNS,a,staggering,22,years
1950760,a full two weeks,ARTICLE JJ CD NNS,a,full,two,weeks
1952645,a record four consecutive finals,ARTICLE RECORD CD JJ NNS,a,record,four,consecutive finals
1954074,a further two hundred and fifty thousand pounds,ARTICLE JJ CD CD CC CD CD NNS,a,further,two hundred and fifty thousand,pounds
1954091,a further two hundred and fifty thousand pounds,ARTICLE JJ CD CD CC CD CD NNS,a,further,two hundred and fifty thousand,pounds
1954207,a further three appearances,ARTICLE JJ CD NNS,a,further,three,appearances
1956424,a half dozen coaches,ARTICLE JJ FEW NNS,a,half,dozen,coaches
1959669,a further 24 hours,ARTICLE JJR CD NNS,a,further,24,hours
1966371,an estimated 600 globulars,ARTICLE VBN CD NNS,an,estimated,600,globulars
1968148,a record fifteen starters,ARTICLE RECORD CD NNS,a,record,fifteen,starters
1969351,a further ten years,ARTICLE JJ CD NNS,a,further,ten,years
1983620,a further 24 hours,ARTICLE JJR CD NNS,a,further,24,hours
1985835,a further 600 metres,ARTICLE JJ CD NNS,a,further,600,metres
2009275,an additional 17 people,ARTICLE JJ CD NNS,an,additional,17,people
2010479,a career - high 42 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,42,points
2010755,a great many times,ARTICLE JJ FEW NNS,a,great,many,times
2016055,a blufftop location several miles,ARTICLE JJ NN FEW NNS,a,blufftop location,several,miles
2019810,a career - high 3 sacks,ARTICLE NN HYPH JJ CD NNS,a,career - high,3,sacks
2023740,a glorified seven hundred people,ARTICLE JJ CD CD NNS,a,glorified,seven hundred,people
2025590,a grander effort three decades,ARTICLE JJR NN CD NNS,a,grander effort,three,decades
2026778,a scoreless 90 minutes,ARTICLE JJ CD NNS,a,scoreless,90,minutes
2028820,"a further 1,000 vehicles",ARTICLE JJ CD NNS,a,further,"1,000",vehicles
2029014,an additional 140 MRV,ARTICLE JJ CD NNS,an,additional,140,MRV
2030380,a full 90 minutes,ARTICLE JJ CD NNS,a,full,90,minutes
2030455,a healthy nation but more people,ARTICLE JJ NN CC FEW NNS,a,healthy nation but,more,people
2031841,a vast circular structure several stories,ARTICLE JJ JJ NN FEW NNS,a,vast circular structure,several,stories
2031887,an additional two shovels,ARTICLE JJ CD NNS,an,additional,two,shovels
2035319,a further seven years,ARTICLE JJ CD NNS,a,further,seven,years
2040946,a little bit more luxuries,ARTICLE JJ NN FEW NNS,a,little bit,more,luxuries
2044539,a constant 5 degrees,ARTICLE JJ CD NNS,a,constant,5,degrees
