sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
3417706,a nice color-- minus 2 times,ARTICLE JJ NN CC CD NNS,a,nice color-- minus,2,times,13,0.6078431372549019
3689687,an extra 2 points,ARTICLE JJ CD NNS,an,extra,2,points,13,0.6078431372549019
4550464,an extra 2 km,ARTICLE JJ CD NNS,an,extra,2,km,13,0.6078431372549019
5061405,a specially sanctioned 2 months,ARTICLE RB VBN CD NNS,a,specially sanctioned,2,months,13,0.6078431372549019
6909403,an older sister and 2 half -,ARTICLE JJR NN CC CD NN NNS,an,older sister and,2,half -,13,0.6078431372549019
8566304,a british ship 2 months,ARTICLE JJ NN CD NNS,a,british ship,2,months,13,0.6078431372549019
8792955,an identical murder 2 years,ARTICLE JJ NN CD NNS,an,identical murder,2,years,13,0.6078431372549019
159152,a cumulated 300 ects credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ects credits,12,0.6176470588235294
183594,a cumulated 300 ects credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ects credits,12,0.6176470588235294
334740,a cumulated 300 ects credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ects credits,12,0.6176470588235294
424372,an even 300 wins,ARTICLE JJ CD NNS,an,even,300,wins,12,0.6176470588235294
761101,an additional 17 years,ARTICLE JJ CD NNS,an,additional,17,years,12,0.6127450980392157
1125302,an additional 300 acres,ARTICLE JJ CD NNS,an,additional,300,acres,12,0.6176470588235294
1159094,an additional 300 men,ARTICLE JJ CD NNS,an,additional,300,men,12,0.6176470588235294
1929226,a good 17 years,ARTICLE JJ CD NNS,a,good,17,years,12,0.6127450980392157
2009275,an additional 17 people,ARTICLE JJ CD NNS,an,additional,17,people,12,0.6127450980392157
2195533,a career - high 17 games,ARTICLE NN HYPH JJ CD NNS,a,career - high,17,games,12,0.6127450980392157
2399598,an estimated 300 druze,ARTICLE VBN CD NNPS,an,estimated,300,druze,12,0.6176470588235294
2526703,a new career - high 17 batters,ARTICLE JJ NN HYPH JJ CD NNS,a,new career - high,17,batters,12,0.6127450980392157
3494502,a cumulated 300 ects credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ects credits,12,0.6176470588235294
4177532,a full 17 years,ARTICLE JJ CD NNS,a,full,17,years,12,0.6127450980392157
4257635,a career - high 17 goals,ARTICLE NN HYPH JJ CD NNS,a,career - high,17,goals,12,0.6127450980392157
4526312,a circular earthwork 300 feet,ARTICLE JJ NN CD NNS,a,circular earthwork,300,feet,12,0.6176470588235294
4765780,a cumulated 300 ects credits,ARTICLE VBN CD NN NNS,a,cumulated,300,ects credits,12,0.6176470588235294
7352906,a lousy 300 bucks,ARTICLE JJ CD NNS,A,lousy,300,bucks,12,0.6176470588235294
7412019,an average 17 fields,ARTICLE JJ CD NNS,an,average,17,fields,12,0.6127450980392157
7622162,a measly 17 points,ARTICLE JJ CD NNS,a,measly,17,points,12,0.6127450980392157
7730715,a sizzling 17 degrees,ARTICLE JJ CD NNS,a,sizzling,17,degrees,12,0.6127450980392157
9006270,an additional 17 extracts,ARTICLE JJ CD NNS,an,additional,17,extracts,12,0.6127450980392157
9982432,a much toastier minus 17 degrees,ARTICLE RB JJR NN CD NNS,a,much toastier minus,17,degrees,12,0.6127450980392157
10876633,an empty prairie 300 miles,ARTICLE JJ NN CD NNS,an,empty prairie,300,miles,12,0.6176470588235294
25160,a mere 8 years,ARTICLE JJ CD NNS,a,mere,8,years,11,0.6356209150326797
214928,a great many more mice,ARTICLE JJ FEW FEW NNPS,a,great,many more,mice,11,0.6491013071895425
364347,a good fifteen feet,ARTICLE JJ CD NNS,a,good,fifteen,feet,11,0.6401143790849673
405357,a great many more things,ARTICLE JJ FEW FEW NNS,a,great,many more,things,11,0.6491013071895425
424843,a record 11 straight postseason wins,ARTICLE RECORD CD JJ NN NNS,a,record,11,straight postseason wins,11,0.622140522875817
551416,a little town fifteen miles,ARTICLE JJ NN CD NNS,a,little town,fifteen,miles,11,0.6401143790849673
607049,a combined 18 weeks,ARTICLE VBN CD NNS,a,combined,18,weeks,11,0.6266339869281046
629698,a further 11 goals,ARTICLE JJ CD NNS,a,further,11,goals,11,0.622140522875817
713081,an additional 18 episodes,ARTICLE JJ CD NNS,an,additional,18,episodes,11,0.6266339869281046
720549,a full hundred yards,ARTICLE JJ CD NNS,A,full,hundred,yards,11,0.6446078431372549
743641,a good fifteen miles,ARTICLE JJ CD NNS,a,good,fifteen,miles,11,0.6401143790849673
780468,a great many more deaths,ARTICLE JJ FEW FEW NNS,a,great,many more,deaths,11,0.6491013071895425
788282,a small village and parish situated 8 miles,ARTICLE JJ NN CC NN VBN CD NNS,a,small village and parish situated,8,miles,11,0.6356209150326797
883710,a safe anchorage fifteen miles,ARTICLE JJ NN CD NNS,a,safe anchorage,fifteen,miles,11,0.6401143790849673
929614,a quiet and delightful hundred years,ARTICLE JJ CC JJ CD NNS,a,quiet and delightful,hundred,years,11,0.6446078431372549
1061807,a mere 11 kilometres,ARTICLE JJ CD NNS,a,mere,11,kilometres,11,0.622140522875817
1122722,a season - high 18 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,18,points,11,0.6266339869281046
1290643,"a broad , low gradient glacier 8 nautical miles","ARTICLE JJ , JJ NN NN CD JJ NNS",a,"broad , low gradient glacier",8,nautical miles,11,0.6356209150326797
1489449,a half hundred enthusiastic youngsters,ARTICLE JJ CD JJ NNS,a,half,hundred,enthusiastic youngsters,11,0.6446078431372549
1515269,an additional 11 games,ARTICLE JJ CD NNS,an,additional,11,games,11,0.622140522875817
1669448,a healthy hundred yards,ARTICLE JJ CD NNS,a,healthy,hundred,yards,11,0.6446078431372549
1814607,an extra 8 games,ARTICLE JJ CD NNS,an,extra,8,games,11,0.6356209150326797
1831622,a mere 3 points,ARTICLE JJ CD NNS,a,mere,3,points,11,0.6311274509803921
1868208,a forlorn little trading station fifteen miles,ARTICLE JJ JJ NN NN CD NNS,a,forlorn little trading station,fifteen,miles,11,0.6401143790849673
1884709,a very creative fifteen minutes,ARTICLE RB JJ CD NNS,a,very creative,fifteen,minutes,11,0.6401143790849673
1919369,a massive structure 18 metres,ARTICLE JJ NN CD NNS,a,massive structure,18,metres,11,0.6266339869281046
1968148,a record fifteen starters,ARTICLE RECORD CD NNS,a,record,fifteen,starters,11,0.6401143790849673
2019810,a career - high 3 sacks,ARTICLE NN HYPH JJ CD NNS,a,career - high,3,sacks,11,0.6311274509803921
2147526,a team - high 11 goals,ARTICLE NN HYPH JJ CD NNS,a,team - high,11,goals,11,0.622140522875817
2183896,a combined 11 games,ARTICLE VBN CD NNS,a,combined,11,games,11,0.622140522875817
2262733,a good many more mice,ARTICLE JJ FEW FEW NNS,a,good,many more,mice,11,0.6491013071895425
2494532,a quiet and delightful hundred years,ARTICLE JJ CC JJ CD NNS,a,quiet and delightful,hundred,years,11,0.6446078431372549
2511271,a great many more factors,ARTICLE JJ FEW FEW NNS,A,great,many more,factors,11,0.6491013071895425
2533880,an additional 18 months,ARTICLE JJ CD NNS,an,additional,18,months,11,0.6266339869281046
2612084,a total 11 races,ARTICLE JJ CD NNS,a,total,11,races,11,0.622140522875817
2618100,an additional 8 carriages,ARTICLE JJ CD NNS,an,additional,8,carriages,11,0.6356209150326797
2685489,a further 3 invitational places,ARTICLE JJ CD JJ NNS,a,further,3,invitational places,11,0.6311274509803921
2750640,a relatively new concept and many more studies,ARTICLE RB JJ NN CC FEW FEW NNS,a,relatively new concept and,many more,studies,11,0.6491013071895425
2760341,an estimated 18 months,ARTICLE VBN CD NNS,an,estimated,18,months,11,0.6266339869281046
2818355,a long hundred yards,ARTICLE JJ CD NNS,a,long,hundred,yards,11,0.6446078431372549
3231860,an extra hundred pounds,ARTICLE JJ CD NNS,an,extra,hundred,pounds,11,0.6446078431372549
3311783,an illustrious 11 years,ARTICLE JJ CD NNS,an,illustrious,11,years,11,0.622140522875817
3483247,a great many more variables,ARTICLE JJ FEW FEW NNS,a,great,many more,variables,11,0.6491013071895425
3538590,a good hundred miles,ARTICLE JJ CD NNS,a,good,hundred,miles,11,0.6446078431372549
3603939,a mere 8 dollars,ARTICLE JJ CD NNS,a,mere,8,dollars,11,0.6356209150326797
3655086,a combined 11 seasons,ARTICLE JJ CD NNS,a,combined,11,seasons,11,0.622140522875817
3666724,an additional 3 volumes,ARTICLE JJ CD NNS,An,additional,3,volumes,11,0.6311274509803921
3830946,a public airport 8 miles,ARTICLE JJ NN CD NNS,a,public airport,8,miles,11,0.6356209150326797
4030833,an additional 3 points,ARTICLE JJ CD NNS,an,additional,3,points,11,0.6311274509803921
4510291,a bare hundred yards,ARTICLE JJ CD NNS,a,bare,hundred,yards,11,0.6446078431372549
4666968,a mere fifteen pounds,ARTICLE JJ CD NNS,a,mere,fifteen,pounds,11,0.6401143790849673
4816733,a mere 18 inches,ARTICLE JJ CD NNS,a,mere,18,inches,11,0.6266339869281046
4990715,a red background and 3 armoured legs,ARTICLE JJ NN CC CD JJ NNS,a,red background and,3,armoured legs,11,0.6311274509803921
5434202,a combined 8 seasons,ARTICLE JJ CD NNS,a,combined,8,seasons,11,0.6356209150326797
5440553,a mere 8 men,ARTICLE JJ CD NNS,a,mere,8,men,11,0.6356209150326797
5700431,a constant hundred feet,ARTICLE JJ CD NNS,a,constant,hundred,feet,11,0.6446078431372549
5840838,a whole 3 episodes,ARTICLE JJ CD NNS,A,whole,3,episodes,11,0.6311274509803921
5851482,a solid fifteen minutes,ARTICLE JJ CD NNS,a,solid,fifteen,minutes,11,0.6401143790849673
6318059,a great many more people,ARTICLE JJ FEW FEW NNS,a,great,many more,people,11,0.6491013071895425
6476464,a good hundred years,ARTICLE JJ CD NNS,a,good,hundred,years,11,0.6446078431372549
6517102,a mere 18 months,ARTICLE JJ CD NNS,a,mere,18,months,11,0.6266339869281046
6732287,a great many more men,ARTICLE JJ FEW FEW NNS,a,great,many more,men,11,0.6491013071895425
6784508,a good 3 years,ARTICLE JJ CD NNS,a,good,3,years,11,0.6311274509803921
7181342,a good fifteen minutes,ARTICLE JJ CD NNS,a,good,fifteen,minutes,11,0.6401143790849673
7669391,an additional 3 years,ARTICLE JJ CD NNS,an,additional,3,years,11,0.6311274509803921
7915037,a dead body 3 days,ARTICLE JJ NN CD NNS,a,dead body,3,days,11,0.6311274509803921
8083046,a balmy 8 degrees,ARTICLE JJ CD NNS,a,balmy,8,degrees,11,0.6356209150326797
8345517,a guaranteed 18 years,ARTICLE JJ CD NNS,a,guaranteed,18,years,11,0.6266339869281046
8482796,a mere 11 pounds,ARTICLE JJ CD NNS,a,mere,11,pounds,11,0.622140522875817
8875110,"a little , 18 years","ARTICLE JJ , CD NNS",A,"little ,",18,years,11,0.6266339869281046
9000936,a vast area 3 grounds,ARTICLE JJ NN CD NNS,a,vast area,3,grounds,11,0.6311274509803921
9148964,a fierce ass fifteen minutes,ARTICLE JJ NN CD NNS,a,fierce ass,fifteen,minutes,11,0.6401143790849673
10162677,a fun next 18 years,ARTICLE JJ JJ CD NNS,a,fun next,18,years,11,0.6266339869281046
10205546,a further 11 occasions,ARTICLE JJ CD NNS,a,further,11,occasions,11,0.622140522875817
10404357,a good many more years,ARTICLE JJ FEW FEW NNS,a,good,many more,years,11,0.6491013071895425
10542542,a long 8 years,ARTICLE JJ CD NNS,A,long,8,years,11,0.6356209150326797
11128317,a given planetary surface many more impacts,ARTICLE VBN JJ NN FEW FEW NNS,a,given planetary surface,many more,impacts,11,0.6491013071895425
278022,a swift 12 feet,ARTICLE JJ CD NNS,a,swift,12,feet,10,0.6531862745098039
352538,an additional 16 months,ARTICLE JJ CD NNS,an,additional,16,months,10,0.6572712418300654
379511,an additional 22 issues,ARTICLE JJ CD NNS,an,additional,22,issues,10,0.6613562091503268
853395,a season - high 12 combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,12,combined tackles,10,0.6531862745098039
906022,a total 16 finals,ARTICLE JJ CD NNS,a,total,16,finals,10,0.6572712418300654
1057955,a then career - high 12 points,ARTICLE RB NN HYPH JJ CD NNS,a,then career - high,12,points,10,0.6531862745098039
1058053,a season - high 16 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,16,points,10,0.6572712418300654
1257647,a small town 16 kilometers,ARTICLE JJ NN CD NNS,a,small town,16,kilometers,10,0.6572712418300654
1299959,a career - best 16 goals,ARTICLE NN HYPH JJ CD NNS,a,career - best,16,goals,10,0.6572712418300654
1329914,a good 12 hours,ARTICLE JJ CD NNS,a,good,12,hours,10,0.6531862745098039
1336876,"a perfect record , 16 wins","ARTICLE JJ RECORD , CD NNS",a,"perfect record ,",16,wins,10,0.6572712418300654
1558223,a record 22 confirmed championship defenses,ARTICLE RECORD CD VBN NN NNS,a,record,22,confirmed championship defenses,10,0.6613562091503268
1937533,a staggering 22 years,ARTICLE JJ CD NNS,a,staggering,22,years,10,0.6613562091503268
1945219,a staggering 22 years,ARTICLE JJ CD NNS,a,staggering,22,years,10,0.6613562091503268
2158024,a popular 22 episodes,ARTICLE JJ CD NNS,a,popular,22,episodes,10,0.6613562091503268
2267678,a further 16 languages,ARTICLE JJ CD NNS,a,further,16,languages,10,0.6572712418300654
2413806,a combined 16 national championships,ARTICLE VBN CD JJ NNS,a,combined,16,national championships,10,0.6572712418300654
2715936,an extra 22 marks,ARTICLE JJ CD NNS,an,extra,22,marks,10,0.6613562091503268
2760729,a school - record 22 wins,ARTICLE NN HYPH RECORD CD NNS,a,school - record,22,wins,10,0.6613562091503268
2762857,a career - best 22 tackles,ARTICLE NN HYPH JJ CD NNS,a,career - best,22,tackles,10,0.6613562091503268
3642270,a combined 12 seasons,ARTICLE VBN CD NNS,a,combined,12,seasons,10,0.6531862745098039
3706835,a combined 16 seasons,ARTICLE JJ CD NNS,a,combined,16,seasons,10,0.6572712418300654
3837247,a record 22 people,ARTICLE RECORD CD NNS,A,record,22,people,10,0.6613562091503268
4170619,a further 12 nm,ARTICLE JJ CD NNS,a,further,12,nm,10,0.6531862745098039
4793336,a combined 12 seasons,ARTICLE VBN CD NNS,a,combined,12,seasons,10,0.6531862745098039
5602216,a tropical storm 12 hours,ARTICLE JJ NN CD NNS,a,tropical storm,12,hours,10,0.6531862745098039
6583033,a sweet 16 years,ARTICLE JJ CD NNS,a,sweet,16,years,10,0.6572712418300654
7486114,an additional 22 miles,ARTICLE JJ CD NNS,an,additional,22,miles,10,0.6613562091503268
9566729,a good 12 feet,ARTICLE JJ CD NNS,a,good,12,feet,10,0.6531862745098039
10219626,a good 12 minutes,ARTICLE JJ CD NNS,a,good,12,minutes,10,0.6531862745098039
167399,"an estimated 100,000 people",ARTICLE VBN CD NNS,an,estimated,"100,000",people,9,0.6650326797385621
452023,"an additional 100,000 men",ARTICLE JJ CD NNS,an,additional,"100,000",men,9,0.6650326797385621
987955,an impressive 24 goals,ARTICLE JJ CD NNS,an,impressive,24,goals,9,0.6687091503267973
1058041,a career - high 24 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,24,points,9,0.6687091503267973
1345777,a very different document 24 years,ARTICLE RB JJ NN CD NNS,a,very different document,24,years,9,0.6687091503267973
1959669,a further 24 hours,ARTICLE JJR CD NNS,a,further,24,hours,9,0.6687091503267973
1983620,a further 24 hours,ARTICLE JJR CD NNS,a,further,24,hours,9,0.6687091503267973
2496993,a further 24 league appearances,ARTICLE JJ CD NN NNS,a,further,24,league appearances,9,0.6687091503267973
3333566,"an estimated 100,000 commuters",ARTICLE VBN CD NNS,an,estimated,"100,000",commuters,9,0.6650326797385621
3333614,"an estimated 100,000 commuters",ARTICLE VBN CD NNS,an,estimated,"100,000",commuters,9,0.6650326797385621
3502929,"an estimated 100,000 people",ARTICLE VBN CD NNS,an,estimated,"100,000",people,9,0.6650326797385621
4970861,"an estimated 100,000 climbers",ARTICLE VBN CD NNS,an,estimated,"100,000",climbers,9,0.6650326797385621
5132842,"an estimated 100,000 lives",ARTICLE VBN CD NNS,An,estimated,"100,000",lives,9,0.6650326797385621
5294235,"an estimated 100,000 marks",ARTICLE VBN CD NNS,an,estimated,"100,000",marks,9,0.6650326797385621
7519031,"a nother 100,000 mathematicians",ARTICLE JJ CD NNS,a,nother,"100,000",mathematicians,9,0.6650326797385621
8223698,a warm yet not uncomfortable 24 degrees,ARTICLE JJ CC RB JJ CD NNS,a,warm yet not uncomfortable,24,degrees,9,0.6687091503267973
8800769,a whole 24 hours,ARTICLE JJ CD NNS,a,whole,24,hours,9,0.6687091503267973
9569152,a foreign country 24 hours,ARTICLE JJ NN CD NNS,a,foreign country,24,hours,9,0.6687091503267973
222931,a combined 5 minutes,ARTICLE VBN CD NNS,a,combined,5,minutes,8,0.6752450980392157
360764,a colossal 5 stories,ARTICLE JJ CD NNS,a,colossal,5,stories,8,0.6752450980392157
379409,an initial 13 issues,ARTICLE JJ CD NNS,an,initial,13,issues,8,0.6719771241830066
519711,a record twelve national titles,ARTICLE RECORD CD JJ NNS,a,record,twelve,national titles,8,0.6850490196078431
731502,a small town twelve miles,ARTICLE JJ NN CD NNS,a,small town,twelve,miles,8,0.6850490196078431
852154,an extra 9 experiences,ARTICLE JJ CD NNS,an,extra,9,experiences,8,0.6785130718954249
888596,an unexpected twelve months,ARTICLE JJ CD NNS,an,unexpected,twelve,months,8,0.6850490196078431
1058303,an additional 5 years,ARTICLE JJ CD NNS,an,additional,5,years,8,0.6752450980392157
1184006,a further 13 victories,ARTICLE JJ CD NNS,a,further,13,victories,8,0.6719771241830066
1292682,a narrow deeply entrenched glacier 9 nautical miles,ARTICLE JJ RB VBN NN CD JJ NNS,a,narrow deeply entrenched glacier,9,nautical miles,8,0.6785130718954249
1583842,a further 9 members,ARTICLE JJ CD NNS,A,further,9,members,8,0.6785130718954249
1613585,a planar structure and three - fold rotation axes,ARTICLE JJ NN CC CD HYPH JJ NN NNS,a,planar structure and,three -,fold rotation axes,8,0.681781045751634
1810492,a japanese professional three - cushion billiards,ARTICLE JJ JJ CD HYPH NN NNS,a,japanese professional,three -,cushion billiards,8,0.681781045751634
2044539,a constant 5 degrees,ARTICLE JJ CD NNS,a,constant,5,degrees,8,0.6752450980392157
2114327,a career - high 5 receptions,ARTICLE NN HYPH JJ CD NNS,a,career - high,5,receptions,8,0.6752450980392157
2254579,a further 5 minutes,ARTICLE JJR CD NNS,a,further,5,minutes,8,0.6752450980392157
2341172,a special three - weeks,ARTICLE JJ CD HYPH NNS,a,special,three -,weeks,8,0.681781045751634
2398891,a palestinian village 13 kilometres,ARTICLE JJ NN CD NNS,a,palestinian village,13,kilometres,8,0.6719771241830066
2449003,an extremely precise three - dimensional map of stars,ARTICLE RB JJ CD HYPH JJ NN IN NNS,an,extremely precise,three -,dimensional map of stars,8,0.681781045751634
2549149,a record 9 times,ARTICLE RECORD CD NNS,a,record,9,times,8,0.6785130718954249
2636815,a good twelve inches,ARTICLE JJ CD NNS,a,good,twelve,inches,8,0.6850490196078431
2638168,a career - high 9 touchdowns,ARTICLE NN HYPH JJ CD NNS,a,career - high,9,touchdowns,8,0.6785130718954249
2688110,a further 13 appearances,ARTICLE JJ CD NNS,a,further,13,appearances,8,0.6719771241830066
3508638,a total 5 edits,ARTICLE JJ CD NNS,a,total,5,edits,8,0.6752450980392157
3960380,a cylindrical bar magnet three - quarters,ARTICLE JJ NN NN CD HYPH NNS,A,cylindrical bar magnet,three -,quarters,8,0.681781045751634
4255453,an extra twelve tracks,ARTICLE JJ CD NNS,an,extra,twelve,tracks,8,0.6850490196078431
4721327,a tiny 9 feet,ARTICLE JJ CD NNS,a,tiny,9,feet,8,0.6785130718954249
4793406,a combined 9 seasons,ARTICLE JJ CD NNS,a,combined,9,seasons,8,0.6785130718954249
5176066,a german police officer and 5 terrorists,ARTICLE JJ NN NN CC CD NNS,A,german police officer and,5,terrorists,8,0.6752450980392157
5263597,a record 13 times,ARTICLE RECORD CD NNS,a,record,13,times,8,0.6719771241830066
5327290,a combined 13 seasons,ARTICLE JJ CD NNS,a,combined,13,seasons,8,0.6719771241830066
5669020,a fair three - quarters,ARTICLE JJ CD HYPH NNS,a,fair,three -,quarters,8,0.681781045751634
5868483,a record twelve times,ARTICLE RECORD CD NNS,a,record,twelve,times,8,0.6850490196078431
6047707,an astonishing three - fourths,ARTICLE JJ CD HYPH NNS,an,astonishing,three -,fourths,8,0.681781045751634
6217459,an automatic twelve months,ARTICLE JJ CD NNS,an,automatic,twelve,months,8,0.6850490196078431
7245978,a big three - dimensional mass of cells,ARTICLE JJ CD HYPH JJ NN IN NNS,a,big,three -,dimensional mass of cells,8,0.681781045751634
7249251,a similar court case 13 years,ARTICLE JJ NN NN CD NNS,a,similar court case,13,years,8,0.6719771241830066
8032078,a further twelve miles,ARTICLE JJ CD NNS,a,further,twelve,miles,8,0.6850490196078431
9181430,an unlucky 13 years,ARTICLE JJ CD NNS,an,unlucky,13,years,8,0.6719771241830066
11044039,a further 9 years,ARTICLE JJ CD NNS,a,further,9,years,8,0.6785130718954249
164678,a record 26 times,ARTICLE RECORD CD NNS,a,record,26,times,7,0.6936274509803921
351781,a good thirty yards,ARTICLE JJ CD NNS,A,good,thirty,yards,7,0.7079248366013072
753679,a very good forcep two or three punches,ARTICLE RB JJ NN CD CC CD NNS,a,very good forcep,two or three,punches,7,0.7107843137254902
834155,a good thirty dollars,ARTICLE JJ CD NNS,a,good,thirty,dollars,7,0.7079248366013072
943976,an initial 150 specialty stores,ARTICLE JJ CD NN NNS,an,initial,150,specialty stores,7,0.6879084967320261
985167,an extra thirty minutes,ARTICLE JJ CD NNS,an,extra,thirty,minutes,7,0.7079248366013072
1057381,a new 150 meters,ARTICLE JJ CD NNS,a,new,150,meters,7,0.6879084967320261
1058056,a career - high 27 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,27,points,7,0.6964869281045751
1058060,a season - high 19 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,19,points,7,0.6907679738562091
1127488,a further 27 goals,ARTICLE JJ CD NNS,a,further,27,goals,7,0.6964869281045751
1139340,an estimated 90 german soldiers,ARTICLE VBN CD JJ NNS,an,estimated,90,german soldiers,7,0.7022058823529411
1166495,a broken leg and two or three bullets,ARTICLE VBN NN CC CD CC CD NNS,a,broken leg and,two or three,bullets,7,0.7107843137254902
1483274,a massive 26 weeks,ARTICLE JJ CD NNS,a,massive,26,weeks,7,0.6936274509803921
1539691,a season - high 26 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,26,points,7,0.6936274509803921
1679525,a regular 26 episodes,ARTICLE JJ CD NNS,a,regular,26,episodes,7,0.6936274509803921
1689328,a career - best 26 goals,ARTICLE NN HYPH JJS CD NNS,a,career - best,26,goals,7,0.6936274509803921
1927211,a fucking million years,ARTICLE JJ CD NNS,a,fucking,million,years,7,0.7050653594771242
2026778,a scoreless 90 minutes,ARTICLE JJ CD NNS,a,scoreless,90,minutes,7,0.7022058823529411
2030380,a full 90 minutes,ARTICLE JJ CD NNS,a,full,90,minutes,7,0.7022058823529411
2114332,a career - high 26 receptions,ARTICLE NN HYPH JJ CD NNS,a,career - high,26,receptions,7,0.6936274509803921
2215226,a rotated 90 degrees,ARTICLE VBN CD NNS,a,rotated,90,degrees,7,0.7022058823529411
2270187,a main passenger concourse and 19 bus stands,ARTICLE JJ NN NN CC CD NN NNS,a,main passenger concourse and,19,bus stands,7,0.6907679738562091
2377902,an additional 72 smaller police posts,ARTICLE JJ CD JJR NN NNS,an,additional,72,smaller police posts,7,0.6993464052287581
2496412,a season - high 19 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,19,points,7,0.6907679738562091
2514844,a combined 19 runs,ARTICLE VBN CD NNS,a,combined,19,runs,7,0.6907679738562091
2526688,a possible 27 innings,ARTICLE JJ CD NNS,a,possible,27,innings,7,0.6964869281045751
2555577,an additional 27 states,ARTICLE JJ CD NNS,an,additional,27,states,7,0.6964869281045751
2557958,an additional 26 states,ARTICLE JJ CD NNS,an,additional,26,states,7,0.6936274509803921
2687188,an estimated 150 radio stations,ARTICLE VBN CD NN NNS,an,estimated,150,radio stations,7,0.6879084967320261
2687200,an estimated 150 radio stations,ARTICLE VBN CD NN NNS,An,estimated,150,radio stations,7,0.6879084967320261
2713089,a full 90 degrees,ARTICLE JJ CD NNS,a,full,90,degrees,7,0.7022058823529411
2772233,a school and league record 19 consecutive weeks,ARTICLE NN CC NN RECORD CD JJ NNS,a,school and league record,19,consecutive weeks,7,0.6907679738562091
2801568,an initial 19 rivers,ARTICLE JJ CD NNS,an,initial,19,rivers,7,0.6907679738562091
2881601,an overall 27 seasons,ARTICLE JJ CD NNS,an,overall,27,seasons,7,0.6964869281045751
3744613,a goalless 90 minutes,ARTICLE JJ CD NNS,a,goalless,90,minutes,7,0.7022058823529411
3759862,an official statement two or three times,ARTICLE JJ NN CD CC CD NNS,an,official statement,two or three,times,7,0.7107843137254902
3838031,a tiny 27 inches,ARTICLE JJ CD NNS,a,tiny,27,inches,7,0.6964869281045751
3889136,a staggering 27 volumes,ARTICLE JJ CD NNS,a,staggering,27,volumes,7,0.6964869281045751
3911745,a half million views,ARTICLE JJ CD NNS,a,half,million,views,7,0.7050653594771242
4265453,a good thirty years,ARTICLE JJ CD NNS,a,good,thirty,years,7,0.7079248366013072
4403079,a further 72 cars,ARTICLE JJ CD NNS,a,further,72,cars,7,0.6993464052287581
4965809,an additional 90 miles,ARTICLE JJ CD NNS,an,additional,90,miles,7,0.7022058823529411
5171835,a half - million leads,ARTICLE JJ HYPH CD NNS,a,half -,million,leads,7,0.7050653594771242
5502664,a remote facility 19 km,ARTICLE JJ NN CD NNS,a,remote facility,19,km,7,0.6907679738562091
5981859,a young fellow thirty years,ARTICLE JJ NN CD NNS,a,young fellow,thirty,years,7,0.7079248366013072
6032040,a french interpreter thirty yards,ARTICLE JJ NN CD NNS,a,french interpreter,thirty,yards,7,0.7079248366013072
6085071,another good two or three years,ARTICLE JJ CD CC CD NNS,another,good,two or three,years,7,0.7107843137254902
6093003,another good two or three years,ARTICLE JJ CD CC CD NNS,another,good,two or three,years,7,0.7107843137254902
6344027,a reliable 72 hours,ARTICLE JJ CD NNS,a,reliable,72,hours,7,0.6993464052287581
6346545,a reliable 72 hours,ARTICLE JJ CD NNS,a,reliable,72,hours,7,0.6993464052287581
6349058,a reliable 72 hours,ARTICLE JJ CD NNS,a,reliable,72,hours,7,0.6993464052287581
6356885,a reliable 72 hours,ARTICLE JJ CD NNS,a,reliable,72,hours,7,0.6993464052287581
6631189,a good thirty pounds,ARTICLE JJ CD NNS,a,good,thirty,pounds,7,0.7079248366013072
6739469,"a little , two or three pounds","ARTICLE JJ , CD CC CD NNS",a,"little ,",two or three,pounds,7,0.7107843137254902
7409004,an extra two or three years,ARTICLE JJ CD CC CD NNS,An,extra,two or three,years,7,0.7107843137254902
7507175,a half million workers,ARTICLE JJ CD NNS,a,half,million,workers,7,0.7050653594771242
8392049,a beautiful 72 degrees,ARTICLE JJ CD NNS,a,beautiful,72,degrees,7,0.6993464052287581
8649118,an even quarter million dollars,ARTICLE JJ NN CD NNS,an,even quarter,million,dollars,7,0.7050653594771242
8975365,a second dredge 150 tons,ARTICLE JJ NN CD NNS,a,second dredge,150,tons,7,0.6879084967320261
8975992,a second dredge 150 tons,ARTICLE JJ NN CD NNS,a,second dredge,150,tons,7,0.6879084967320261
9474678,a fucking million miles,ARTICLE JJ CD NNS,a,fucking,million,miles,7,0.7050653594771242
9672063,a half - million dollars,ARTICLE JJ HYPH CD NNS,a,half -,million,dollars,7,0.7050653594771242
11043726,a scorching 150 degrees,ARTICLE JJ CD NNS,a,scorching,150,degrees,7,0.6879084967320261
189145,"a new 10,000 m",ARTICLE JJ CD NNS,a,new,"10,000",m,6,0.7156862745098039
