idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
1030929,a great many garments,ARTICLE JJ FEW NNS,a,great,many,garments,1,0.6368464052287581
1034449,a large pine and several birches,ARTICLE JJ NN CC FEW NNS,a,large pine and,several,birches,1,0.7226307189542484
1035750,a monumental facade and two floors,ARTICLE JJ NN CC CD NNS,a,monumental facade and,two,floors,1,0.7949346405228758
1037633,a good many months,ARTICLE JJ FEW NNS,a,good,many,months,1,0.5931372549019608
1046039,a really nice three hours,ARTICLE RB JJ CD NNS,a,really nice,three,hours,1,0.8488562091503268
1057381,a new 150 meters,ARTICLE JJ CD NNS,a,new,150,meters,1,0.801062091503268
1057955,a then career - high 12 points,ARTICLE RB NN HYPH JJ CD NNS,a,then career - high,12,points,1,0.9452614379084967
1058036,a then career - high 21 points,ARTICLE RB NN HYPH JJ CD NNS,a,then career - high,21,points,1,0.9456699346405228
1058053,a season - high 16 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,16,points,1,0.8937908496732027
1061807,a mere 11 kilometres,ARTICLE JJ CD NNS,a,mere,11,kilometres,1,0.7732843137254902
1062593,a wind - aided 12.06 seconds,ARTICLE NN HYPH VBN CD NNS,a,wind - aided,12.06,seconds,1,0.9926470588235294
1063867,a record 25 applicants,ARTICLE RECORD CD NNS,a,record,25,applicants,1,0.8570261437908496
1070028,a little bit more communications,ARTICLE JJ NN FEW NNS,a,little bit,more,communications,1,0.7340686274509803
1083946,a further seven taxa,ARTICLE JJ CD NNS,A,further,seven,taxa,1,0.5433006535947712
1085428,a further 33 points,ARTICLE JJ CD NNS,a,further,33,points,1,0.5265522875816994
1085640,a season - high six solo tackles,ARTICLE NN HYPH JJ CD JJ NNS,a,season - high,six,solo tackles,1,0.8970588235294118
1085659,a season - high three combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,three,combined tackles,1,0.8978758169934641
1085660,a season - high four combined tackles,ARTICLE NN HYPH JJ CD VBN NNS,a,season - high,four,combined tackles,1,0.8962418300653595
1085675,a season - high two pass deflections,ARTICLE NN HYPH JJ CD NN NNS,a,season - high,two,pass deflections,1,0.8982843137254902
1096680,an outstanding second half fightback and five unanswered tries,ARTICLE JJ JJ NN NN CC CD JJ NNS,an,outstanding second half fightback and,five,unanswered tries,1,0.8174019607843137
1096683,a modest 4 wins,ARTICLE JJ CD NNS,A,modest,4,wins,1,0.7937091503267973
1104938,a further 15 games,ARTICLE JJ CD NNS,a,further,15,games,1,0.5191993464052288
1106873,a massive 2.5 kilograms,ARTICLE JJ CD NNS,a,massive,2.5,kilograms,1,0.7663398692810458
1122189,a red oval - shaped embroidered item 1 3/8 inches,ARTICLE JJ NN HYPH JJ VBN NN CD CD NNS,A,red oval - shaped embroidered item,1 3/8,inches,1,0.8713235294117647
1122715,a season - high 21 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,21,points,1,0.8946078431372549
1122722,a season - high 18 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,18,points,1,0.8941993464052288
1127481,a further six consecutive seasons,ARTICLE JJ CD JJ NNS,a,further,six,consecutive seasons,1,0.5449346405228758
1127488,a further 27 goals,ARTICLE JJ CD NNS,a,further,27,goals,1,0.5241013071895425
1149912,a further 25 dependent translators,ARTICLE JJR CD JJ NNS,a,further,25,dependent translators,1,0.5232843137254902
1177119,a last few words,ARTICLE JJ FEW NNS,a,last,few,words,1,0.7246732026143791
1177730,a further four victories,ARTICLE JJ CD NNS,a,further,four,victories,1,0.5383986928104575
1177744,a further three victories,ARTICLE JJ CD NNS,a,further,three,victories,1,0.5531045751633987
1180348,a grueling 10 - round points,ARTICLE JJ CD HYPH NN NNS,a,grueling,10 -,round points,1,0.6781045751633987
1180786,a possible four stars,ARTICLE JJ CD NNS,a,possible,four,stars,1,0.8353758169934641
1184006,a further 13 victories,ARTICLE JJ CD NNS,a,further,13,victories,1,0.5187908496732027
1189492,a similar project several years,ARTICLE JJ NN FEW NNS,a,similar project,several,years,1,0.9117647058823529
1191070,a tough final two years,ARTICLE JJ JJ CD NNS,a,tough final,two,years,1,0.9546568627450981
1196176,a further 36 hectares,ARTICLE JJR CD NNS,a,further,36,hectares,1,0.5277777777777778
1205026,a white blaze and three white feet,ARTICLE JJ NN CC CD JJ NNS,a,white blaze and,three,white feet,1,0.9808006535947712
1209325,"a record 78–76 , 30 games","ARTICLE RECORD CD , CD NNS",a,record,"78–76 , 30",games,1,0.8623366013071896
1218790,a good 25 pounds,ARTICLE JJ CD NNS,a,good,25,pounds,1,0.5686274509803921
1221481,a good many thoughts,ARTICLE JJ FEW NNS,A,good,many,thoughts,1,0.5996732026143791
1223015,a further two and a half lengths,ARTICLE JJ CD CC ARTICLE NN NNS,a,NA,two and,a half lengths,1,0.9995915032679739
1225595,a further three lengths,ARTICLE JJ CD NNS,a,further,three,lengths,1,0.5506535947712419
1226354,a good many little scenes,ARTICLE JJ FEW JJ NNS,a,good,many,little scenes,1,0.5919117647058824
1227520,an improvised speech several hours,ARTICLE VBN NN FEW NNS,an,improvised speech,several,hours,1,0.7091503267973857
1232712,a good many cries,ARTICLE JJ FEW NNS,a,good,many,cries,1,0.5849673202614379
1240447,a large arena and many people,ARTICLE JJ NN CC FEW NNS,a,large arena and,many,people,1,0.7193627450980392
1247908,a positive ten pounds,ARTICLE JJ CD NNS,a,positive,ten,pounds,1,0.8316993464052288
1249753,a further 21 appearances,ARTICLE JJ CD NNS,a,further,21,appearances,1,0.5220588235294118
1251794,a further two months,ARTICLE JJ CD NNS,a,further,two,months,1,0.5580065359477124
1257647,a small town 16 kilometers,ARTICLE JJ NN CD NNS,a,small town,16,kilometers,1,0.9187091503267973
1264078,a white star three times,ARTICLE JJ NN CD NNS,a,white star,three,times,1,0.9824346405228758
1266128,a record 15 cautions,ARTICLE RECORD CD NNS,a,record,15,cautions,1,0.8537581699346405
1266185,a record 140 laps,ARTICLE RECORD CD NNS,a,record,140,laps,1,0.8533496732026143
1267577,a scheduled flight four times,ARTICLE VBN NN CD NNS,a,scheduled flight,four,times,1,0.889297385620915
1270302,a single room 8×3 metres,ARTICLE JJ NN CD NNS,a,single room,8×3,metres,1,0.9154411764705882
1271309,a single character or two characters,ARTICLE JJ NN CC CD NNS,a,single character or,two,characters,1,0.9138071895424836
1292132,an intensive 20 hours,ARTICLE JJ CD NNS,an,intensive,20,hours,1,0.7144607843137255
1292318,a total 1000 kw,ARTICLE JJ CD NNS,a,total,1000,kw,1,0.9501633986928104
1292682,a narrow deeply entrenched glacier 9 nautical miles,ARTICLE JJ RB VBN NN CD JJ NNS,a,narrow deeply entrenched glacier,9,nautical miles,1,0.7969771241830066
1292963,"a low , snow - covered promontory 7 nautical miles","ARTICLE JJ , NN HYPH VBN NN CD JJ NNS",a,"low , snow - covered promontory",7,nautical miles,1,0.7602124183006536
1293042,a small ice escarpment 7 nautical miles,ARTICLE JJ NN NN CD JJ NNS,a,small ice escarpment,7,nautical miles,1,0.9162581699346405
1295945,a small township 15 minutes,ARTICLE JJ NN CD NNS,a,small township,15,minutes,1,0.9199346405228758
1299445,a record 60 weeks,ARTICLE RECORD CD NNS,a,record,60,weeks,1,0.8598856209150327
1310978,a symmetrical three bays,ARTICLE JJ CD NNS,a,symmetrical,three,bays,1,0.9407679738562091
1329914,a good 12 hours,ARTICLE JJ CD NNS,a,good,12,hours,1,0.5665849673202614
1336876,"a perfect record , 16 wins","ARTICLE JJ RECORD , CD NNS",a,"perfect record ,",16,wins,1,0.823937908496732
1345777,a very different document 24 years,ARTICLE RB JJ NN CD NNS,a,very different document,24,years,1,0.9709967320261438
1347728,a modest 14 points,ARTICLE JJ CD NNS,a,modest,14,points,1,0.7933006535947712
1362853,a full seven minutes,ARTICLE JJ CD NNS,a,full,seven,minutes,1,0.505718954248366
1366495,"a reported 150,000 prisoners",ARTICLE VBN CD NNS,a,reported,"150,000",prisoners,1,0.8766339869281046
1369257,a full lectureship three years,ARTICLE JJ NN CD NNS,a,full lectureship,three,years,1,0.5118464052287581
1404734,a good many fine ladies,ARTICLE JJ FEW JJ NNS,a,good,many,fine ladies,1,0.5882352941176471
1415853,a half dozen educational conferences,ARTICLE JJ FEW JJ NNS,a,half,dozen,educational conferences,1,0.6805555555555556
1421006,a half - billion dollars,ARTICLE JJ HYPH CD NNS,a,half -,billion,dollars,1,0.6887254901960784
1426437,a simple two - axis,ARTICLE JJ CD HYPH NNS,a,simple,two -,axis,1,0.9121732026143791
1428678,"a further 4,830 germans",ARTICLE JJ CD NNPS,a,further,"4,830",germans,1,0.5285947712418301
1429064,a shared room or two separate rooms,ARTICLE VBN NN CC CD JJ NNS,a,shared room or,two,separate rooms,1,0.9048202614379085
1437605,a further 35 partners,ARTICLE JJR CD NNS,a,further,35,partners,1,0.5273692810457516
1474066,a select few bioreporters,ARTICLE JJ FEW NNS,a,select,few,bioreporters,1,0.9011437908496732
1477206,a mere two hours,ARTICLE JJ CD NNS,a,mere,two,hours,1,0.7879901960784313
1483274,a massive 26 weeks,ARTICLE JJ CD NNS,a,massive,26,weeks,1,0.766748366013072
1486939,a good seven minutes,ARTICLE JJ CD NNS,a,good,seven,minutes,1,0.608251633986928
1487488,a local nursing home eight days,ARTICLE JJ NN NN CD NNS,a,local nursing home,eight,days,1,0.7463235294117647
1489449,a half hundred enthusiastic youngsters,ARTICLE JJ CD JJ NNS,a,half,hundred,enthusiastic youngsters,1,0.6875
1504424,an older brother and two younger sisters,ARTICLE JJR NN CC CD JJR NNS,an,older brother and,two,younger sisters,1,0.8133169934640523
1507894,a reported 14 million dollars,ARTICLE JJ CD CD NNS,a,reported,14 million,dollars,1,0.8762254901960784
1510160,a minimum 40 trams,ARTICLE JJ CD NNS,a,minimum,40,trams,1,0.7912581699346405
1517053,a record six times,ARTICLE RECORD CD NNS,a,record,six,times,1,0.8672385620915033
1524746,a good many reasons,ARTICLE JJ FEW NNS,a,good,many,reasons,1,0.5968137254901961
1528352,a half dozen oarsmen,ARTICLE JJ FEW NNS,a,half,dozen,oarsmen,1,0.6825980392156863
1530493,a giant gold statue several stories,ARTICLE JJ NN NN FEW NNS,a,giant gold statue,several,stories,1,0.5633169934640523
1530645,a record three times,ARTICLE RECORD CD NNS,a,record,three,times,1,0.8676470588235294
1538017,a robust 92 years,ARTICLE JJ CD NNS,a,robust,92,years,1,0.8790849673202614
1539691,a season - high 26 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,26,points,1,0.8950163398692811
1551831,a good many more and worse disappointments,ARTICLE JJ FEW FEW CC JJR NNS,a,good,many more and,worse disappointments,1,0.6062091503267973
1557201,a little bit more hands,ARTICLE JJ NN FEW NNS,a,little bit,more,hands,1,0.7348856209150327
1558223,a record 22 confirmed championship defenses,ARTICLE RECORD CD VBN NN NNS,a,record,22,confirmed championship defenses,1,0.8562091503267973
1564595,a full four years,ARTICLE JJ CD NNS,a,full,four,years,1,0.5044934640522876
1568800,a scant three quarters,ARTICLE JJ CD NNS,a,scant,three,quarters,1,0.8872549019607843
1571540,an optimum 30 degrees,ARTICLE JJ CD NNS,an,optimum,30,degrees,1,0.8149509803921569
1575335,a mere five league wins,ARTICLE JJ CD NN NNS,a,mere,five,league wins,1,0.7822712418300654
1575856,a further two years,ARTICLE JJ CD NNS,a,further,two,years,1,0.5604575163398693
1577339,a good many plums,ARTICLE JJ FEW NNS,A,good,many,plums,1,0.5959967320261438
1582467,"a naval fleet and 5,000 troops",ARTICLE JJ NN CC CD NNS,a,naval fleet and,"5,000",troops,1,0.7990196078431373
1583842,a further 9 members,ARTICLE JJ CD NNS,A,further,9,members,1,0.5355392156862745
1594815,a further several thousand planters,ARTICLE JJ FEW CD NNS,a,further,several thousand,planters,1,0.5441176470588235
1598812,a possible ten years,ARTICLE JJ CD NNS,a,possible,ten,years,1,0.8366013071895425
1601049,a little village 15 kilometres,ARTICLE JJ NN CD NNS,a,little village,15,kilometres,1,0.7450980392156863
1606136,a team - record 71 points,ARTICLE NN HYPH RECORD CD NNS,a,team - record,71,points,1,0.9428104575163399
1606843,a long time and 299 hotel rooms,ARTICLE JJ NN CC CD NN NNS,a,long time and,299,hotel rooms,1,0.755718954248366
1609098,a league - high five players,ARTICLE NN HYPH JJ CD NNS,a,league - high,five,players,1,0.7254901960784313
1613585,a planar structure and three - fold rotation axes,ARTICLE JJ NN CC CD HYPH JJ NN NNS,a,planar structure and,three -,fold rotation axes,1,0.826797385620915
1624687,a school - record 46 tackles,ARTICLE NN HYPH RECORD CD NNS,a,school - record,46,tackles,1,0.8905228758169934
1634021,a further six appearances,ARTICLE JJ CD NNS,a,further,six,appearances,1,0.5445261437908496
1639950,a further 10 years,ARTICLE JJR CD NNS,a,further,10,years,1,0.5163398692810458
1641968,a giant whirlpool and four continents,ARTICLE JJ NN CC CD NNS,a,giant whirlpool and,four,continents,1,0.5641339869281046
1644880,an unmatched 334 goals,ARTICLE JJ CD NNS,an,unmatched,334,goals,1,0.9644607843137255
1648226,a mere two years,ARTICLE JJ CD NNS,a,mere,two,years,1,0.7888071895424836
1652337,a scant four yards,ARTICLE JJ CD NNS,a,scant,four,yards,1,0.886437908496732
1655663,a much shorter version two years,ARTICLE RB JJR NN CD NNS,a,much shorter version,two,years,1,0.7953431372549019
1667230,a further three times,ARTICLE JJ CD NNS,a,further,three,times,1,0.5526960784313726
1669448,a healthy hundred yards,ARTICLE JJ CD NNS,a,healthy,hundred,yards,1,0.6997549019607843
1672494,a record seven hundred thousand brits,ARTICLE RECORD CD CD CD NNPS,a,record,seven hundred thousand,brits,1,0.8668300653594772
1674793,an unnamed potential backer three days,ARTICLE JJ JJ NN CD NNS,an,unnamed potential backer,three,days,1,0.9648692810457516
1675652,"a further 1,700 men",ARTICLE JJR CD NNS,a,further,"1,700",men,1,0.5155228758169934
1677474,a local estimate ten years,ARTICLE JJ NN CD NNS,a,local estimate,ten,years,1,0.7459150326797386
1679525,a regular 26 episodes,ARTICLE JJ CD NNS,a,regular,26,episodes,1,0.8725490196078431
1679679,a splendid four years,ARTICLE JJ CD NNS,a,splendid,four,years,1,0.9264705882352942
1689362,a further two promotions,ARTICLE JJ CD NNS,a,further,two,promotions,1,0.5588235294117647
1691778,a good few hands,ARTICLE JJ FEW NNS,a,good,few,hands,1,0.573937908496732
1693730,a further seventeen million road users,ARTICLE JJR CD CD NN NNS,a,further,seventeen million,road users,1,0.5437091503267973
1725273,a possible 156 points,ARTICLE JJ CD NNS,a,possible,156,points,1,0.8329248366013072
1725851,a great many greenhouses,ARTICLE JJ FEW NNS,a,great,many,greenhouses,1,0.6388888888888888
1728757,a great many parts,ARTICLE JJ FEW NNS,a,great,many,parts,1,0.6531862745098039
1732183,"a red hypergiant 1,212 times",ARTICLE JJ NN CD NNS,A,red hypergiant,"1,212",times,1,0.8709150326797386
1736861,a red ribbon 1.25 inches,ARTICLE JJ NN CD NNS,a,red ribbon,1.25,inches,1,0.8717320261437909
1740595,a minimal 1.6 watts,ARTICLE JJ CD NNS,a,minimal,1.6,watts,1,0.7908496732026143
1742792,a known six men,ARTICLE VBN CD NNS,a,known,six,men,1,0.7189542483660131
1746336,a happy three weeks,ARTICLE JJ CD NNS,a,happy,three,weeks,1,0.6973039215686274
1747748,a new and more cautious approach towards dangers,ARTICLE JJ CC FEW JJ NN IN NNS,a,new and,more,cautious approach towards dangers,1,0.8018790849673203
1782914,a further one hundred and eight people,ARTICLE JJ CD CD CC CD NNS,a,further,one hundred and eight,people,1,0.5412581699346405
1785856,a lowly 35 metres,ARTICLE JJ CD NNS,a,lowly,35,metres,1,0.7610294117647058
1810492,a japanese professional three - cushion billiards,ARTICLE JJ JJ CD HYPH NN NNS,a,japanese professional,three -,cushion billiards,1,0.7173202614379085
1814720,a great many mysterious hints,ARTICLE JJ FEW JJ NNS,a,great,many,mysterious hints,1,0.6474673202614379
1815523,a long friendship and many years,ARTICLE JJ NN CC FEW NNS,a,long friendship and,many,years,1,0.7532679738562091
1820898,another full year and three months,ARTICLE JJ NN CC CD NNS,another,full year and,three,months,1,0.5122549019607843
1823198,a little baby six months,ARTICLE JJ NN CD NNS,a,little baby,six,months,1,0.733251633986928
1831622,a mere 3 points,ARTICLE JJ CD NNS,a,mere,3,points,1,0.7765522875816994
1837798,a great many letters,ARTICLE JJ FEW NNS,a,great,many,letters,1,0.6437908496732027
1843103,an intense search and rescue operation several months,ARTICLE JJ NN CC NN NN FEW NNS,an,intense search and rescue operation,several,months,1,0.7140522875816994
1845304,a further 62 league appearances,ARTICLE JJ CD NN NNS,a,further,62,league appearances,1,0.5326797385620915
1869616,a half dozen forces,ARTICLE JJ FEW NNS,a,half,dozen,forces,1,0.6813725490196079
1880360,a season - high 28 points,ARTICLE NN HYPH JJ CD NNS,a,season - high,28,points,1,0.8954248366013072
1884709,a very creative fifteen minutes,ARTICLE RB JJ CD NNS,a,very creative,fifteen,minutes,1,0.9705882352941176
1886034,a great many new discoveries,ARTICLE JJ FEW JJ NNS,a,great,many,new discoveries,1,0.6478758169934641
1886901,a planned five volumes,ARTICLE VBN CD NNS,a,planned,five,volumes,1,0.8272058823529411
1895359,a great deal more people,ARTICLE JJ NN FEW NNS,a,great deal,more,people,1,0.673202614379085
1896189,a successful two days,ARTICLE JJ CD NNS,a,successful,two,days,1,0.9358660130718954
1897498,"a larger , more complex coat of arms","ARTICLE JJR , FEW JJ NN IN NNS",a,"larger ,",more,complex coat of arms,1,0.7242647058823529
1899943,a new color so three x,ARTICLE JJ NN CC CD NNS,a,new color so,three,x,1,0.8031045751633987
1909361,another scant two miles,ARTICLE JJ CD NNS,another,scant,two,miles,1,0.8880718954248366
1911041,an old chap but three tables,ARTICLE JJ NN CC CD NNS,an,old chap but,three,tables,1,0.8116830065359477
1919369,a massive structure 18 metres,ARTICLE JJ NN CD NNS,a,massive structure,18,metres,1,0.7675653594771242
1920253,a half - dozen city cousins,ARTICLE JJ HYPH FEW NN NNS,a,half -,dozen,city cousins,1,0.6899509803921569
1920550,a scottish woman two thousand pounds,ARTICLE JJ NN CD CD NNS,a,scottish woman,two thousand,pounds,1,0.8925653594771242
1929068,a good seven hours,ARTICLE JJ CD NNS,a,good,seven,hours,1,0.6070261437908496
1929226,a good 17 years,ARTICLE JJ CD NNS,a,good,17,years,1,0.5678104575163399
1941652,a further 468 men,ARTICLE JJ CD NNS,A,further,468,men,1,0.5298202614379085
1952645,a record four consecutive finals,ARTICLE RECORD CD JJ NNS,a,record,four,consecutive finals,1,0.8647875816993464
1954207,a further three appearances,ARTICLE JJ CD NNS,a,further,three,appearances,1,0.5486111111111112
1956424,a half dozen coaches,ARTICLE JJ FEW NNS,a,half,dozen,coaches,1,0.6801470588235294
1968148,a record fifteen starters,ARTICLE RECORD CD NNS,a,record,fifteen,starters,1,0.8643790849673203
1969351,a further ten years,ARTICLE JJ CD NNS,a,further,ten,years,1,0.548202614379085
1985835,a further 600 metres,ARTICLE JJ CD NNS,a,further,600,metres,1,0.5322712418300654
2023740,a glorified seven hundred people,ARTICLE JJ CD CD NNS,a,glorified,seven hundred,people,1,0.5649509803921569
2025590,a grander effort three decades,ARTICLE JJR NN CD NNS,a,grander effort,three,decades,1,0.6209150326797386
2026778,a scoreless 90 minutes,ARTICLE JJ CD NNS,a,scoreless,90,minutes,1,0.8921568627450981
2028820,"a further 1,000 vehicles",ARTICLE JJ CD NNS,a,further,"1,000",vehicles,1,0.5138888888888888
2030380,a full 90 minutes,ARTICLE JJ CD NNS,a,full,90,minutes,1,0.502859477124183
2030455,a healthy nation but more people,ARTICLE JJ NN CC FEW NNS,a,healthy nation but,more,people,1,0.7001633986928104
2031841,a vast circular structure several stories,ARTICLE JJ JJ NN FEW NNS,a,vast circular structure,several,stories,1,0.9693627450980392
2040946,a little bit more luxuries,ARTICLE JJ NN FEW NNS,a,little bit,more,luxuries,1,0.735702614379085
2064983,a single parent and two grandparents,ARTICLE JJ NN CC CD NNS,a,single parent and,two,grandparents,1,0.9146241830065359
2065655,a record - high 185 underclassed draft prospects,ARTICLE RECORD HYPH JJ CD JJ NN NNS,a,record - high,185,underclassed draft prospects,1,0.8688725490196079
2072101,a record 63 tournaments,ARTICLE RECORD CD NNS,a,record,63,tournaments,1,0.8602941176470589
2073928,a record four consecutive times,ARTICLE RECORD CD JJ NNS,a,record,four,consecutive times,1,0.8651960784313726
2078326,a public road and several rural lanes,ARTICLE JJ NN CC FEW JJ NNS,a,public road and,several,rural lanes,1,0.8431372549019608
2082082,a new artwork and three extra songs,ARTICLE JJ NN CC CD JJ NNS,a,new artwork and,three,extra songs,1,0.8022875816993464
2086653,a hard five years,ARTICLE JJ CD NNS,a,hard,five,years,1,0.6981209150326797
2097036,a record 195 games,ARTICLE RECORD CD NNS,a,record,195,games,1,0.8541666666666666
2102619,a whopping 254 pounds,ARTICLE JJ CD NNS,a,whopping,254,pounds,1,0.9889705882352942
2104037,a second ring two feet,ARTICLE JJ NN CD NNS,a,second ring,two,feet,1,0.8995098039215687
2104608,a further nine retrograde steps,ARTICLE JJ CD JJ NNS,a,further,nine,retrograde steps,1,0.5396241830065359
2109726,a further 59 appearances,ARTICLE JJ CD NNS,a,further,59,appearances,1,0.5318627450980392
2112412,a further two spells,ARTICLE JJ CD NNS,a,further,two,spells,1,0.559640522875817
2118099,a terrible hurt ten years,ARTICLE JJ NN CD NNS,a,terrible hurt,ten,years,1,0.9444444444444444
2120410,a mere twenty years,ARTICLE JJ CD NNS,a,mere,twenty,years,1,0.7875816993464052
2128587,a second round two weeks,ARTICLE JJ NN CD NNS,a,second round,two,weeks,1,0.8999183006535948
2134338,a further six times,ARTICLE JJ CD NNS,a,further,six,times,1,0.545751633986928
2134340,a further two defeats,ARTICLE JJ CD NNS,a,further,two,defeats,1,0.5563725490196079
2147526,a team - high 11 goals,ARTICLE NN HYPH JJ CD NNS,a,team - high,11,goals,1,0.9415849673202614
2154138,a new world post nine eleven days,ARTICLE JJ NN NN CD CD NNS,a,new world post,nine eleven,days,1,0.8047385620915033
2158024,a popular 22 episodes,ARTICLE JJ CD NNS,a,popular,22,episodes,1,0.8300653594771242
2163799,a very very long twenty odd minutes,ARTICLE RB RB JJ CD JJ NNS,a,very very long,twenty,odd minutes,1,0.9775326797385621
2164187,a mere 65 - koku,ARTICLE JJ CD HYPH NNS,a,mere,65 -,koku,1,0.7781862745098039
2178479,a select few establishments,ARTICLE JJ FEW NNS,a,select,few,establishments,1,0.9019607843137255
2184699,a season - high four stops,ARTICLE NN HYPH JJ CD NNS,a,season - high,four,stops,1,0.8966503267973857
2185725,a good twenty - five miles,ARTICLE JJ CD CD CD NNS,a,good,twenty - five,miles,1,0.6143790849673203
2186327,a second time six weeks,ARTICLE JJ NN CD NNS,a,second time,six,weeks,1,0.9003267973856209
2194512,a local celebrity eight years,ARTICLE JJ NN CD NNS,a,local celebrity,eight,years,1,0.7455065359477124
2195921,an unfortunate love affair two years,ARTICLE JJ NN NN CD NNS,an,unfortunate love affair,two,years,1,0.9611928104575164
2199339,a possible 78 games,ARTICLE JJ CD NNS,a,possible,78,games,1,0.8349673202614379
2206649,a red dwarf star 470 light years,ARTICLE JJ NN NN CD NN NNS,a,red dwarf star,470,light years,1,0.8705065359477124
2209814,a possible 164 points,ARTICLE JJ CD NNS,a,possible,164,points,1,0.8333333333333334
2212617,a mere 89 seats,ARTICLE JJ CD NNS,a,mere,89,seats,1,0.7802287581699346
2212824,a located circa 15 kilometers,ARTICLE VBN RB CD NNS,a,located circa,15,kilometers,1,0.747140522875817
2213033,"a mere 3,761 votes",ARTICLE JJ CD NNS,a,mere,"3,761",votes,1,0.7769607843137255
2215226,a rotated 90 degrees,ARTICLE VBN CD NNS,a,rotated,90,degrees,1,0.8794934640522876
2216557,a wild 5–4 metrostars,ARTICLE JJ CD NNPS,a,wild,5–4,metrostars,1,0.9918300653594772
2218103,"a paltry 16,000 men",ARTICLE JJ CD NNS,a,paltry,"16,000",men,1,0.8202614379084967
2221679,a national selector several times,ARTICLE JJ NN FEW NNS,a,national selector,several,times,1,0.7973856209150327
2222435,a little girl four thousand years,ARTICLE JJ NN CD CD NNS,a,little girl,four thousand,years,1,0.7397875816993464
2223754,a further 7 km,ARTICLE JJ CD NNS,a,further,7,km,1,0.5330882352941176
2238888,"a further 300,000 shares",ARTICLE JJR CD NNS,a,further,"300,000",shares,1,0.5257352941176471
2241175,a relatively privileged few people,ARTICLE RB JJ FEW NNS,a,relatively privileged,few,people,1,0.8741830065359477
2243023,a local shopping trip five days,ARTICLE JJ NN NN CD NNS,a,local shopping trip,five,days,1,0.7467320261437909
2246691,a good many ways,ARTICLE JJ FEW NNS,a,good,many,ways,1,0.6025326797385621
2254579,a further 5 minutes,ARTICLE JJR CD NNS,a,further,5,minutes,1,0.5302287581699346
2262733,a good many more mice,ARTICLE JJ FEW FEW NNS,a,good,many more,mice,1,0.6053921568627451
2267678,a further 16 languages,ARTICLE JJ CD NNS,a,further,16,languages,1,0.5200163398692811
2270187,a main passenger concourse and 19 bus stands,ARTICLE JJ NN NN CC CD NN NNS,a,main passenger concourse and,19,bus stands,1,0.7622549019607843
2274374,a regular life and few needs,ARTICLE JJ NN CC FEW NNS,a,regular life and,few,needs,1,0.8733660130718954
2278372,a great many toys,ARTICLE JJ FEW NNS,A,great,many,toys,1,0.6625816993464052
2291804,"a further 50,000 inmates",ARTICLE JJ CD NNS,a,further,"50,000",inmates,1,0.5306372549019608
2291935,"a stern , reserved man many years","ARTICLE JJ , JJ NN FEW NNS",a,"stern , reserved man",many,years,1,0.9330065359477124
2293024,a mere three pounds,ARTICLE JJ CD NNS,A,mere,three,pounds,1,0.7863562091503268
2293560,"a further 1,048 homes",ARTICLE JJR CD NNS,a,further,"1,048",homes,1,0.514297385620915
2302859,a technical officer and three other personnel,ARTICLE JJ NN CC CD JJ NNS,a,technical officer and,three,other personnel,1,0.943218954248366
2307348,a further seven boats,ARTICLE JJ CD NNS,A,further,seven,boats,1,0.5420751633986928
2333714,a wild pursuit and several fruitless dashes,ARTICLE JJ NN CC FEW JJ NNS,a,wild pursuit and,several,fruitless dashes,1,0.9922385620915033
2341172,a special three - weeks,ARTICLE JJ CD HYPH NNS,a,special,three -,weeks,1,0.9248366013071896
2356142,a low 3.3 revolutions,ARTICLE JJ CD NNS,a,low,3.3,revolutions,1,0.7598039215686274
2356448,"a separate , much more stringent set of regulations","ARTICLE JJ , RB FEW JJ NN IN NNS",a,"separate , much",more,stringent set of regulations,1,0.9035947712418301
2356895,a further 30–35 days,ARTICLE JJ CD NNS,a,further,30–35,days,1,0.5261437908496732
2361388,a further 55 apartment blocks,ARTICLE JJ CD NN NNS,a,further,55,apartment blocks,1,0.5314542483660131
2366504,an unprecedented three consecutive covers,ARTICLE JJ CD JJ NNS,an,unprecedented,three,consecutive covers,1,0.9660947712418301
2384118,a staggering fifty billion pounds,ARTICLE JJ CD CD NNS,a,staggering,fifty billion,pounds,1,0.9301470588235294
2390877,an honest 160 miles,ARTICLE JJ CD NNS,an,honest,160,miles,1,0.701797385620915
2391857,a straight five dollars,ARTICLE JJ CD NNS,a,straight,five,dollars,1,0.9338235294117647
2395104,an initial 10 years,ARTICLE JJ CD NNS,an,initial,10,years,1,0.7111928104575164
2398891,a palestinian village 13 kilometres,ARTICLE JJ NN CD NNS,a,palestinian village,13,kilometres,1,0.8194444444444444
2403866,a great many nice things,ARTICLE JJ FEW JJ NNS,a,great,many,nice things,1,0.6482843137254902
2407523,a thick square minaret 10–15 meters,ARTICLE JJ JJ NN CD NNS,a,thick square minaret,10–15,meters,1,0.946078431372549
2422643,an old maid forty times,ARTICLE JJ NN CD NNS,an,old maid,forty,times,1,0.8129084967320261
2425830,a full four minutes,ARTICLE JJ CD NNS,a,full,four,minutes,1,0.5036764705882353
