idx,construction,corrupted_construction,corrupted_sentence
4575,a solid three minutes,three solid minutes,The kitchen fell into silence for three solid minutes as the trio at the table stared at him while they drank their morning coffee and Richard continued flipping the flap jacks .
4576,a further eight years,eight further years,"Eight years ' worth of pain would have put a lot of kinks in her brain , and some of those kinks would not be kinks , or even bends , but knots so complicated , it would likely take eight further years to untie them ."
4577,a full eight hours,eight full hours,"But another one that she stuck inside my brain was pure fiction : "" Sleep does n't accumulate , "" which meant if a person only slept one hour a night for five weeks , then got eight full hours sleep , they 're all caught up ."
4578,a good twenty minutes,twenty good minutes,"With his jerry - rigged chair anchor system , it took twenty good minutes to hit the road , and another twenty at the destination ."
4579,a couple hundred dollars,hundred couple dollars,"I made the call , and by nightfall , they were hundred couple dollars richer ."
4580,a few million eyeballs,million few eyeballs,"The Games of the XXIII Olympiad were in Los Angeles , drawing million few eyeballs of their own ."
4581,a few hundred bucks,hundred few bucks,"Bank of America sucked giant donkey dicks , usually giving me an extreme hassle whenever I tried withdrawing more than hundred few bucks in a single serving ."
4582,a few hundred witnesses,hundred few witnesses,"But a year earlier , that one crappy show had at most only hundred few witnesses ."
4583,a measly forty bucks,forty measly bucks,"Even though he called the cops on me over forty measly bucks and cost me thousands , believe it or not , for a time I actually hung out with Mike Jagosz again ."
4584,an incredible fifty cents,fifty incredible cents,"It turned out that even though the place was almost four thousand square feet and fronted a main street , the monthly rent was fifty incredible cents per square foot ."
4585,an additional hundred bucks,hundred additional bucks,"As it turned out , on its rise from nothingness , my project burned through at least hundred additional bucks daily , plus a few other unexpected major expenditures ."
4586,a good thirty minutes,thirty good minutes,Jacko helped Uncle Bally stretch his muscles for thirty good minutes after breakfast before they went on their way .
4587,a mere 25 miles,25 mere miles,Ambergris was 25 mere miles in length and the habitable part was less than that .
4588,a few hundred yards,hundred few yards,The bum watched them from beneath the straw hat and tilted his head a bit more to watch a sailboat glide through the water hundred few yards from the beach .
4589,a few hundred yards,hundred few yards,"Crisscrossing from the Caribbean side of town over to the San Pedro Lagoon that bordered the town on the west just hundred few yards away , he had sorted through dozens of trash cans , all the while slowly making his way northward ."
4590,a few hundred metres,hundred few metres,I squint my eyes and see a toll booth hundred few metres away .
4591,a few hundred metres,hundred few metres,"There are high wooden fences on either side - it 's long , straight , and declines in height over at least hundred few metres ."
4592,a few hundred feet,hundred few feet,"My ranch , for example , abuts White Horse canyon , which has a mouth only hundred few feet across , but which widens out inside to nearly half a mile , forming a natural pen for the cattle . """
4593,an unreachable ten feet,ten unreachable feet,"To their right were solid handholds , and what appeared to be a ledge , close above , but both were ten unreachable feet away , with little or no aids to climbing on the slope leading to those handholds , and nothing but a sheer drop - off below ."
4594,a long and lonely three weeks,three long and lonely weeks,It was three long and lonely weeks before I got a chance to return home .
4595,a whole 5 minutes,5 whole minutes,"Then shortly after that I preached my first sermon , 5 whole minutes , seemed longer at the time , so nervous that after I got home I threw up from nerves ."
4596,a few hundred men,hundred few men,""" You have hundred few men , right ? "" ,"
4597,a few hundred men,hundred few men,"With hundred few men ? "" ,"
4598,a mere two months,two mere months,"They grew so close , so quickly , she found it hard to believe she only lived in Shiver Cove for two mere months ."
4599,a few hundred years,hundred few years,What would the Government do if they learnt that someone is hundred few years old ?
4600,a few hundred years,hundred few years,Moira was born to Mara hundred few years ago .
4601,a conservatively safe 25 miles,25 conservatively safe miles,"Already travelling at 25 conservatively safe miles per hour due to the torrential rain , the Claytons easily slowed and stopped behind the cars ahead of them , only about 200 feet short of their own driveway ."
4602,a very rotund 250 pounds,250 very rotund pounds,"They were identical in every way , standing at five feet ten and weighing in at 250 very rotund pounds each ."
4603,a respectable 65 seconds,65 respectable seconds,"He held his breath 65 respectable seconds , but showed no extraordinary ability ."
4604,a comfortable six feet,six comfortable feet,The height spanning the center of the attic was six comfortable feet high and sloped down towards the front and back of the house where the roof met the attic floor .
4605,a few 360 turns,360 few turns,Pikabo stood in the center of the room and did 360 few turns .
4606,a few hundred yards,hundred few yards,"It says Plainsville on the sign hundred few yards back , but again this city in not on my map . """
4607,a few hundred yards,hundred few yards,"He then looked up the pathway to see Molly and Chug standing hundred few yards up ahead at the top of the mountain pass , with child like exhilaration in their eyes at seeing Louis alive and well ."
4608,a few hundred workers,hundred few workers,"While many ant species colonies have hundred few workers , the colonies of this species have about half a million workers ."
4609,a few hundred metres,hundred few metres,Again imagine that you come up to an empty house hundred few metres from where you found the key .
4610,a few thousand years,thousand few years,"Using the fluorine dating method , investigators discovered that the skull was only thousand few years old ."
4611,a further five minutes,five further minutes,"So , there he spent five further minutes , thoroughly searching to locate the hiding bird again , confined within the conifers ."
4612,a long fifteen minutes,fifteen long minutes,"After fifteen long minutes of random tools pinching and prodding Billie 's body , Jennifer leaned in over him once again , and shone something in each of his eyes ."
4613,a further three sweets,three further sweets,He took three further sweets out his pocket and placed them onto the table . ''
4614,a good three comments,three good comments,"It was pretty much all downhill from there , but in fairness it took three good comments before someone chimed in with outright racism ."
4615,a full two weeks,two full weeks,It was n't even two full weeks .
4616,a full two minutes,two full minutes,"I sat for two full minutes afterwards , absorbing what she had said ."
4617,a comfortable twenty degrees,twenty comfortable degrees,"The temperature had dropped to twenty comfortable degrees , and the lights of Century Boulevard marked my journey to the street ."
4618,a clear three years,three clear years,"In between hastily - scribbled experimental musings , I 'd played some smoky front - porch blues to the twenty or so other bright - eyed hopefuls – of whom I was the youngest by three clear years – while Marvin had spontaneously improvised rhyming couplets like some haggard old master of ceremonies ."
4619,a good three inches,three good inches,"The woman was being aggressive , but Marvin was not backing down , and it looked like it might get physical , even though she had three good inches on him ."
4620,a full thirteen pounds,thirteen full pounds,"At first she 'd thought the bug would pass on , but now that she was thirteen full pounds lighter , Alezanna admitted to herself that it was time to see the doctor ."
4621,a full six weeks,six full weeks,It was six full weeks since her last period .
4622,a good ten feet,ten good feet,Alezanna - fighter Alezanna - crawled backwards on hands and knees until there was at least ten good feet between them and an open room behind her .
4623,a solid 8 hours,8 solid hours,"Speaking of battery life , you can get 8 solid hours of it before you have to recharge ."
4624,a full six inches,six full inches,The Kobo Touch has a full touchscreen e - ink Pearl display that has six full inches of screen real estate .
4625,a whole three minutes,three whole minutes,Bolting out of bed she scrambled into the shower and spent three whole minutes in there .
4626,a few thousand years,thousand few years,"If you study the evolution of living beings on earth , you will find how a time frame of thousand few years is just too little to effect any substantial change ."
4627,a few thousand enemies,thousand few enemies,Now I earn more than a million and I have thousand few enemies .
4628,a few hundred people,hundred few people,"There must be hundred few people out there at least . """
4629,a good five minutes,five good minutes,"And after a lot of eyeliner and hair - teasing and spending five good minutes piling all my jewelry on , I 'm ready to go ."
4630,an entire ten minutes,ten entire minutes,"Things got really uncomfortable when the main character in the movie had a sexual encounter , and the director decided that it needed ten entire minutes to play out in graphic detail ."
4631,a good twenty years,twenty good years,"You 're going to be a commissioned officer , until the day I release your ass and an attorney for justice which will take up twenty good years of your life , son . """
4632,a pitiful two feet,two pitiful feet,""" The garage door launched upright going two pitiful feet and four inches while missing the intended target . """
4633,a good 110 yards,110 good yards,He threw another hand grenade into a group of about 10 soldiers 110 good yards away Ka - Blooey ! ! !
4634,a whopping twelve pounds,twelve whopping pounds,This time he weighs himself and is elated that he has lost twelve whopping pounds .
4635,an additional twenty bucks,twenty additional bucks,"Since the cabbie is a pretty good sized fellow , the midget asks him if he will look after him and be available to give him a ride back to the hotel for twenty additional bucks ."
4636,a mere thirty years,thirty mere years,"One method he discusses is nanotechnology , which he estimates might cut the time down to thirty mere years ."
4637,a good four hours,four good hours,It took four good hours before the police convoy stopped again on the N1 outside of Cape Town .
4638,a good thirty minutes,thirty good minutes,It took Pearce thirty good minutes to find the security office at the harbour .
4639,a good five minutes,five good minutes,Albertina nodded and both waited for five good minutes before Lindiwe returned with three mugs filled with hot coffee .
4640,a good ten to twenty years,ten to twenty good years,""" The pressure from the world on the South African government to change their ways must be immense , so the sooner the better , but in reality , I would imagine it could be ten to twenty good years before change happens , "" said Lindiwe ."
4641,a good twenty kilometres,twenty good kilometres,Soon the South African police vehicle was on its way in the Republic of Swaziland and Pieter drove for twenty good kilometres before stopping to allow Lindiwe to move to the passenger seat in the front of the vehicle next to him again .
4642,a further three kilometres,three further kilometres,The vehicle travelled for three further kilometres before the road reached an end .
4643,a good thirty seconds,thirty good seconds,"asked the General , and in a flash two of the sidekicks grabbed Pieter and dunked his head into the water , holding his face under for thirty good seconds ."
4644,a good three minutes,three good minutes,"He turned his attention to a thick bunch of printed papers that lay on his desk and read for three good minutes , before responding to the Minister ."
4645,a few hundred metres,hundred few metres,"As he parked hundred few metres away from the coffee shop , Pieter looked at the passers - by who all seemed in a hurry to make their way down the pavement to wherever they needed to go ."
4646,a good nine hours,nine good hours,He had been asleep for nine good hours .
4647,a good thirty minutes,thirty good minutes,It was thirty good minutes before the ferry arrived and another five minutes before Pieter and Lindiwe were able to hop onboard .
4648,a few thousand people,thousand few people,"The Chinese have been playing with it , too _ -- _ changes in the Yangtze River gorge to facilitate the building of the Three Gorges Dam , the other major projects in western China where suddenly an oasis that has only ever been able to support thousand few people can suddenly support a million ."
4649,a few hundred years,hundred few years,""" A child that 's been a child for hundred few years , "" Petra reminded ."
4650,a couple hundred soldiers,hundred couple soldiers,Another sigh and he was headed straight toward hundred couple soldiers .
4651,a good three inches,three good inches,"It fit like a glove , and the heels added three good inches to my 5 foot - nothing ."
4652,a few hundred yards,hundred few yards,"The procession line stretched for at least hundred few yards , with all of the Davinian officials near the front ."
4653,a few hundred yards,hundred few yards,"You 're just hundred few yards away from my house , but we had to run through part of this fog that just crept up on us ."
4654,a few hundred men,hundred few men,The long benches on both sides of the table were enough for hundred few men to sit and eat .
4655,a couple hundred yards,hundred couple yards,"They went down the country road hundred couple yards to a wide gravel area , where Zam pulled to a stop and shut off the car ."
4656,a mere 50 chapters,50 mere chapters,"For 50 mere chapters , it 's got epic sweep and scope ."
4657,an extraordinary 600 years,600 extraordinary years,"One interesting point that may have a bearing on how Abram came to be such a pillar of faith : Although man 's lifespan continues to shrink , Shem ( Noah 's son ) lived 600 extraordinary years ."
4658,a few thousand years,thousand few years,"The whole story just stands out to me as 1 ) another incredible snapshot of how jacked up the human race has become just thousand few years into its existence , and 2 ) why we can trust the Bible record \- since its writers had no qualms whatsoever in pointing out the stupid , gross , and downright nasty thoughts and actions of even its most prominent characters , in this case Judah - father of the royal tribe of Judah and forebear to no less than King David and Jesus Christ ."
4659,a whole four hours,four whole hours,"Tapping her data port , she said , "" I was out for four whole hours ? """
4660,an extra fifty years,fifty extra years,Noa felt a cold coil of dread in her gut ... not that fifty extra years of backwardness should matter so much .
4661,a few hundred meters,hundred few meters,We were hundred few meters from the hangar when a rumble like thunder shook the air .
4662,a mere three hours,three mere hours,"But Earth was three mere hours away , and it was easy enough to hop a transport when something interesting caught her fancy ."
4663,a mere seventy times,seventy mere times,"And while the first prototype had achieved seventy mere times the speed of light , her drive was faster by a factor of thousands ."
4664,a mere nine occupants,nine mere occupants,"The table was , of course , impressively large — far larger than required for nine mere occupants — but a more practical table would have been less _ grand _ and not befitting the importance of those who utilized it ."
4665,a mere two meters,two mere meters,"Winding pathways suspended two mere meters over the crystal blue water connected islands of condos , gardens , golf courses and beaches ."
4666,a mere four centimeters,four mere centimeters,"It was four mere centimeters in diameter , made of an ultra - dense alloy and attached to a length of fine woven rope ."
4667,a solid two seconds,two solid seconds,"For two solid seconds they both froze in place , shoulders touching and faces centimeters apart , too close to even focus on the other ."
4668,a mere two nights,two mere nights,"He took on an officious tone as he recited from memory , having reviewed the entry two mere nights ago when studying her file . """
4669,a mere two bites,two mere bites,"She had taken two mere bites of the quite tasty penzine and Swiss cheese sandwich when it dropped forgotten to the plate in her lap . """
4670,a very lucrative sixty years,sixty very lucrative years,"Sixty years later the sLume drive opened the galaxy to the same and rendered the impulse engine a commodity , but those were sixty very lucrative years ."
4671,an additional three frigates,three additional frigates,Lekkas and her team disabled the weapons and partially or wholly disabled the engines of three additional frigates as well as four electronic warfare vessels before Commodore Pachis signaled the retreat .
4672,a solid twenty seconds,twenty solid seconds,"It took twenty solid seconds for the response to come . _ """
4673,a solid ten seconds,ten solid seconds,His eyes unfocused for ten solid seconds before his attention returned to them .
4674,a good thirty seconds,thirty good seconds,"She spent thirty good seconds looking at the sights , peering down the sheer cliff of glass and twisting about in her seat , so much so she was surprised when a bottle of wine arrived at the table ."
4675,a full ten seconds,ten full seconds,"It was ten full seconds before she exhaled and focused on him , her features losing a mere fraction of their tautness . """
4676,a mere three ships,three mere ships,"Still , he had to remind himself , the enemy was down to three mere ships ."
4677,a few hundred paces,hundred few paces,Shima dropped out of the last tree to land lightly hundred few paces from Kazim and the others .
4678,a few billion dollars,billion few dollars,"You 're going to have to ask Congress for a hell of a lot more than billion few dollars if you want to retrieve the extra - terrestrial object before someone else does , Madam President . """
4679,a few hundred pounds,hundred few pounds,"We 're talking about a half ton at the most , and for many of the missions much less — only hundred few pounds at most . """
4680,an extra two days,two extra days,"There 's only so much our carbon scrubbers can do , but with only two bodies and these extra oxygen tanks , we should be able to match the ten - day mission profile with two extra days to spare . """
4681,a couple hundred clicks,hundred couple clicks,He was sure the U.S. carrier task force hundred couple clicks farther south was n't going to calm the situation down any more than this .
4682,a mere forty minutes,forty mere minutes,The _ Gordust _ suddenly crossed the terminator and into the bright glow of the sun again after forty mere minutes of crossing the dark side of the moon .
4683,a good thirty feet,thirty good feet,"That 's got to be thirty good feet high , though the slope is n't at a bad angle ."
4684,a full ten seconds,ten full seconds,Julie let ten full seconds go by before she repeated the greeting .
4685,a mere two meters,two mere meters,"The _ Gordust _ 's _ _ massive four motors finally cut out , and the ship stopped relative to the _ Apollo _ with one of the _ Apollo _ 's landing struts two mere meters away from striking the window of their command pod on Olga 's side ."
4686,"a whole big 5,000.00 dollars","5,000.00 whole big dollars","Shelly started to laugh , "" Oh yeah , I got 5,000.00 whole big dollars ."
4687,a spare two minutes,two spare minutes,He was doing what all employers did in job interviews – scanning through the key points as if he was so pressed for time he did n't have two spare minutes to read the whole thing prior to this moment .
4688,a further two years,two further years,"They worked side by side for two further years , and now she was speaking to him as if this was their first ever meeting ."
4689,a further four times,four further times,"He also heard her mention her fiancé four further times , in case he 'd forgotten she was now engaged ."
4690,a further two points,two further points,"One week later , the government 's approval rating fell two further points , plummeting to a new low of thirty - four ."
4691,a quick eighteen holes,eighteen quick holes,"When Pridham called late yesterday to ask if he wanted to join him for eighteen quick holes , he did n't hesitate to jump on his private jet and fly halfway across the country to take him up on the offer ."
4692,a further twenty minutes,twenty further minutes,The nearest two - horse town was twenty further minutes down the road .
4693,an extra ten kilograms,ten extra kilograms,"This , along with the apparent beating he took , likely contributed to the drastic change in his appearance , giving him ten extra kilograms of junkie bloat and the mental alertness of a dementia patient ."
4694,a further four times,four further times,"He splashed water over his face and wiped it off with a hand towel , a process he repeated four further times ."
4695,a full ten minutes,ten full minutes,"Hell , even NBC News had ten full minutes devoted to it on their nightly news ."
4696,a short three blocks,three short blocks,"It was three short blocks from the State Police building to the Capitol , but this was no time to walk ."
4697,a good 65 miles,65 good miles,Flint was 65 good miles from Windsor and Fuller estimated that it would take about 6 minutes for the drone to travel that distance .
4698,a few million bucks,million few bucks,"He 'll get an audience as big as yours in no time , especially when I throw in million few bucks to promote the guy ."
4699,a full eight hours,eight full hours,"If only I could get laid and have eight full hours of sleep , would n't that be awesome , he thought ."
4700,a good five seconds,five good seconds,Bailey stared at his hand outstretched towards her for five good seconds before she realized she should probably reach out and shake it .
4701,a few hundred yards,hundred few yards,"When all had been carried up , the canoe was launched into the quiet water hundred few yards above the fall , the baggage was replaced in it , and we were ready to continue our voyage ."
4702,a full hundred years,hundred full years,""" Social and economic changes have moved this generation hundred full years ahead of our fathers ."
4703,a good five blocks,five good blocks,""" Right up the street , "" I say , five good blocks from my house ."
4704,a strange two days,two strange days,So this has been two strange days no doubt .
4705,an extra twenty minutes,twenty extra minutes,"She blow - dried and straightened her hair , an undertaking that took twenty extra minutes , only to end up pulling it back for work and school ."
4706,a long thirty minutes,thirty long minutes,It was thirty long minutes .
4707,a few hundred dollars,hundred few dollars,"The woman hardly spent hundred few dollars a month , no matter how much he bugged her ."
4708,a rough two months,two rough months,"It 'd been two rough months , but in the end , life was good ."
4709,a full ten inches,ten full inches,"Hovering ten full inches above the foot of his bed was a very small , fluorescent green Camembert cheese ."
4710,a measly three hours,three measly hours,"He texted her , and Lizzie met him for breakfast Sunday morning , getting only three measly hours sleep after her foray to the beach ."
4711,a full five seconds,five full seconds,"Taurean held Tom 's gaze , his expression neutral , for five full seconds ."
4712,a full 30 minutes,30 full minutes,"On the ride out of Zhaoqing , above the roar of the passing vehicles , Emma had talked – shouted – for 30 full minutes about how they both worked for a bank in New York and , at 25 , were being sent to Shanghai to help run a new investment department ."
4713,a full five seconds,five full seconds,"I did once get trapped in direct sunlight for five full seconds , though . """
4714,a good eight or ten years,eight or ten good years,"I come across a blaster in my salvage every once in a while , but that 's the first one I have seen in the populace for eight or ten good years . """
4715,a few hundred meters,hundred few meters,"The two high - energy bolts streamed past our position , missing the _ Daunte _ by only hundred few meters ."
4716,a couple hundred credits,hundred couple credits,I 'll get it activated and throw hundred couple credits on there .
4717,a few hundred credits,hundred few credits,"Besides , I was an out - of - work Grunta with only hundred few credits to his name ."
4718,a good few hundred metres,hundred good few metres,"There 's a rope attached to a boulder in the cavern , which hangs down the tunnels , and you have to pull yourself up with it in places , else you 'd just slip down again , and the vertical tunnel is hundred good few metres high , so it 's a good idea not to fall ."
4719,a spirited nine holes,nine spirited holes,"Several paratroopers snuck away from a map - reading exercise , detoured to a nearby golf course , "" stuffed their M-1s in the golf bags and played nine spirited holes . """
4720,a few thousand acres,thousand few acres,"It is a sprawling place , probably covering thousand few acres ."
4721,a lanky six feet,six lanky feet,"Robert was about my age and stood six lanky feet tall , dressed handsomely in a black uniform suit with tails ."
4722,a respectable five minutes,five respectable minutes,"Then , after waiting five respectable minutes or so to make sure Mr. Wilson was n't returning , I started my ascent ."
4723,a full thirty minutes,thirty full minutes,"Our first guest arrived thirty full minutes before the others , hurrying into the ballroom as if someone was chasing him ."
4724,an extra two days,two extra days,"Matteo explained because of the changes in the contract , he would stay two extra days ."
4725,a very happy 25 years,25 very happy years,"Prophet Muhammad ( peace be upon him ) married Sawdah bint Zamah a short while after the death of his first and most beloved wife , Khadijah , with whom he shared 25 very happy years of his blessed life ."
4726,a mere six months,six mere months,Trillionaire philanthropist Julia Rampersaud landed on the moon six mere months after the completion of the space elevator she had helped design .
4727,a full two minutes,two full minutes,"Rin asked , when they sat in silence for two full minutes ."
4728,an extra two feet,two extra feet,"Until Eryn explained that it was that little git that was responsible for Jack growing two extra feet , not to mention tripling his body weight ."
4729,a few thousand people,thousand few people,"Russell fell back into an arm chair , "" Well , I 'd say we 're royally screwed , not to mention thousand few people as well . """
4730,a full five seconds,five full seconds,The bookie 's clerk politely stared at the priest for five full seconds .
4731,a good 200 metres,200 good metres,"One sunny cloudless morning , Ogglebog plucked up the courage to leave his abandoned ballroom and venture outside as far as the fence , 200 good metres away ."
4732,a pleasant 75 degrees,75 pleasant degrees,"But now , even if the temperature is 75 pleasant degrees , your neighbor 's huge RV will be heating up like a meth lab in Bakersfield ."
4733,a full eight hours,eight full hours,"Maybe instead of a quick nap , she 'd just go and get eight full hours of sleep ."
4734,a few million dollars,million few dollars,"Seriously , losing million few dollars , immortality and your whole career for the sake of having a little , annoying and unpredictable puppet that will turn its back on you and become immortal itself as soon as it turns 25 !"
4735,a few hundred bucks,hundred few bucks,"Can you not just change it for tonight , all I need is hundred few bucks !"
4736,a few hundred meters,hundred few meters,But how could she ever had predicted or taken precautions against what was happening hundred few meters away right now ?
4737,a few hundred years,hundred few years,"Maybe the energy from my body will be used by an oak seed , and I 'll end up being a tree for hundred few years ."
4738,a few hundred meters,hundred few meters,He helped her out the vehicle and walked her hundred few meters .
4739,a few hundred meters,hundred few meters,"From the drop - off point , she had hundred few meters up the hill along the oldest street in Edinburgh , the Royal Mile ."
4740,an amazing six months,six amazing months,This has been six amazing months even without making love to you .
4741,a whole two weeks,two whole weeks,"Jana needed a reason for them to get away for just two whole weeks away from work and home life because it is just to plain for them now , let alone living together without any sexual interactions is bothering her too when they first got together they could n't stand to keep their hands away but she may just leave for a while until she felt it is time to revive what they had ."
4742,a whole two weeks,two whole weeks,Angel could n't believe she got reservations for a hotel in California for two whole weeks with a high cost that is unbelievable but she had to make sure to schedule a few days prior to make sure rooms were available .
4743,a brief ten years,ten brief years,"The thirty - two member crew is expected to further the centipede gate development begun by Kudenka 's explorers , the crew of Sesylendae , who returned but ten brief years ago ."
4744,a few hundred years,hundred few years,"Ornenkai had tried to forget about Hinev 's explorers and about Fynals Hinev as much as possible , except when he and the other Elders had required another clone transfer hundred few years before ."
4745,a few hundred refugees,hundred few refugees,"Early on , we received hundred few refugees from Helliar , and more still from Feiar living across the galaxy Cluster ."
4746,an anxious thirty seconds,thirty anxious seconds,She rapped a few times and waited thirty anxious seconds before trying the side door .
4747,a mere eight minutes,eight mere minutes,"Reports by sailors on a nearby British ship confirmed that HMS Hood , sinking fast after being blown in two eight mere minutes into the battle , managed to fire one final salvo even as her broken hull sank beneath the heaving seas ."
4748,a few hundred votes,hundred few votes,He was narrowly defeated by only hundred few votes .
4749,a full five minutes,five full minutes,The crowd 's decibel level raised two fold and it took Chris five full minutes to quite those who he himself had stirred to a fever pitch .
4750,an additional ten pounds,ten additional pounds,He looked as if he had lost ten additional pounds or so in addition to the 20 that he had already disposed of in the fall .
4751,an extra six months,six extra months,"We had stayed together six extra months so our daughter could finish the school year before they moved to California , far away from the mountains of Colorado where I would stay ."
4752,a full 60 hours,60 full hours,"As discussed in the introduction , the trait known as the "" fatigue factor "" reveals that after working 60 hours per week for three months , the average weekly productivity drops to less than 20 hours for 60 full hours of work—20 hours of productive work out of a 60 - hour workweek !"
4753,an additional four weeks,four additional weeks,"The lack of not understanding _ what _ he was supposed to build resulted in him having to rebuild the tool , taking four additional weeks of work ."
4754,a further ten minutes,ten further minutes,Give the people ten further minutes to taunt both prisoners .
4755,a full two minutes,two full minutes,"For two full minutes , they were talking in the grey dawn and the rain ."
4756,a few hundred feet,hundred few feet,"He drove hundred few feet , at least that is what he thought when not twenty feet ahead of him stood this black shape of a woman , there is no cloud around _ her _ at all , she seems to be talking to him , but he can not hear anything at all , he shuts off the motor of the car , and gets out to approach her ."
4757,a good fifty feet,fifty good feet,I 'd say fifty good feet each way .
4758,a full three inches,three full inches,"Morghiad felt his eyebrows demand that they should rise three full inches up his forehead and immediately set about arresting them . """
4759,a good three months,three good months,"He still had dreams about the night Artemi had run to him , eyes full of fear , even though three good months had passed since then ."
4760,a full thirty minutes,thirty full minutes,They had thirty full minutes before the first lot would start pouring in .
4761,a full ten minutes,ten full minutes,"Silar had observed him staring at her , unblinkingly , for ten full minutes during one practice session ."
4762,a full seven feet,seven full feet,"His opponent must have been seven full feet tall , for even Morghiad found himself looking up at him when he finally stood upon the earth ."
4763,a few thousand dollars,thousand few dollars,"He stands there for a while , staring at the long corridor , wishing with all his heart that somehow Akira would come back with thousand few dollars in his hand ."
4764,a few ten coins,ten few coins,"' Here Amelia , here is ten few coins . '"
4765,a lousy nine runs,nine lousy runs,What are nine lousy runs ?
4766,a desirable 28 years,28 desirable years,"She knew from the other servants that he was in his prime , 28 desirable years ."
4767,a brisk twenty minutes,twenty brisk minutes,"Crash and Sora walked for twenty brisk minutes until they were in a completely different district of Mayville , though still on the Fallcrest side ."
4768,an extra thirty dollars,thirty extra dollars,"Carrying my breakfast leftovers and with thirty extra dollars in my pocket , I headed into town ."
4769,a few fifty pees,fifty few pees,"There was money for a sausage supper from the chippie , money for some ciggies of his own , money enough even to slip fifty few pees in the electric meter if his mother was n't home ."
4770,a piddling twenty quid,twenty piddling quid,I take it off him for twenty piddling quid and he sends Winston here hot - legging it after me for the bread .
4771,a few hundred yards,hundred few yards,"It was at the foot of the hill , hundred few yards from the ' Masons ' , that she saw Clive ."
4772,a full thousand yards,thousand full yards,"I might not get thousand full yards out of it , but it 's a hell of a lot handier than the 22 "" barrel version . """
4773,a quick five rounds,five quick rounds,"Then he popped up just high enough to aim , and fired five quick rounds into their vehicles ."
4774,a good ten steps,ten good steps,"Erica 's father shoved his way past the men and continued on , for ten good steps before he was felled by the Taser probes that were fired into his back by one of the SWAT cops ."
4775,a good three inches,three good inches,"At the insult , she rose to her full height , three good inches above his own , eyes slits . """
4776,a mere five feet,five mere feet,"Mary stood five mere feet and three - quarters of an inch tall , dressed in serviceable gray muslin with a fresh white apron tied under her sagging bosom ."
4777,a full six days,six full days,"Rather , he took umbrage that James had kept him there six full days after their mother had secured his release ."
4778,a mere five years,five mere years,"The lad looked like William must have five mere years ago , leaving James ' court with hope of glory , adventure , and revenge in his eyes ."
4779,a modest three feet,three modest feet,The stage was three modest feet high and there was a single podium on the top with a microphone attached to it .
4780,a few thousand words,thousand few words,"You 're one of the best copy editors and summary writers in the business but I 've never seen anything you 've written beyond thousand few words or so . """
4781,a few hundred feet,hundred few feet,Max Pary 's office at the Milan Company was located hundred few feet east of the dam site .
4782,a solid twelve hours,twelve solid hours,He then stayed on duty for twelve solid hours straight .
4783,a tough six months,six tough months,"I gave him a quick rundown , reporting we were resting after six tough months of work and asked him a few questions about the status of prosecutions in a mass murder and drug trafficking investigation I had recently led for his office ."
4784,a few hundred feet,hundred few feet,"She set her eyes on the fence in front of her , hundred few feet away ."
4785,a blistering 195 copies,195 blistering copies,"Schadenfreude 's first album , 100 Degrees in the Schadenfreude , sold 195 blistering copies , but most of those were sold to friends and family ."
4786,an eventful three days,three eventful days,Jack Chambers and Craig Banister had been on board the Port Royal for seventy two hours and it had been three eventful days .
4787,an agonizing two days,two agonizing days,It was two agonizing days for the group .
4788,a few six packs,six few packs,"Oscar had arrived with cartons of food from their favorite Chinese restaurant : the Peking Chinese Restaurant , and six few packs of beer ."
4789,a few hundred people,hundred few people,"* * E * * very winter , for about two or three months , the island of Destan — a small island located south of the much larger Northern Isles , home to hundred few people , mostly human , with a tiny minority of amphibious aquarians who lived just off the island 's shore — was beset by the wrath of Kano ."
4790,a staggering twenty sailors,twenty staggering sailors,"The men had been on the losing end of the battle before Kinker fired a cannon at the Tusked God , forcing it to retreat , but not before they lost twenty staggering sailors , about eleven humans and nine aquarians ."
4791,a couple hundred years,hundred couple years,"I imagine they 'll be back in hundred couple years when they fail to catch any mortals on their own and need something to sate their hunger . """
4792,a couple hundred years,hundred couple years,"I know that aquarians have a longer lifespan than humans , of course , and some geromancers have succeeded in extending the natural lifespan of humans by hundred couple years , but only the gods can live to be thousands of years old . """
4793,a solid three hours,three solid hours,"He had managed to slip into his parents ' house and have three solid hours ' sleep in his younger brother 's bed , and only a handful of servants knew he was here ."
4794,a good eight feet,eight good feet,"They cascade down a long stretch of rocks and boulders and form a pool at the bottom , clean and cold , eight good feet in width and five or six at its deepest point , and you can see clear to the pebbles under your toes . """
4795,a good ten minutes,ten good minutes,"As the room lost its chill , it was apparent there was no message from Alice Brown or whoever had visited that night and after waiting for ten good minutes , they broke the circle and blew out the candles ."
4796,a few thousand dollars,thousand few dollars,Some American tourist paid thousand few dollars for an excursion to exterminate one of earth 's most majestic creatures .
4797,a few hundred yards,hundred few yards,"The traffic signals in question were hundred few yards from my office , on a steep stretch of dual carriageway with a 50 mph limit ."
4798,a mere forty dollars,forty mere dollars,"To my surprise , the excess baggage had cost forty mere dollars ."
4799,a whole five seconds,five whole seconds,"Neither one of them moved for five whole seconds , and then something snapped and she managed to shove him away ."
4800,a full two minutes,two full minutes,"After two full minutes passed between them , she straightened her back and lifted her chin in the air ."
4801,a good ten minutes,ten good minutes,They rode for ten good minutes up a slight incline before he spoke to her .
