,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
670,671,The diplomat worked a charming twenty days in Nairobi.,The diplomat worked,a charming twenty days,twenty charming days,charming twenty a days,twenty charming days,twenty a days,charming a days
671,672,The diplomat worked a charming twenty weeks in Nairobi.,The diplomat worked,a charming twenty weeks,twenty charming weeks,charming twenty a weeks,twenty charming weeks,twenty a weeks,charming a weeks
672,673,The diplomat worked a charming twenty months in Nairobi.,The diplomat worked,a charming twenty months,twenty charming months,charming twenty a months,twenty charming months,twenty a months,charming a months
673,674,The diplomat worked a charming twenty years in Nairobi.,The diplomat worked,a charming twenty years,twenty charming years,charming twenty a years,twenty charming years,twenty a years,charming a years
674,675,The diplomat worked a charming twenty hours in Nairobi.,The diplomat worked,a charming twenty hours,twenty charming hours,charming twenty an hours,twenty charming hours,twenty an hours,charming an hours
675,676,The diplomat worked a disgusting three days in Nairobi.,The diplomat worked,a disgusting three days,three disgusting days,disgusting three a days,three disgusting days,three a days,disgusting a days
676,677,The diplomat worked a disgusting three weeks in Nairobi.,The diplomat worked,a disgusting three weeks,three disgusting weeks,disgusting three a weeks,three disgusting weeks,three a weeks,disgusting a weeks
677,678,The diplomat worked a disgusting three months in Nairobi.,The diplomat worked,a disgusting three months,three disgusting months,disgusting three a months,three disgusting months,three a months,disgusting a months
678,679,The diplomat worked a disgusting three years in Nairobi.,The diplomat worked,a disgusting three years,three disgusting years,disgusting three a years,three disgusting years,three a years,disgusting a years
679,680,The diplomat worked a disgusting three hours in Nairobi.,The diplomat worked,a disgusting three hours,three disgusting hours,disgusting three an hours,three disgusting hours,three an hours,disgusting an hours
680,681,The diplomat worked a disgusting five days in Nairobi.,The diplomat worked,a disgusting five days,five disgusting days,disgusting five a days,five disgusting days,five a days,disgusting a days
681,682,The diplomat worked a disgusting five weeks in Nairobi.,The diplomat worked,a disgusting five weeks,five disgusting weeks,disgusting five a weeks,five disgusting weeks,five a weeks,disgusting a weeks
682,683,The diplomat worked a disgusting five months in Nairobi.,The diplomat worked,a disgusting five months,five disgusting months,disgusting five a months,five disgusting months,five a months,disgusting a months
683,684,The diplomat worked a disgusting five years in Nairobi.,The diplomat worked,a disgusting five years,five disgusting years,disgusting five a years,five disgusting years,five a years,disgusting a years
684,685,The diplomat worked a disgusting five hours in Nairobi.,The diplomat worked,a disgusting five hours,five disgusting hours,disgusting five an hours,five disgusting hours,five an hours,disgusting an hours
685,686,The diplomat worked a disgusting twenty days in Nairobi.,The diplomat worked,a disgusting twenty days,twenty disgusting days,disgusting twenty a days,twenty disgusting days,twenty a days,disgusting a days
686,687,The diplomat worked a disgusting twenty weeks in Nairobi.,The diplomat worked,a disgusting twenty weeks,twenty disgusting weeks,disgusting twenty a weeks,twenty disgusting weeks,twenty a weeks,disgusting a weeks
687,688,The diplomat worked a disgusting twenty months in Nairobi.,The diplomat worked,a disgusting twenty months,twenty disgusting months,disgusting twenty a months,twenty disgusting months,twenty a months,disgusting a months
688,689,The diplomat worked a disgusting twenty years in Nairobi.,The diplomat worked,a disgusting twenty years,twenty disgusting years,disgusting twenty a years,twenty disgusting years,twenty a years,disgusting a years
689,690,The diplomat worked a disgusting twenty hours in Nairobi.,The diplomat worked,a disgusting twenty hours,twenty disgusting hours,disgusting twenty an hours,twenty disgusting hours,twenty an hours,disgusting an hours
690,691,The diplomat worked an uninviting three days in Nairobi.,The diplomat worked,an uninviting three days,three uninviting days,uninviting three a days,three uninviting days,three a days,uninviting a days
691,692,The diplomat worked an uninviting three weeks in Nairobi.,The diplomat worked,an uninviting three weeks,three uninviting weeks,uninviting three a weeks,three uninviting weeks,three a weeks,uninviting a weeks
692,693,The diplomat worked an uninviting three months in Nairobi.,The diplomat worked,an uninviting three months,three uninviting months,uninviting three a months,three uninviting months,three a months,uninviting a months
693,694,The diplomat worked an uninviting three years in Nairobi.,The diplomat worked,an uninviting three years,three uninviting years,uninviting three a years,three uninviting years,three a years,uninviting a years
694,695,The diplomat worked an uninviting three hours in Nairobi.,The diplomat worked,an uninviting three hours,three uninviting hours,uninviting three an hours,three uninviting hours,three an hours,uninviting an hours
695,696,The diplomat worked an uninviting five days in Nairobi.,The diplomat worked,an uninviting five days,five uninviting days,uninviting five a days,five uninviting days,five a days,uninviting a days
696,697,The diplomat worked an uninviting five weeks in Nairobi.,The diplomat worked,an uninviting five weeks,five uninviting weeks,uninviting five a weeks,five uninviting weeks,five a weeks,uninviting a weeks
697,698,The diplomat worked an uninviting five months in Nairobi.,The diplomat worked,an uninviting five months,five uninviting months,uninviting five a months,five uninviting months,five a months,uninviting a months
698,699,The diplomat worked an uninviting five years in Nairobi.,The diplomat worked,an uninviting five years,five uninviting years,uninviting five a years,five uninviting years,five a years,uninviting a years
699,700,The diplomat worked an uninviting five hours in Nairobi.,The diplomat worked,an uninviting five hours,five uninviting hours,uninviting five an hours,five uninviting hours,five an hours,uninviting an hours
700,701,The diplomat worked an uninviting twenty days in Nairobi.,The diplomat worked,an uninviting twenty days,twenty uninviting days,uninviting twenty a days,twenty uninviting days,twenty a days,uninviting a days
701,702,The diplomat worked an uninviting twenty weeks in Nairobi.,The diplomat worked,an uninviting twenty weeks,twenty uninviting weeks,uninviting twenty a weeks,twenty uninviting weeks,twenty a weeks,uninviting a weeks
702,703,The diplomat worked an uninviting twenty months in Nairobi.,The diplomat worked,an uninviting twenty months,twenty uninviting months,uninviting twenty a months,twenty uninviting months,twenty a months,uninviting a months
703,704,The diplomat worked an uninviting twenty years in Nairobi.,The diplomat worked,an uninviting twenty years,twenty uninviting years,uninviting twenty a years,twenty uninviting years,twenty a years,uninviting a years
704,705,The diplomat worked an uninviting twenty hours in Nairobi.,The diplomat worked,an uninviting twenty hours,twenty uninviting hours,uninviting twenty an hours,twenty uninviting hours,twenty an hours,uninviting an hours
705,706,The diplomat worked a haunting three days in Nairobi.,The diplomat worked,a haunting three days,three haunting days,haunting three a days,three haunting days,three a days,haunting a days
706,707,The diplomat worked a haunting three weeks in Nairobi.,The diplomat worked,a haunting three weeks,three haunting weeks,haunting three a weeks,three haunting weeks,three a weeks,haunting a weeks
707,708,The diplomat worked a haunting three months in Nairobi.,The diplomat worked,a haunting three months,three haunting months,haunting three a months,three haunting months,three a months,haunting a months
708,709,The diplomat worked a haunting three years in Nairobi.,The diplomat worked,a haunting three years,three haunting years,haunting three a years,three haunting years,three a years,haunting a years
709,710,The diplomat worked a haunting three hours in Nairobi.,The diplomat worked,a haunting three hours,three haunting hours,haunting three an hours,three haunting hours,three an hours,haunting an hours
710,711,The diplomat worked a haunting five days in Nairobi.,The diplomat worked,a haunting five days,five haunting days,haunting five a days,five haunting days,five a days,haunting a days
711,712,The diplomat worked a haunting five weeks in Nairobi.,The diplomat worked,a haunting five weeks,five haunting weeks,haunting five a weeks,five haunting weeks,five a weeks,haunting a weeks
712,713,The diplomat worked a haunting five months in Nairobi.,The diplomat worked,a haunting five months,five haunting months,haunting five a months,five haunting months,five a months,haunting a months
713,714,The diplomat worked a haunting five years in Nairobi.,The diplomat worked,a haunting five years,five haunting years,haunting five a years,five haunting years,five a years,haunting a years
714,715,The diplomat worked a haunting five hours in Nairobi.,The diplomat worked,a haunting five hours,five haunting hours,haunting five an hours,five haunting hours,five an hours,haunting an hours
715,716,The diplomat worked a haunting twenty days in Nairobi.,The diplomat worked,a haunting twenty days,twenty haunting days,haunting twenty a days,twenty haunting days,twenty a days,haunting a days
716,717,The diplomat worked a haunting twenty weeks in Nairobi.,The diplomat worked,a haunting twenty weeks,twenty haunting weeks,haunting twenty a weeks,twenty haunting weeks,twenty a weeks,haunting a weeks
717,718,The diplomat worked a haunting twenty months in Nairobi.,The diplomat worked,a haunting twenty months,twenty haunting months,haunting twenty a months,twenty haunting months,twenty a months,haunting a months
718,719,The diplomat worked a haunting twenty years in Nairobi.,The diplomat worked,a haunting twenty years,twenty haunting years,haunting twenty a years,twenty haunting years,twenty a years,haunting a years
719,720,The diplomat worked a haunting twenty hours in Nairobi.,The diplomat worked,a haunting twenty hours,twenty haunting hours,haunting twenty an hours,twenty haunting hours,twenty an hours,haunting an hours
720,721,The diplomat worked a hideous three days in Nairobi.,The diplomat worked,a hideous three days,three hideous days,hideous three a days,three hideous days,three a days,hideous a days
721,722,The diplomat worked a hideous three weeks in Nairobi.,The diplomat worked,a hideous three weeks,three hideous weeks,hideous three a weeks,three hideous weeks,three a weeks,hideous a weeks
722,723,The diplomat worked a hideous three months in Nairobi.,The diplomat worked,a hideous three months,three hideous months,hideous three a months,three hideous months,three a months,hideous a months
723,724,The diplomat worked a hideous three years in Nairobi.,The diplomat worked,a hideous three years,three hideous years,hideous three a years,three hideous years,three a years,hideous a years
724,725,The diplomat worked a hideous three hours in Nairobi.,The diplomat worked,a hideous three hours,three hideous hours,hideous three an hours,three hideous hours,three an hours,hideous an hours
725,726,The diplomat worked a hideous five days in Nairobi.,The diplomat worked,a hideous five days,five hideous days,hideous five a days,five hideous days,five a days,hideous a days
726,727,The diplomat worked a hideous five weeks in Nairobi.,The diplomat worked,a hideous five weeks,five hideous weeks,hideous five a weeks,five hideous weeks,five a weeks,hideous a weeks
727,728,The diplomat worked a hideous five months in Nairobi.,The diplomat worked,a hideous five months,five hideous months,hideous five a months,five hideous months,five a months,hideous a months
728,729,The diplomat worked a hideous five years in Nairobi.,The diplomat worked,a hideous five years,five hideous years,hideous five a years,five hideous years,five a years,hideous a years
729,730,The diplomat worked a hideous five hours in Nairobi.,The diplomat worked,a hideous five hours,five hideous hours,hideous five an hours,five hideous hours,five an hours,hideous an hours
730,731,The diplomat worked a hideous twenty days in Nairobi.,The diplomat worked,a hideous twenty days,twenty hideous days,hideous twenty a days,twenty hideous days,twenty a days,hideous a days
731,732,The diplomat worked a hideous twenty weeks in Nairobi.,The diplomat worked,a hideous twenty weeks,twenty hideous weeks,hideous twenty a weeks,twenty hideous weeks,twenty a weeks,hideous a weeks
732,733,The diplomat worked a hideous twenty months in Nairobi.,The diplomat worked,a hideous twenty months,twenty hideous months,hideous twenty a months,twenty hideous months,twenty a months,hideous a months
733,734,The diplomat worked a hideous twenty years in Nairobi.,The diplomat worked,a hideous twenty years,twenty hideous years,hideous twenty a years,twenty hideous years,twenty a years,hideous a years
734,735,The diplomat worked a hideous twenty hours in Nairobi.,The diplomat worked,a hideous twenty hours,twenty hideous hours,hideous twenty an hours,twenty hideous hours,twenty an hours,hideous an hours
735,736,The diplomat worked an ugly three days in Nairobi.,The diplomat worked,an ugly three days,three ugly days,ugly three a days,three ugly days,three a days,ugly a days
736,737,The diplomat worked an ugly three weeks in Nairobi.,The diplomat worked,an ugly three weeks,three ugly weeks,ugly three a weeks,three ugly weeks,three a weeks,ugly a weeks
737,738,The diplomat worked an ugly three months in Nairobi.,The diplomat worked,an ugly three months,three ugly months,ugly three a months,three ugly months,three a months,ugly a months
738,739,The diplomat worked an ugly three years in Nairobi.,The diplomat worked,an ugly three years,three ugly years,ugly three a years,three ugly years,three a years,ugly a years
739,740,The diplomat worked an ugly three hours in Nairobi.,The diplomat worked,an ugly three hours,three ugly hours,ugly three an hours,three ugly hours,three an hours,ugly an hours
740,741,The diplomat worked an ugly five days in Nairobi.,The diplomat worked,an ugly five days,five ugly days,ugly five a days,five ugly days,five a days,ugly a days
741,742,The diplomat worked an ugly five weeks in Nairobi.,The diplomat worked,an ugly five weeks,five ugly weeks,ugly five a weeks,five ugly weeks,five a weeks,ugly a weeks
742,743,The diplomat worked an ugly five months in Nairobi.,The diplomat worked,an ugly five months,five ugly months,ugly five a months,five ugly months,five a months,ugly a months
743,744,The diplomat worked an ugly five years in Nairobi.,The diplomat worked,an ugly five years,five ugly years,ugly five a years,five ugly years,five a years,ugly a years
744,745,The diplomat worked an ugly five hours in Nairobi.,The diplomat worked,an ugly five hours,five ugly hours,ugly five an hours,five ugly hours,five an hours,ugly an hours
745,746,The diplomat worked an ugly twenty days in Nairobi.,The diplomat worked,an ugly twenty days,twenty ugly days,ugly twenty a days,twenty ugly days,twenty a days,ugly a days
746,747,The diplomat worked an ugly twenty weeks in Nairobi.,The diplomat worked,an ugly twenty weeks,twenty ugly weeks,ugly twenty a weeks,twenty ugly weeks,twenty a weeks,ugly a weeks
747,748,The diplomat worked an ugly twenty months in Nairobi.,The diplomat worked,an ugly twenty months,twenty ugly months,ugly twenty a months,twenty ugly months,twenty a months,ugly a months
748,749,The diplomat worked an ugly twenty years in Nairobi.,The diplomat worked,an ugly twenty years,twenty ugly years,ugly twenty a years,twenty ugly years,twenty a years,ugly a years
749,750,The diplomat worked an ugly twenty hours in Nairobi.,The diplomat worked,an ugly twenty hours,twenty ugly hours,ugly twenty an hours,twenty ugly hours,twenty an hours,ugly an hours
750,751,The diplomat worked a mere three days in Nairobi.,The diplomat worked,a mere three days,three mere days,mere three a days,three mere days,three a days,mere a days
751,752,The diplomat worked a mere three weeks in Nairobi.,The diplomat worked,a mere three weeks,three mere weeks,mere three a weeks,three mere weeks,three a weeks,mere a weeks
752,753,The diplomat worked a mere three months in Nairobi.,The diplomat worked,a mere three months,three mere months,mere three a months,three mere months,three a months,mere a months
753,754,The diplomat worked a mere three years in Nairobi.,The diplomat worked,a mere three years,three mere years,mere three a years,three mere years,three a years,mere a years
754,755,The diplomat worked a mere three hours in Nairobi.,The diplomat worked,a mere three hours,three mere hours,mere three an hours,three mere hours,three an hours,mere an hours
755,756,The diplomat worked a mere five days in Nairobi.,The diplomat worked,a mere five days,five mere days,mere five a days,five mere days,five a days,mere a days
756,757,The diplomat worked a mere five weeks in Nairobi.,The diplomat worked,a mere five weeks,five mere weeks,mere five a weeks,five mere weeks,five a weeks,mere a weeks
757,758,The diplomat worked a mere five months in Nairobi.,The diplomat worked,a mere five months,five mere months,mere five a months,five mere months,five a months,mere a months
758,759,The diplomat worked a mere five years in Nairobi.,The diplomat worked,a mere five years,five mere years,mere five a years,five mere years,five a years,mere a years
759,760,The diplomat worked a mere five hours in Nairobi.,The diplomat worked,a mere five hours,five mere hours,mere five an hours,five mere hours,five an hours,mere an hours
760,761,The diplomat worked a mere twenty days in Nairobi.,The diplomat worked,a mere twenty days,twenty mere days,mere twenty a days,twenty mere days,twenty a days,mere a days
761,762,The diplomat worked a mere twenty weeks in Nairobi.,The diplomat worked,a mere twenty weeks,twenty mere weeks,mere twenty a weeks,twenty mere weeks,twenty a weeks,mere a weeks
762,763,The diplomat worked a mere twenty months in Nairobi.,The diplomat worked,a mere twenty months,twenty mere months,mere twenty a months,twenty mere months,twenty a months,mere a months
763,764,The diplomat worked a mere twenty years in Nairobi.,The diplomat worked,a mere twenty years,twenty mere years,mere twenty a years,twenty mere years,twenty a years,mere a years
764,765,The diplomat worked a mere twenty hours in Nairobi.,The diplomat worked,a mere twenty hours,twenty mere hours,mere twenty an hours,twenty mere hours,twenty an hours,mere an hours
765,766,The diplomat worked a staggering three days in Nairobi.,The diplomat worked,a staggering three days,three staggering days,staggering three a days,three staggering days,three a days,staggering a days
766,767,The diplomat worked a staggering three weeks in Nairobi.,The diplomat worked,a staggering three weeks,three staggering weeks,staggering three a weeks,three staggering weeks,three a weeks,staggering a weeks
767,768,The diplomat worked a staggering three months in Nairobi.,The diplomat worked,a staggering three months,three staggering months,staggering three a months,three staggering months,three a months,staggering a months
768,769,The diplomat worked a staggering three years in Nairobi.,The diplomat worked,a staggering three years,three staggering years,staggering three a years,three staggering years,three a years,staggering a years
769,770,The diplomat worked a staggering three hours in Nairobi.,The diplomat worked,a staggering three hours,three staggering hours,staggering three an hours,three staggering hours,three an hours,staggering an hours
770,771,The diplomat worked a staggering five days in Nairobi.,The diplomat worked,a staggering five days,five staggering days,staggering five a days,five staggering days,five a days,staggering a days
771,772,The diplomat worked a staggering five weeks in Nairobi.,The diplomat worked,a staggering five weeks,five staggering weeks,staggering five a weeks,five staggering weeks,five a weeks,staggering a weeks
772,773,The diplomat worked a staggering five months in Nairobi.,The diplomat worked,a staggering five months,five staggering months,staggering five a months,five staggering months,five a months,staggering a months
773,774,The diplomat worked a staggering five years in Nairobi.,The diplomat worked,a staggering five years,five staggering years,staggering five a years,five staggering years,five a years,staggering a years
774,775,The diplomat worked a staggering five hours in Nairobi.,The diplomat worked,a staggering five hours,five staggering hours,staggering five an hours,five staggering hours,five an hours,staggering an hours
775,776,The diplomat worked a staggering twenty days in Nairobi.,The diplomat worked,a staggering twenty days,twenty staggering days,staggering twenty a days,twenty staggering days,twenty a days,staggering a days
776,777,The diplomat worked a staggering twenty weeks in Nairobi.,The diplomat worked,a staggering twenty weeks,twenty staggering weeks,staggering twenty a weeks,twenty staggering weeks,twenty a weeks,staggering a weeks
777,778,The diplomat worked a staggering twenty months in Nairobi.,The diplomat worked,a staggering twenty months,twenty staggering months,staggering twenty a months,twenty staggering months,twenty a months,staggering a months
778,779,The diplomat worked a staggering twenty years in Nairobi.,The diplomat worked,a staggering twenty years,twenty staggering years,staggering twenty a years,twenty staggering years,twenty a years,staggering a years
779,780,The diplomat worked a staggering twenty hours in Nairobi.,The diplomat worked,a staggering twenty hours,twenty staggering hours,staggering twenty an hours,twenty staggering hours,twenty an hours,staggering an hours
780,781,The diplomat worked a whopping three days in Nairobi.,The diplomat worked,a whopping three days,three whopping days,whopping three a days,three whopping days,three a days,whopping a days
781,782,The diplomat worked a whopping three weeks in Nairobi.,The diplomat worked,a whopping three weeks,three whopping weeks,whopping three a weeks,three whopping weeks,three a weeks,whopping a weeks
782,783,The diplomat worked a whopping three months in Nairobi.,The diplomat worked,a whopping three months,three whopping months,whopping three a months,three whopping months,three a months,whopping a months
783,784,The diplomat worked a whopping three years in Nairobi.,The diplomat worked,a whopping three years,three whopping years,whopping three a years,three whopping years,three a years,whopping a years
784,785,The diplomat worked a whopping three hours in Nairobi.,The diplomat worked,a whopping three hours,three whopping hours,whopping three an hours,three whopping hours,three an hours,whopping an hours
785,786,The diplomat worked a whopping five days in Nairobi.,The diplomat worked,a whopping five days,five whopping days,whopping five a days,five whopping days,five a days,whopping a days
786,787,The diplomat worked a whopping five weeks in Nairobi.,The diplomat worked,a whopping five weeks,five whopping weeks,whopping five a weeks,five whopping weeks,five a weeks,whopping a weeks
787,788,The diplomat worked a whopping five months in Nairobi.,The diplomat worked,a whopping five months,five whopping months,whopping five a months,five whopping months,five a months,whopping a months
788,789,The diplomat worked a whopping five years in Nairobi.,The diplomat worked,a whopping five years,five whopping years,whopping five a years,five whopping years,five a years,whopping a years
789,790,The diplomat worked a whopping five hours in Nairobi.,The diplomat worked,a whopping five hours,five whopping hours,whopping five an hours,five whopping hours,five an hours,whopping an hours
790,791,The diplomat worked a whopping twenty days in Nairobi.,The diplomat worked,a whopping twenty days,twenty whopping days,whopping twenty a days,twenty whopping days,twenty a days,whopping a days
791,792,The diplomat worked a whopping twenty weeks in Nairobi.,The diplomat worked,a whopping twenty weeks,twenty whopping weeks,whopping twenty a weeks,twenty whopping weeks,twenty a weeks,whopping a weeks
792,793,The diplomat worked a whopping twenty months in Nairobi.,The diplomat worked,a whopping twenty months,twenty whopping months,whopping twenty a months,twenty whopping months,twenty a months,whopping a months
793,794,The diplomat worked a whopping twenty years in Nairobi.,The diplomat worked,a whopping twenty years,twenty whopping years,whopping twenty a years,twenty whopping years,twenty a years,whopping a years
794,795,The diplomat worked a whopping twenty hours in Nairobi.,The diplomat worked,a whopping twenty hours,twenty whopping hours,whopping twenty an hours,twenty whopping hours,twenty an hours,whopping an hours
795,796,The diplomat worked a hefty three days in Nairobi.,The diplomat worked,a hefty three days,three hefty days,hefty three a days,three hefty days,three a days,hefty a days
796,797,The diplomat worked a hefty three weeks in Nairobi.,The diplomat worked,a hefty three weeks,three hefty weeks,hefty three a weeks,three hefty weeks,three a weeks,hefty a weeks
797,798,The diplomat worked a hefty three months in Nairobi.,The diplomat worked,a hefty three months,three hefty months,hefty three a months,three hefty months,three a months,hefty a months
798,799,The diplomat worked a hefty three years in Nairobi.,The diplomat worked,a hefty three years,three hefty years,hefty three a years,three hefty years,three a years,hefty a years
799,800,The diplomat worked a hefty three hours in Nairobi.,The diplomat worked,a hefty three hours,three hefty hours,hefty three an hours,three hefty hours,three an hours,hefty an hours
800,801,The diplomat worked a hefty five days in Nairobi.,The diplomat worked,a hefty five days,five hefty days,hefty five a days,five hefty days,five a days,hefty a days
801,802,The diplomat worked a hefty five weeks in Nairobi.,The diplomat worked,a hefty five weeks,five hefty weeks,hefty five a weeks,five hefty weeks,five a weeks,hefty a weeks
802,803,The diplomat worked a hefty five months in Nairobi.,The diplomat worked,a hefty five months,five hefty months,hefty five a months,five hefty months,five a months,hefty a months
803,804,The diplomat worked a hefty five years in Nairobi.,The diplomat worked,a hefty five years,five hefty years,hefty five a years,five hefty years,five a years,hefty a years
804,805,The diplomat worked a hefty five hours in Nairobi.,The diplomat worked,a hefty five hours,five hefty hours,hefty five an hours,five hefty hours,five an hours,hefty an hours
805,806,The diplomat worked a hefty twenty days in Nairobi.,The diplomat worked,a hefty twenty days,twenty hefty days,hefty twenty a days,twenty hefty days,twenty a days,hefty a days
806,807,The diplomat worked a hefty twenty weeks in Nairobi.,The diplomat worked,a hefty twenty weeks,twenty hefty weeks,hefty twenty a weeks,twenty hefty weeks,twenty a weeks,hefty a weeks
807,808,The diplomat worked a hefty twenty months in Nairobi.,The diplomat worked,a hefty twenty months,twenty hefty months,hefty twenty a months,twenty hefty months,twenty a months,hefty a months
808,809,The diplomat worked a hefty twenty years in Nairobi.,The diplomat worked,a hefty twenty years,twenty hefty years,hefty twenty a years,twenty hefty years,twenty a years,hefty a years
809,810,The diplomat worked a hefty twenty hours in Nairobi.,The diplomat worked,a hefty twenty hours,twenty hefty hours,hefty twenty an hours,twenty hefty hours,twenty an hours,hefty an hours
810,811,The diplomat worked a paltry three days in Nairobi.,The diplomat worked,a paltry three days,three paltry days,paltry three a days,three paltry days,three a days,paltry a days
811,812,The diplomat worked a paltry three weeks in Nairobi.,The diplomat worked,a paltry three weeks,three paltry weeks,paltry three a weeks,three paltry weeks,three a weeks,paltry a weeks
812,813,The diplomat worked a paltry three months in Nairobi.,The diplomat worked,a paltry three months,three paltry months,paltry three a months,three paltry months,three a months,paltry a months
813,814,The diplomat worked a paltry three years in Nairobi.,The diplomat worked,a paltry three years,three paltry years,paltry three a years,three paltry years,three a years,paltry a years
814,815,The diplomat worked a paltry three hours in Nairobi.,The diplomat worked,a paltry three hours,three paltry hours,paltry three an hours,three paltry hours,three an hours,paltry an hours
815,816,The diplomat worked a paltry five days in Nairobi.,The diplomat worked,a paltry five days,five paltry days,paltry five a days,five paltry days,five a days,paltry a days
816,817,The diplomat worked a paltry five weeks in Nairobi.,The diplomat worked,a paltry five weeks,five paltry weeks,paltry five a weeks,five paltry weeks,five a weeks,paltry a weeks
817,818,The diplomat worked a paltry five months in Nairobi.,The diplomat worked,a paltry five months,five paltry months,paltry five a months,five paltry months,five a months,paltry a months
818,819,The diplomat worked a paltry five years in Nairobi.,The diplomat worked,a paltry five years,five paltry years,paltry five a years,five paltry years,five a years,paltry a years
819,820,The diplomat worked a paltry five hours in Nairobi.,The diplomat worked,a paltry five hours,five paltry hours,paltry five an hours,five paltry hours,five an hours,paltry an hours
820,821,The diplomat worked a paltry twenty days in Nairobi.,The diplomat worked,a paltry twenty days,twenty paltry days,paltry twenty a days,twenty paltry days,twenty a days,paltry a days
821,822,The diplomat worked a paltry twenty weeks in Nairobi.,The diplomat worked,a paltry twenty weeks,twenty paltry weeks,paltry twenty a weeks,twenty paltry weeks,twenty a weeks,paltry a weeks
822,823,The diplomat worked a paltry twenty months in Nairobi.,The diplomat worked,a paltry twenty months,twenty paltry months,paltry twenty a months,twenty paltry months,twenty a months,paltry a months
823,824,The diplomat worked a paltry twenty years in Nairobi.,The diplomat worked,a paltry twenty years,twenty paltry years,paltry twenty a years,twenty paltry years,twenty a years,paltry a years
824,825,The diplomat worked a paltry twenty hours in Nairobi.,The diplomat worked,a paltry twenty hours,twenty paltry hours,paltry twenty an hours,twenty paltry hours,twenty an hours,paltry an hours
825,826,The diplomat worked a meager three days in Nairobi.,The diplomat worked,a meager three days,three meager days,meager three a days,three meager days,three a days,meager a days
826,827,The diplomat worked a meager three weeks in Nairobi.,The diplomat worked,a meager three weeks,three meager weeks,meager three a weeks,three meager weeks,three a weeks,meager a weeks
827,828,The diplomat worked a meager three months in Nairobi.,The diplomat worked,a meager three months,three meager months,meager three a months,three meager months,three a months,meager a months
828,829,The diplomat worked a meager three years in Nairobi.,The diplomat worked,a meager three years,three meager years,meager three a years,three meager years,three a years,meager a years
829,830,The diplomat worked a meager three hours in Nairobi.,The diplomat worked,a meager three hours,three meager hours,meager three an hours,three meager hours,three an hours,meager an hours
830,831,The diplomat worked a meager five days in Nairobi.,The diplomat worked,a meager five days,five meager days,meager five a days,five meager days,five a days,meager a days
831,832,The diplomat worked a meager five weeks in Nairobi.,The diplomat worked,a meager five weeks,five meager weeks,meager five a weeks,five meager weeks,five a weeks,meager a weeks
832,833,The diplomat worked a meager five months in Nairobi.,The diplomat worked,a meager five months,five meager months,meager five a months,five meager months,five a months,meager a months
833,834,The diplomat worked a meager five years in Nairobi.,The diplomat worked,a meager five years,five meager years,meager five a years,five meager years,five a years,meager a years
834,835,The diplomat worked a meager five hours in Nairobi.,The diplomat worked,a meager five hours,five meager hours,meager five an hours,five meager hours,five an hours,meager an hours
835,836,The diplomat worked a meager twenty days in Nairobi.,The diplomat worked,a meager twenty days,twenty meager days,meager twenty a days,twenty meager days,twenty a days,meager a days
836,837,The diplomat worked a meager twenty weeks in Nairobi.,The diplomat worked,a meager twenty weeks,twenty meager weeks,meager twenty a weeks,twenty meager weeks,twenty a weeks,meager a weeks
837,838,The diplomat worked a meager twenty months in Nairobi.,The diplomat worked,a meager twenty months,twenty meager months,meager twenty a months,twenty meager months,twenty a months,meager a months
838,839,The diplomat worked a meager twenty years in Nairobi.,The diplomat worked,a meager twenty years,twenty meager years,meager twenty a years,twenty meager years,twenty a years,meager a years
839,840,The diplomat worked a meager twenty hours in Nairobi.,The diplomat worked,a meager twenty hours,twenty meager hours,meager twenty an hours,twenty meager hours,twenty an hours,meager an hours
840,841,The diplomat worked an extra three days in Nairobi.,The diplomat worked,an extra three days,three extra days,extra three a days,three extra days,three a days,extra a days
841,842,The diplomat worked an extra three weeks in Nairobi.,The diplomat worked,an extra three weeks,three extra weeks,extra three a weeks,three extra weeks,three a weeks,extra a weeks
842,843,The diplomat worked an extra three months in Nairobi.,The diplomat worked,an extra three months,three extra months,extra three a months,three extra months,three a months,extra a months
843,844,The diplomat worked an extra three years in Nairobi.,The diplomat worked,an extra three years,three extra years,extra three a years,three extra years,three a years,extra a years
844,845,The diplomat worked an extra three hours in Nairobi.,The diplomat worked,an extra three hours,three extra hours,extra three an hours,three extra hours,three an hours,extra an hours
845,846,The diplomat worked an extra five days in Nairobi.,The diplomat worked,an extra five days,five extra days,extra five a days,five extra days,five a days,extra a days
846,847,The diplomat worked an extra five weeks in Nairobi.,The diplomat worked,an extra five weeks,five extra weeks,extra five a weeks,five extra weeks,five a weeks,extra a weeks
847,848,The diplomat worked an extra five months in Nairobi.,The diplomat worked,an extra five months,five extra months,extra five a months,five extra months,five a months,extra a months
848,849,The diplomat worked an extra five years in Nairobi.,The diplomat worked,an extra five years,five extra years,extra five a years,five extra years,five a years,extra a years
849,850,The diplomat worked an extra five hours in Nairobi.,The diplomat worked,an extra five hours,five extra hours,extra five an hours,five extra hours,five an hours,extra an hours
850,851,The diplomat worked an extra twenty days in Nairobi.,The diplomat worked,an extra twenty days,twenty extra days,extra twenty a days,twenty extra days,twenty a days,extra a days
