idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
273,The family spent a hideous three months in London.,The family spent,three hideous a months,three hideous months,hideous three a months,three hideous months,three a months,hideous a months
274,The family spent a hideous three years in London.,The family spent,three hideous a years,three hideous years,hideous three a years,three hideous years,three a years,hideous a years
275,The family spent a hideous three hours in London.,The family spent,three hideous an hours,three hideous hours,hideous three an hours,three hideous hours,three an hours,hideous an hours
276,The family spent a hideous five days in London.,The family spent,five hideous a days,five hideous days,hideous five a days,five hideous days,five a days,hideous a days
277,The family spent a hideous five weeks in London.,The family spent,five hideous a weeks,five hideous weeks,hideous five a weeks,five hideous weeks,five a weeks,hideous a weeks
278,The family spent a hideous five months in London.,The family spent,five hideous a months,five hideous months,hideous five a months,five hideous months,five a months,hideous a months
279,The family spent a hideous five years in London.,The family spent,five hideous a years,five hideous years,hideous five a years,five hideous years,five a years,hideous a years
280,The family spent a hideous five hours in London.,The family spent,five hideous an hours,five hideous hours,hideous five an hours,five hideous hours,five an hours,hideous an hours
281,The family spent a hideous twenty days in London.,The family spent,twenty hideous a days,twenty hideous days,hideous twenty a days,twenty hideous days,twenty a days,hideous a days
282,The family spent a hideous twenty weeks in London.,The family spent,twenty hideous a weeks,twenty hideous weeks,hideous twenty a weeks,twenty hideous weeks,twenty a weeks,hideous a weeks
283,The family spent a hideous twenty months in London.,The family spent,twenty hideous a months,twenty hideous months,hideous twenty a months,twenty hideous months,twenty a months,hideous a months
284,The family spent a hideous twenty years in London.,The family spent,twenty hideous a years,twenty hideous years,hideous twenty a years,twenty hideous years,twenty a years,hideous a years
285,The family spent a hideous twenty hours in London.,The family spent,twenty hideous an hours,twenty hideous hours,hideous twenty an hours,twenty hideous hours,twenty an hours,hideous an hours
286,The family spent an ugly three days in London.,The family spent,three ugly a days,three ugly days,ugly three a days,three ugly days,three a days,ugly a days
287,The family spent an ugly three weeks in London.,The family spent,three ugly a weeks,three ugly weeks,ugly three a weeks,three ugly weeks,three a weeks,ugly a weeks
288,The family spent an ugly three months in London.,The family spent,three ugly a months,three ugly months,ugly three a months,three ugly months,three a months,ugly a months
289,The family spent an ugly three years in London.,The family spent,three ugly a years,three ugly years,ugly three a years,three ugly years,three a years,ugly a years
290,The family spent an ugly three hours in London.,The family spent,three ugly an hours,three ugly hours,ugly three an hours,three ugly hours,three an hours,ugly an hours
291,The family spent an ugly five days in London.,The family spent,five ugly a days,five ugly days,ugly five a days,five ugly days,five a days,ugly a days
292,The family spent an ugly five weeks in London.,The family spent,five ugly a weeks,five ugly weeks,ugly five a weeks,five ugly weeks,five a weeks,ugly a weeks
293,The family spent an ugly five months in London.,The family spent,five ugly a months,five ugly months,ugly five a months,five ugly months,five a months,ugly a months
294,The family spent an ugly five years in London.,The family spent,five ugly a years,five ugly years,ugly five a years,five ugly years,five a years,ugly a years
295,The family spent an ugly five hours in London.,The family spent,five ugly an hours,five ugly hours,ugly five an hours,five ugly hours,five an hours,ugly an hours
296,The family spent an ugly twenty days in London.,The family spent,twenty ugly a days,twenty ugly days,ugly twenty a days,twenty ugly days,twenty a days,ugly a days
297,The family spent an ugly twenty weeks in London.,The family spent,twenty ugly a weeks,twenty ugly weeks,ugly twenty a weeks,twenty ugly weeks,twenty a weeks,ugly a weeks
298,The family spent an ugly twenty months in London.,The family spent,twenty ugly a months,twenty ugly months,ugly twenty a months,twenty ugly months,twenty a months,ugly a months
299,The family spent an ugly twenty years in London.,The family spent,twenty ugly a years,twenty ugly years,ugly twenty a years,twenty ugly years,twenty a years,ugly a years
300,The family spent an ugly twenty hours in London.,The family spent,twenty ugly an hours,twenty ugly hours,ugly twenty an hours,twenty ugly hours,twenty an hours,ugly an hours
301,The family spent a mere three days in London.,The family spent,three mere a days,three mere days,mere three a days,three mere days,three a days,mere a days
302,The family spent a mere three weeks in London.,The family spent,three mere a weeks,three mere weeks,mere three a weeks,three mere weeks,three a weeks,mere a weeks
303,The family spent a mere three months in London.,The family spent,three mere a months,three mere months,mere three a months,three mere months,three a months,mere a months
304,The family spent a mere three years in London.,The family spent,three mere a years,three mere years,mere three a years,three mere years,three a years,mere a years
305,The family spent a mere three hours in London.,The family spent,three mere an hours,three mere hours,mere three an hours,three mere hours,three an hours,mere an hours
306,The family spent a mere five days in London.,The family spent,five mere a days,five mere days,mere five a days,five mere days,five a days,mere a days
307,The family spent a mere five weeks in London.,The family spent,five mere a weeks,five mere weeks,mere five a weeks,five mere weeks,five a weeks,mere a weeks
308,The family spent a mere five months in London.,The family spent,five mere a months,five mere months,mere five a months,five mere months,five a months,mere a months
309,The family spent a mere five years in London.,The family spent,five mere a years,five mere years,mere five a years,five mere years,five a years,mere a years
310,The family spent a mere five hours in London.,The family spent,five mere an hours,five mere hours,mere five an hours,five mere hours,five an hours,mere an hours
311,The family spent a mere twenty days in London.,The family spent,twenty mere a days,twenty mere days,mere twenty a days,twenty mere days,twenty a days,mere a days
312,The family spent a mere twenty weeks in London.,The family spent,twenty mere a weeks,twenty mere weeks,mere twenty a weeks,twenty mere weeks,twenty a weeks,mere a weeks
313,The family spent a mere twenty months in London.,The family spent,twenty mere a months,twenty mere months,mere twenty a months,twenty mere months,twenty a months,mere a months
314,The family spent a mere twenty years in London.,The family spent,twenty mere a years,twenty mere years,mere twenty a years,twenty mere years,twenty a years,mere a years
315,The family spent a mere twenty hours in London.,The family spent,twenty mere an hours,twenty mere hours,mere twenty an hours,twenty mere hours,twenty an hours,mere an hours
316,The family spent a staggering three days in London.,The family spent,three staggering a days,three staggering days,staggering three a days,three staggering days,three a days,staggering a days
317,The family spent a staggering three weeks in London.,The family spent,three staggering a weeks,three staggering weeks,staggering three a weeks,three staggering weeks,three a weeks,staggering a weeks
318,The family spent a staggering three months in London.,The family spent,three staggering a months,three staggering months,staggering three a months,three staggering months,three a months,staggering a months
319,The family spent a staggering three years in London.,The family spent,three staggering a years,three staggering years,staggering three a years,three staggering years,three a years,staggering a years
320,The family spent a staggering three hours in London.,The family spent,three staggering an hours,three staggering hours,staggering three an hours,three staggering hours,three an hours,staggering an hours
321,The family spent a staggering five days in London.,The family spent,five staggering a days,five staggering days,staggering five a days,five staggering days,five a days,staggering a days
322,The family spent a staggering five weeks in London.,The family spent,five staggering a weeks,five staggering weeks,staggering five a weeks,five staggering weeks,five a weeks,staggering a weeks
323,The family spent a staggering five months in London.,The family spent,five staggering a months,five staggering months,staggering five a months,five staggering months,five a months,staggering a months
324,The family spent a staggering five years in London.,The family spent,five staggering a years,five staggering years,staggering five a years,five staggering years,five a years,staggering a years
325,The family spent a staggering five hours in London.,The family spent,five staggering an hours,five staggering hours,staggering five an hours,five staggering hours,five an hours,staggering an hours
326,The family spent a staggering twenty days in London.,The family spent,twenty staggering a days,twenty staggering days,staggering twenty a days,twenty staggering days,twenty a days,staggering a days
327,The family spent a staggering twenty weeks in London.,The family spent,twenty staggering a weeks,twenty staggering weeks,staggering twenty a weeks,twenty staggering weeks,twenty a weeks,staggering a weeks
328,The family spent a staggering twenty months in London.,The family spent,twenty staggering a months,twenty staggering months,staggering twenty a months,twenty staggering months,twenty a months,staggering a months
329,The family spent a staggering twenty years in London.,The family spent,twenty staggering a years,twenty staggering years,staggering twenty a years,twenty staggering years,twenty a years,staggering a years
330,The family spent a staggering twenty hours in London.,The family spent,twenty staggering an hours,twenty staggering hours,staggering twenty an hours,twenty staggering hours,twenty an hours,staggering an hours
331,The family spent a whopping three days in London.,The family spent,three whopping a days,three whopping days,whopping three a days,three whopping days,three a days,whopping a days
332,The family spent a whopping three weeks in London.,The family spent,three whopping a weeks,three whopping weeks,whopping three a weeks,three whopping weeks,three a weeks,whopping a weeks
333,The family spent a whopping three months in London.,The family spent,three whopping a months,three whopping months,whopping three a months,three whopping months,three a months,whopping a months
334,The family spent a whopping three years in London.,The family spent,three whopping a years,three whopping years,whopping three a years,three whopping years,three a years,whopping a years
335,The family spent a whopping three hours in London.,The family spent,three whopping an hours,three whopping hours,whopping three an hours,three whopping hours,three an hours,whopping an hours
336,The family spent a whopping five days in London.,The family spent,five whopping a days,five whopping days,whopping five a days,five whopping days,five a days,whopping a days
337,The family spent a whopping five weeks in London.,The family spent,five whopping a weeks,five whopping weeks,whopping five a weeks,five whopping weeks,five a weeks,whopping a weeks
338,The family spent a whopping five months in London.,The family spent,five whopping a months,five whopping months,whopping five a months,five whopping months,five a months,whopping a months
339,The family spent a whopping five years in London.,The family spent,five whopping a years,five whopping years,whopping five a years,five whopping years,five a years,whopping a years
340,The family spent a whopping five hours in London.,The family spent,five whopping an hours,five whopping hours,whopping five an hours,five whopping hours,five an hours,whopping an hours
341,The family spent a whopping twenty days in London.,The family spent,twenty whopping a days,twenty whopping days,whopping twenty a days,twenty whopping days,twenty a days,whopping a days
342,The family spent a whopping twenty weeks in London.,The family spent,twenty whopping a weeks,twenty whopping weeks,whopping twenty a weeks,twenty whopping weeks,twenty a weeks,whopping a weeks
343,The family spent a whopping twenty months in London.,The family spent,twenty whopping a months,twenty whopping months,whopping twenty a months,twenty whopping months,twenty a months,whopping a months
344,The family spent a whopping twenty years in London.,The family spent,twenty whopping a years,twenty whopping years,whopping twenty a years,twenty whopping years,twenty a years,whopping a years
345,The family spent a whopping twenty hours in London.,The family spent,twenty whopping an hours,twenty whopping hours,whopping twenty an hours,twenty whopping hours,twenty an hours,whopping an hours
346,The family spent a hefty three days in London.,The family spent,three hefty a days,three hefty days,hefty three a days,three hefty days,three a days,hefty a days
347,The family spent a hefty three weeks in London.,The family spent,three hefty a weeks,three hefty weeks,hefty three a weeks,three hefty weeks,three a weeks,hefty a weeks
348,The family spent a hefty three months in London.,The family spent,three hefty a months,three hefty months,hefty three a months,three hefty months,three a months,hefty a months
349,The family spent a hefty three years in London.,The family spent,three hefty a years,three hefty years,hefty three a years,three hefty years,three a years,hefty a years
350,The family spent a hefty three hours in London.,The family spent,three hefty an hours,three hefty hours,hefty three an hours,three hefty hours,three an hours,hefty an hours
351,The family spent a hefty five days in London.,The family spent,five hefty a days,five hefty days,hefty five a days,five hefty days,five a days,hefty a days
352,The family spent a hefty five weeks in London.,The family spent,five hefty a weeks,five hefty weeks,hefty five a weeks,five hefty weeks,five a weeks,hefty a weeks
353,The family spent a hefty five months in London.,The family spent,five hefty a months,five hefty months,hefty five a months,five hefty months,five a months,hefty a months
354,The family spent a hefty five years in London.,The family spent,five hefty a years,five hefty years,hefty five a years,five hefty years,five a years,hefty a years
355,The family spent a hefty five hours in London.,The family spent,five hefty an hours,five hefty hours,hefty five an hours,five hefty hours,five an hours,hefty an hours
356,The family spent a hefty twenty days in London.,The family spent,twenty hefty a days,twenty hefty days,hefty twenty a days,twenty hefty days,twenty a days,hefty a days
357,The family spent a hefty twenty weeks in London.,The family spent,twenty hefty a weeks,twenty hefty weeks,hefty twenty a weeks,twenty hefty weeks,twenty a weeks,hefty a weeks
358,The family spent a hefty twenty months in London.,The family spent,twenty hefty a months,twenty hefty months,hefty twenty a months,twenty hefty months,twenty a months,hefty a months
359,The family spent a hefty twenty years in London.,The family spent,twenty hefty a years,twenty hefty years,hefty twenty a years,twenty hefty years,twenty a years,hefty a years
360,The family spent a hefty twenty hours in London.,The family spent,twenty hefty an hours,twenty hefty hours,hefty twenty an hours,twenty hefty hours,twenty an hours,hefty an hours
361,The family spent a paltry three days in London.,The family spent,three paltry a days,three paltry days,paltry three a days,three paltry days,three a days,paltry a days
362,The family spent a paltry three weeks in London.,The family spent,three paltry a weeks,three paltry weeks,paltry three a weeks,three paltry weeks,three a weeks,paltry a weeks
363,The family spent a paltry three months in London.,The family spent,three paltry a months,three paltry months,paltry three a months,three paltry months,three a months,paltry a months
364,The family spent a paltry three years in London.,The family spent,three paltry a years,three paltry years,paltry three a years,three paltry years,three a years,paltry a years
365,The family spent a paltry three hours in London.,The family spent,three paltry an hours,three paltry hours,paltry three an hours,three paltry hours,three an hours,paltry an hours
366,The family spent a paltry five days in London.,The family spent,five paltry a days,five paltry days,paltry five a days,five paltry days,five a days,paltry a days
367,The family spent a paltry five weeks in London.,The family spent,five paltry a weeks,five paltry weeks,paltry five a weeks,five paltry weeks,five a weeks,paltry a weeks
368,The family spent a paltry five months in London.,The family spent,five paltry a months,five paltry months,paltry five a months,five paltry months,five a months,paltry a months
369,The family spent a paltry five years in London.,The family spent,five paltry a years,five paltry years,paltry five a years,five paltry years,five a years,paltry a years
370,The family spent a paltry five hours in London.,The family spent,five paltry an hours,five paltry hours,paltry five an hours,five paltry hours,five an hours,paltry an hours
371,The family spent a paltry twenty days in London.,The family spent,twenty paltry a days,twenty paltry days,paltry twenty a days,twenty paltry days,twenty a days,paltry a days
372,The family spent a paltry twenty weeks in London.,The family spent,twenty paltry a weeks,twenty paltry weeks,paltry twenty a weeks,twenty paltry weeks,twenty a weeks,paltry a weeks
373,The family spent a paltry twenty months in London.,The family spent,twenty paltry a months,twenty paltry months,paltry twenty a months,twenty paltry months,twenty a months,paltry a months
374,The family spent a paltry twenty years in London.,The family spent,twenty paltry a years,twenty paltry years,paltry twenty a years,twenty paltry years,twenty a years,paltry a years
375,The family spent a paltry twenty hours in London.,The family spent,twenty paltry an hours,twenty paltry hours,paltry twenty an hours,twenty paltry hours,twenty an hours,paltry an hours
376,The family spent a meager three days in London.,The family spent,three meager a days,three meager days,meager three a days,three meager days,three a days,meager a days
377,The family spent a meager three weeks in London.,The family spent,three meager a weeks,three meager weeks,meager three a weeks,three meager weeks,three a weeks,meager a weeks
378,The family spent a meager three months in London.,The family spent,three meager a months,three meager months,meager three a months,three meager months,three a months,meager a months
379,The family spent a meager three years in London.,The family spent,three meager a years,three meager years,meager three a years,three meager years,three a years,meager a years
380,The family spent a meager three hours in London.,The family spent,three meager an hours,three meager hours,meager three an hours,three meager hours,three an hours,meager an hours
381,The family spent a meager five days in London.,The family spent,five meager a days,five meager days,meager five a days,five meager days,five a days,meager a days
382,The family spent a meager five weeks in London.,The family spent,five meager a weeks,five meager weeks,meager five a weeks,five meager weeks,five a weeks,meager a weeks
383,The family spent a meager five months in London.,The family spent,five meager a months,five meager months,meager five a months,five meager months,five a months,meager a months
384,The family spent a meager five years in London.,The family spent,five meager a years,five meager years,meager five a years,five meager years,five a years,meager a years
385,The family spent a meager five hours in London.,The family spent,five meager an hours,five meager hours,meager five an hours,five meager hours,five an hours,meager an hours
386,The family spent a meager twenty days in London.,The family spent,twenty meager a days,twenty meager days,meager twenty a days,twenty meager days,twenty a days,meager a days
387,The family spent a meager twenty weeks in London.,The family spent,twenty meager a weeks,twenty meager weeks,meager twenty a weeks,twenty meager weeks,twenty a weeks,meager a weeks
388,The family spent a meager twenty months in London.,The family spent,twenty meager a months,twenty meager months,meager twenty a months,twenty meager months,twenty a months,meager a months
389,The family spent a meager twenty years in London.,The family spent,twenty meager a years,twenty meager years,meager twenty a years,twenty meager years,twenty a years,meager a years
390,The family spent a meager twenty hours in London.,The family spent,twenty meager an hours,twenty meager hours,meager twenty an hours,twenty meager hours,twenty an hours,meager an hours
391,The family spent an extra three days in London.,The family spent,three extra a days,three extra days,extra three a days,three extra days,three a days,extra a days
392,The family spent an extra three weeks in London.,The family spent,three extra a weeks,three extra weeks,extra three a weeks,three extra weeks,three a weeks,extra a weeks
393,The family spent an extra three months in London.,The family spent,three extra a months,three extra months,extra three a months,three extra months,three a months,extra a months
394,The family spent an extra three years in London.,The family spent,three extra a years,three extra years,extra three a years,three extra years,three a years,extra a years
395,The family spent an extra three hours in London.,The family spent,three extra an hours,three extra hours,extra three an hours,three extra hours,three an hours,extra an hours
396,The family spent an extra five days in London.,The family spent,five extra a days,five extra days,extra five a days,five extra days,five a days,extra a days
397,The family spent an extra five weeks in London.,The family spent,five extra a weeks,five extra weeks,extra five a weeks,five extra weeks,five a weeks,extra a weeks
398,The family spent an extra five months in London.,The family spent,five extra a months,five extra months,extra five a months,five extra months,five a months,extra a months
399,The family spent an extra five years in London.,The family spent,five extra a years,five extra years,extra five a years,five extra years,five a years,extra a years
400,The family spent an extra five hours in London.,The family spent,five extra an hours,five extra hours,extra five an hours,five extra hours,five an hours,extra an hours
401,The family spent an extra twenty days in London.,The family spent,twenty extra a days,twenty extra days,extra twenty a days,twenty extra days,twenty a days,extra a days
402,The family spent an extra twenty weeks in London.,The family spent,twenty extra a weeks,twenty extra weeks,extra twenty a weeks,twenty extra weeks,twenty a weeks,extra a weeks
403,The family spent an extra twenty months in London.,The family spent,twenty extra a months,twenty extra months,extra twenty a months,twenty extra months,twenty a months,extra a months
404,The family spent an extra twenty years in London.,The family spent,twenty extra a years,twenty extra years,extra twenty a years,twenty extra years,twenty a years,extra a years
405,The family spent an extra twenty hours in London.,The family spent,twenty extra an hours,twenty extra hours,extra twenty an hours,twenty extra hours,twenty an hours,extra an hours
406,The family spent a measly three days in London.,The family spent,three measly a days,three measly days,measly three a days,three measly days,three a days,measly a days
407,The family spent a measly three weeks in London.,The family spent,three measly a weeks,three measly weeks,measly three a weeks,three measly weeks,three a weeks,measly a weeks
408,The family spent a measly three months in London.,The family spent,three measly a months,three measly months,measly three a months,three measly months,three a months,measly a months
409,The family spent a measly three years in London.,The family spent,three measly a years,three measly years,measly three a years,three measly years,three a years,measly a years
410,The family spent a measly three hours in London.,The family spent,three measly an hours,three measly hours,measly three an hours,three measly hours,three an hours,measly an hours
411,The family spent a measly five days in London.,The family spent,five measly a days,five measly days,measly five a days,five measly days,five a days,measly a days
412,The family spent a measly five weeks in London.,The family spent,five measly a weeks,five measly weeks,measly five a weeks,five measly weeks,five a weeks,measly a weeks
413,The family spent a measly five months in London.,The family spent,five measly a months,five measly months,measly five a months,five measly months,five a months,measly a months
414,The family spent a measly five years in London.,The family spent,five measly a years,five measly years,measly five a years,five measly years,five a years,measly a years
415,The family spent a measly five hours in London.,The family spent,five measly an hours,five measly hours,measly five an hours,five measly hours,five an hours,measly an hours
416,The family spent a measly twenty days in London.,The family spent,twenty measly a days,twenty measly days,measly twenty a days,twenty measly days,twenty a days,measly a days
417,The family spent a measly twenty weeks in London.,The family spent,twenty measly a weeks,twenty measly weeks,measly twenty a weeks,twenty measly weeks,twenty a weeks,measly a weeks
418,The family spent a measly twenty months in London.,The family spent,twenty measly a months,twenty measly months,measly twenty a months,twenty measly months,twenty a months,measly a months
419,The family spent a measly twenty years in London.,The family spent,twenty measly a years,twenty measly years,measly twenty a years,twenty measly years,twenty a years,measly a years
420,The family spent a measly twenty hours in London.,The family spent,twenty measly an hours,twenty measly hours,measly twenty an hours,twenty measly hours,twenty an hours,measly an hours
421,The family spent a substantial three days in London.,The family spent,three substantial a days,three substantial days,substantial three a days,three substantial days,three a days,substantial a days
422,The family spent a substantial three weeks in London.,The family spent,three substantial a weeks,three substantial weeks,substantial three a weeks,three substantial weeks,three a weeks,substantial a weeks
423,The family spent a substantial three months in London.,The family spent,three substantial a months,three substantial months,substantial three a months,three substantial months,three a months,substantial a months
424,The family spent a substantial three years in London.,The family spent,three substantial a years,three substantial years,substantial three a years,three substantial years,three a years,substantial a years
425,The family spent a substantial three hours in London.,The family spent,three substantial an hours,three substantial hours,substantial three an hours,three substantial hours,three an hours,substantial an hours
426,The family spent a substantial five days in London.,The family spent,five substantial a days,five substantial days,substantial five a days,five substantial days,five a days,substantial a days
427,The family spent a substantial five weeks in London.,The family spent,five substantial a weeks,five substantial weeks,substantial five a weeks,five substantial weeks,five a weeks,substantial a weeks
428,The family spent a substantial five months in London.,The family spent,five substantial a months,five substantial months,substantial five a months,five substantial months,five a months,substantial a months
429,The family spent a substantial five years in London.,The family spent,five substantial a years,five substantial years,substantial five a years,five substantial years,five a years,substantial a years
430,The family spent a substantial five hours in London.,The family spent,five substantial an hours,five substantial hours,substantial five an hours,five substantial hours,five an hours,substantial an hours
431,The family spent a substantial twenty days in London.,The family spent,twenty substantial a days,twenty substantial days,substantial twenty a days,twenty substantial days,twenty a days,substantial a days
432,The family spent a substantial twenty weeks in London.,The family spent,twenty substantial a weeks,twenty substantial weeks,substantial twenty a weeks,twenty substantial weeks,twenty a weeks,substantial a weeks
433,The family spent a substantial twenty months in London.,The family spent,twenty substantial a months,twenty substantial months,substantial twenty a months,twenty substantial months,twenty a months,substantial a months
434,The family spent a substantial twenty years in London.,The family spent,twenty substantial a years,twenty substantial years,substantial twenty a years,twenty substantial years,twenty a years,substantial a years
435,The family spent a substantial twenty hours in London.,The family spent,twenty substantial an hours,twenty substantial hours,substantial twenty an hours,twenty substantial hours,twenty an hours,substantial an hours
436,The family spent a record-setting three days in London.,The family spent,three record-setting a days,three record-setting days,record-setting three a days,three record-setting days,three a days,record-setting a days
437,The family spent a record-setting three weeks in London.,The family spent,three record-setting a weeks,three record-setting weeks,record-setting three a weeks,three record-setting weeks,three a weeks,record-setting a weeks
438,The family spent a record-setting three months in London.,The family spent,three record-setting a months,three record-setting months,record-setting three a months,three record-setting months,three a months,record-setting a months
439,The family spent a record-setting three years in London.,The family spent,three record-setting a years,three record-setting years,record-setting three a years,three record-setting years,three a years,record-setting a years
440,The family spent a record-setting three hours in London.,The family spent,three record-setting an hours,three record-setting hours,record-setting three an hours,three record-setting hours,three an hours,record-setting an hours
441,The family spent a record-setting five days in London.,The family spent,five record-setting a days,five record-setting days,record-setting five a days,five record-setting days,five a days,record-setting a days
442,The family spent a record-setting five weeks in London.,The family spent,five record-setting a weeks,five record-setting weeks,record-setting five a weeks,five record-setting weeks,five a weeks,record-setting a weeks
443,The family spent a record-setting five months in London.,The family spent,five record-setting a months,five record-setting months,record-setting five a months,five record-setting months,five a months,record-setting a months
444,The family spent a record-setting five years in London.,The family spent,five record-setting a years,five record-setting years,record-setting five a years,five record-setting years,five a years,record-setting a years
445,The family spent a record-setting five hours in London.,The family spent,five record-setting an hours,five record-setting hours,record-setting five an hours,five record-setting hours,five an hours,record-setting an hours
446,The family spent a record-setting twenty days in London.,The family spent,twenty record-setting a days,twenty record-setting days,record-setting twenty a days,twenty record-setting days,twenty a days,record-setting a days
447,The family spent a record-setting twenty weeks in London.,The family spent,twenty record-setting a weeks,twenty record-setting weeks,record-setting twenty a weeks,twenty record-setting weeks,twenty a weeks,record-setting a weeks
448,The family spent a record-setting twenty months in London.,The family spent,twenty record-setting a months,twenty record-setting months,record-setting twenty a months,twenty record-setting months,twenty a months,record-setting a months
449,The family spent a record-setting twenty years in London.,The family spent,twenty record-setting a years,twenty record-setting years,record-setting twenty a years,twenty record-setting years,twenty a years,record-setting a years
450,The family spent a record-setting twenty hours in London.,The family spent,twenty record-setting an hours,twenty record-setting hours,record-setting twenty an hours,twenty record-setting hours,twenty an hours,record-setting an hours
451,The diplomat worked an astonishing three days in Nairobi.,The diplomat worked,three astonishing a days,three astonishing days,astonishing three a days,three astonishing days,three a days,astonishing a days
452,The diplomat worked an astonishing three weeks in Nairobi.,The diplomat worked,three astonishing a weeks,three astonishing weeks,astonishing three a weeks,three astonishing weeks,three a weeks,astonishing a weeks
453,The diplomat worked an astonishing three months in Nairobi.,The diplomat worked,three astonishing a months,three astonishing months,astonishing three a months,three astonishing months,three a months,astonishing a months
454,The diplomat worked an astonishing three years in Nairobi.,The diplomat worked,three astonishing a years,three astonishing years,astonishing three a years,three astonishing years,three a years,astonishing a years
455,The diplomat worked an astonishing three hours in Nairobi.,The diplomat worked,three astonishing an hours,three astonishing hours,astonishing three an hours,three astonishing hours,three an hours,astonishing an hours
456,The diplomat worked an astonishing five days in Nairobi.,The diplomat worked,five astonishing a days,five astonishing days,astonishing five a days,five astonishing days,five a days,astonishing a days
457,The diplomat worked an astonishing five weeks in Nairobi.,The diplomat worked,five astonishing a weeks,five astonishing weeks,astonishing five a weeks,five astonishing weeks,five a weeks,astonishing a weeks
458,The diplomat worked an astonishing five months in Nairobi.,The diplomat worked,five astonishing a months,five astonishing months,astonishing five a months,five astonishing months,five a months,astonishing a months
459,The diplomat worked an astonishing five years in Nairobi.,The diplomat worked,five astonishing a years,five astonishing years,astonishing five a years,five astonishing years,five a years,astonishing a years
460,The diplomat worked an astonishing five hours in Nairobi.,The diplomat worked,five astonishing an hours,five astonishing hours,astonishing five an hours,five astonishing hours,five an hours,astonishing an hours
461,The diplomat worked an astonishing twenty days in Nairobi.,The diplomat worked,twenty astonishing a days,twenty astonishing days,astonishing twenty a days,twenty astonishing days,twenty a days,astonishing a days
462,The diplomat worked an astonishing twenty weeks in Nairobi.,The diplomat worked,twenty astonishing a weeks,twenty astonishing weeks,astonishing twenty a weeks,twenty astonishing weeks,twenty a weeks,astonishing a weeks
463,The diplomat worked an astonishing twenty months in Nairobi.,The diplomat worked,twenty astonishing a months,twenty astonishing months,astonishing twenty a months,twenty astonishing months,twenty a months,astonishing a months
464,The diplomat worked an astonishing twenty years in Nairobi.,The diplomat worked,twenty astonishing a years,twenty astonishing years,astonishing twenty a years,twenty astonishing years,twenty a years,astonishing a years
465,The diplomat worked an astonishing twenty hours in Nairobi.,The diplomat worked,twenty astonishing an hours,twenty astonishing hours,astonishing twenty an hours,twenty astonishing hours,twenty an hours,astonishing an hours
466,The diplomat worked an incredible three days in Nairobi.,The diplomat worked,three incredible a days,three incredible days,incredible three a days,three incredible days,three a days,incredible a days
467,The diplomat worked an incredible three weeks in Nairobi.,The diplomat worked,three incredible a weeks,three incredible weeks,incredible three a weeks,three incredible weeks,three a weeks,incredible a weeks
468,The diplomat worked an incredible three months in Nairobi.,The diplomat worked,three incredible a months,three incredible months,incredible three a months,three incredible months,three a months,incredible a months
469,The diplomat worked an incredible three years in Nairobi.,The diplomat worked,three incredible a years,three incredible years,incredible three a years,three incredible years,three a years,incredible a years
470,The diplomat worked an incredible three hours in Nairobi.,The diplomat worked,three incredible an hours,three incredible hours,incredible three an hours,three incredible hours,three an hours,incredible an hours
471,The diplomat worked an incredible five days in Nairobi.,The diplomat worked,five incredible a days,five incredible days,incredible five a days,five incredible days,five a days,incredible a days
472,The diplomat worked an incredible five weeks in Nairobi.,The diplomat worked,five incredible a weeks,five incredible weeks,incredible five a weeks,five incredible weeks,five a weeks,incredible a weeks
473,The diplomat worked an incredible five months in Nairobi.,The diplomat worked,five incredible a months,five incredible months,incredible five a months,five incredible months,five a months,incredible a months
474,The diplomat worked an incredible five years in Nairobi.,The diplomat worked,five incredible a years,five incredible years,incredible five a years,five incredible years,five a years,incredible a years
475,The diplomat worked an incredible five hours in Nairobi.,The diplomat worked,five incredible an hours,five incredible hours,incredible five an hours,five incredible hours,five an hours,incredible an hours
476,The diplomat worked an incredible twenty days in Nairobi.,The diplomat worked,twenty incredible a days,twenty incredible days,incredible twenty a days,twenty incredible days,twenty a days,incredible a days
477,The diplomat worked an incredible twenty weeks in Nairobi.,The diplomat worked,twenty incredible a weeks,twenty incredible weeks,incredible twenty a weeks,twenty incredible weeks,twenty a weeks,incredible a weeks
478,The diplomat worked an incredible twenty months in Nairobi.,The diplomat worked,twenty incredible a months,twenty incredible months,incredible twenty a months,twenty incredible months,twenty a months,incredible a months
479,The diplomat worked an incredible twenty years in Nairobi.,The diplomat worked,twenty incredible a years,twenty incredible years,incredible twenty a years,twenty incredible years,twenty a years,incredible a years
480,The diplomat worked an incredible twenty hours in Nairobi.,The diplomat worked,twenty incredible an hours,twenty incredible hours,incredible twenty an hours,twenty incredible hours,twenty an hours,incredible an hours
481,The diplomat worked an impressive three days in Nairobi.,The diplomat worked,three impressive a days,three impressive days,impressive three a days,three impressive days,three a days,impressive a days
482,The diplomat worked an impressive three weeks in Nairobi.,The diplomat worked,three impressive a weeks,three impressive weeks,impressive three a weeks,three impressive weeks,three a weeks,impressive a weeks
483,The diplomat worked an impressive three months in Nairobi.,The diplomat worked,three impressive a months,three impressive months,impressive three a months,three impressive months,three a months,impressive a months
