sentence_idx,sentence
892,It's usually not a nuclear family.
893,"Here it's like parents, kids, aunts and uncles and grandparents all live together sometimes."
894,Jaipur is like a city on fast forward and condensed.
895,There are just so many people and it's a really ineresting combination of the historical past of India with the boldness of now.
896,"Jaipur is really different from home because here it's a lot louder, there's a lot of people the traffic here is crazy,"
898,I feel like Jaipur has become a second home because I feel comfortable and there's my host family and sometimes they remind me of family back at home.
899,I'm really surprised by how quickly you transform to where you are living.
900,I think a lot of times in the West we look at women for example and we're like if only they stood up for themselves or if they just take off the veil and just go for it but when you're living here you realize that everyone is rational and that there is a reason people have for living the way they do.
902,If you have a taste for adventure and if you are a very open minded person and you're not afraid of having everything you know in your life questioned and challenged then do MSlD and if you want to become a real cosmopolitan to have an idea of life outside of the Western bubble if you wanna know what that is like then you are the person that MSlD is really for.
905,"I believe that it is really important how much we have learned through this project, how incredible organizational skills are needed to arrange a staying for 60 people in Poland."
908,"We believe that this can help us in the future to understand people who we are going to do business with, who we're going to be in contact with not only professionally but also socially."
909,"Cooperation of academic circles and student organizations is crucial as this is the moment when we, as students, are actually able to establish first relationships with the professional world."
910,"We believe that this is critical to understand how the business works, how we can help each other."
912,I think what matters is what the universities could do better.
914,"Moreover, they have to rejuvenate."
915,The personnel and the authorities have to rejuvenate.
916,I absolutely love the Brazilians for their sense of timing which is totally different than the Polish sense of timing.
917,"These are people who are so incredibly relaxed, conflictless and stress-free that sometimes it might be a bit disturbing but their sense of timing, their kindness and hospitality are probably the best things I've encountered."
918,Actually even after two weeks spent together in this international company it is possible to understand their mentality and attitude much better.
919,"Some of their actions and behaviours which at first seem to be a total abstraction or even inappropriate, then turn out to be absolutely normal in their culture, not perceived wrong."
920,Now the first thing once you understand an atom is that you can move on to understanding an element
927,Now the Periodic Table of Elements organizes these elements based on their chemical and physical properties
928,We're going to have a whole lot of videos about the
931,From the hood to Japan!
933,What?
934,from the hood to Japan
935,Harajuku girls - What?
936,Its all love.
937,What?
938,Give it up!
939,What?
940,"shouldn't matter, shouldn't matter, shouldn't matter, shouldn't matter"
945,shouldn't matter shouldn't matter shouldn't matter
947,"See, I'd have all the money in the world"
948,If I was a wealthy girl
949,"No man could test me, impress me my cash flow would never ever end"
952,I'd buy everything!
953,Clean out Vivienne Westwood in my Galliano gown
954,"No, I wouldn't just have one hood a Hollywood mansion if I could please book me first-class to my fancy house in London town all the riches, baby won't mean anything all the riches baby won't bring what your love can bring all the riches, baby won't mean anything there ain't no other, baby your lovin' is better than gold and I know!"
955,If I was rich girl
957,"No man could test me, impress me my cash flow would never ever end"
958,'cause i'd have all the money in the world if I was a wealthy girl
959,I'd get me four Harajuku girls too to inspire me and they'd come to my rescue
960,I'd dress them wicked
962,"Love, Angel, Music, Baby hurry up and come and save me all the riches, baby, won't mean anything all the riches, baby, won't bring what your love can bring all the riches, baby, won't mean anything there ain't no other, baby your lovin' is better than gold and I know"
965,it's all love - what?
966,give it up - what?
968,What?
970,From the hood to Japan
971,Harajuku girls
972,What?
973,It's all love
974,What?
975,"Give it up shouldn't matter, shouldn't matter, shouldn't matter, shouldn't matter"
976,What happened to my life?
977,Turned upside down chicks that blew your mind DlNG it's the second round original track and ting you know you cant buy these things!
978,No!
979,"See, Stefani in the LAMB I brought the fetish - people, you know who I am!"
981,I hope you can all keep up
982,We climbed all the way from the bottom to the top
983,Now we ain't gettin' nothing but love
984,If I was a rich girl
985,"See, I'd have all the money in the world"
986,If I was a wealthy girl
987,"No man could test me, impress me my cash flow would never ever end because I'd have all the money in the world"
988,If I was a a wealthy girl
989,Welcome to week one of this equine nutrition course.
990,We're going to begin by
991,looking at equine digestive tract anatomy.
993,looking for you to be able to describe the anatomy of the gastrointestinal tract of the horse.
997,"In it's natural environment, the horse will roam over somewhere in the region of 80 kilometers per day, and in that sense, we consider horses as nomadic animals."
998,The horse will graze little and often.
1001,The other aspect of the natural environment of the horse is a social aspect.
1006,"For example, if you're riding down the road and the carrier bag blows out of the hedge, your horse will typically run off and then stop and have a look to see what it's actually running from, so that's the flight aspect."
1009,"language, and therefore, they're very good at picking up our body language, but they do also communicate through vocalization as well."
1010,"So having considered the fact that horses graze on a little and often basis for a considerable amount of the day, we now have to have a think about the types of diets that they're designed to process."
1011,"The gastrointestinal system is set up in such a way to deal with high amounts of low quality forage, as I said, ingested on an almost continual basis."
1012,"So what we're seeing here is, is that the principal diet of the horse should be forage, because that is the type of feed that the gastrointestinal tract has evolved to process."
1013,"Having considered the diet, we also have to think about how we manage horses and how this differs from their natural state, if we think about the stabled horse, this is a huge departure from the natural state."
1016,"Even when we think about horses who are kept out to pasture, these are typically much smaller areas than the horse would encounter in a natural state."
1018,"Not only have we changed the way we manage our horses, we've also changed the way that we use them."
1021,leisure or sport horse.
1023,levels of more energy dense feedstuffs in the diet.
1024,"For example, if we think of the race horse, the race horse has high energy requirements to undertake the level of work that is required, and because of that, we think about the natural diet of the horse which is this low quality fiber that couldn't sustain that level of energy requirement."
1026,"Typically, we've done this through the provision of cereal grains in the diet, for example, oats, barley, and maize."
1027,"Not only have we changed the types of feedstuff, we've also changed the feeding management."
1028,"So where the horse has evolved to eat at an almost continual basis, we've moved away from that towards meal-feeding."
1029,"We'll often feed our horses two large meals in the day, two large meals of cereal grains in a bucket for them."
1031,"Unfortunately, the other aspect that's important to consider is that the amount of grains that we're feeding often over shadows the amount of forage."
1032,"So when we think back to the natural environment of the horse and we know that forage should be the natural component, we've often moving away from this providing much more cereal grains in the diet."
1033,"What we know from a lot of research that's been done is, there is a minimum requirement of forage to maintain gut health and integrity, and that is one kilogram of dry matter of forage per hundred kilograms of live wheat according to the"
1035,"So whilst the intestinal system of the horse has remained largely unmodified, we've actually changed how we're feeding these animals and the types of foodstuffs that we're including in the diet."
1036,"And, unfortunately, we're encountering some problems associated with this and these problems can result in serious health implications."
1037,"Horses can develop a number of disorders such as gastric ulceration, hindgut, acidosis, azoturia, laminitis, and colic."
1038,Some of you may have had horses who've suffered from these disorders.
1039,Some of you may know of horses who've had these problems.
1040,"Perhaps one of the most famous horses who have suffered from laminitis for example, is that of"
1042,"So therefore, in terms of the outcomes from horses, for horses suffering from these conditions, this can range from poor performance due to irreparable damage of the gastrointestinal tract, and in very severe cases, euthanasia of the animal."
1045,"It is also important that we understand the behavioral needs of the horse, so that we can maintain good welfare, and ultimately, we want to develop dietary management regimes that avoid or even overcome this diet-related problems."
1046,(Image Source:
1047,Paul Wilkinson)
1049,"There are only four days left before, what many are calling, one of the most important polls in Greek history."
1050,Most experts credit the election's importance to the seemingly imminent exit from the Euro and possibly the introduction of a new currency.
1051,Euronews has more.
1055,"""The truth is that Greece is already crumbling."
1058,Leaving the EU is one thing.
1060,"""The Greek banks would see their balance sheets wiped out as their domestic bond holdings would become worthless."
1061,"Inflation would increase significantly, and the new currency would depreciate."
1062,"Moreover, a default by both the Greek public and private sectors on their foreign debt would follow."""
1063,"But when the country's longest-serving foreign bank looked into what could happen to its growth, the outlook wasn't as bleak."
1064,The Business Mirror has the Standard Chartered
1066,"""We [assessed] the effects of a Greek exit from the European Monetary Union on our footprint markets of Asia, Africa and the Middle East."
1067,If contagion is contained by European Central
1068,"Bank [ECB] liquidity injections, which is our core scenario, any negative impact on emerging-market growth is likely to be limited and temporary."""
1069,"Nouriel Roubini, who predicted a deep economic crisis for Greece in 2006, wrote Greece must exit the EU but not necessarily the currency."
1070,"In an article for Project Syndicate, Roubini said the state is stuck in a vicious cycle of insolvency."
1072,"Fund (the ""Troika""), that minimizes collateral damage to Greece and the rest of the eurozone."""
1073,"Speigel Online International has reported no matter what the results from the June 17 election say, the EU still plans to discuss backing off the terms of its international bailout for Greece."
1074,"So, in these next few videos, we're gonna continue our discussion of the minimum cost spanning tree problem."
1075,"And I'm gonna focus on a second good algorithm, good greedy algorithm for the problem, namely Kruskal's algorithm."
1076,"Now, we already have an excellent algorithm for computing the minimum cost spanning tree in Prim's algorithm."
1078,"Well, let me give you three reasons."
1079,"So the first reason is this is just a, it's a cool algorithm."
1080,It's definitely a candidate for the greatest hits.
1081,It's something I think you should know.
1082,It's competitive with Prim's algorithm both in theory and in practice.
1084,"The second reason is it'll give us an opportunity to learn a new data structure, one we haven't discussed yet in this course."
1085,It's called the union-find data structure.
1086,"So, in exactly the same way or in a similar way to how we used heaps to get a super fast implementation of Prim's algorithm."
1087,We use a unionfind data structure to get a super fast implementation of Kruskal's algorithm.
1089,"The third reason is, is there's some very cool connections between"
1092,I'll discuss how natural greedy algorithms in a clustering context are best understood as a variance of
1093,Kruskal's minimum spanning tree algorithm.
1094,So let me just briefly review some of the things I expect you to remember about the minimum cost spanning tree problem.
1097,That is a subgraph which has no cycles and is connected.
1098,"There's a path between each pairs of vertices and amongst all potentially exponential many spanning trees, the algorithm is supposed to output the one with the smalle st cost, smallest sum of edge costs."
1101,"that said, Kruskal's algorithm actually extends in a really, just easy, elegant way to the case where G is disconnected."
1102,But I'm not going to talk about that here.
1104,"Now don't worry, Kruskal's algorithm is just as correct."
1105,If there are ties amongst the edge costs.
1107,"Finally, of the various machinery that we developed to prove the correctness of"
1108,Prim's algorithm perhaps the most important and most subtle point was what's called the cut property.
1109,So this is a condition which guarantees you're not making a mistake in a greedy algorithm.
1111,"And remember, the cut property says, if you have an edge of a graph and you could find just a single cut for which this edge is the cheapest one crossing it."
1112,Okay?
1115,So we'll definitely be using that again in Kruskal's algorithm when we prove it's correct.
1117,I think you'll find it very natural.
1119,So the graph has seven edges and I've annotated them with their edge costs in blue.
1120,So here's the big difference in philosophy between Prim's algorithm and Kruskal's algorithm.
1121,"In Prim's algorithm, you insisted on growing like a mold from a starting point, always maintaining co nnectivity, and spanning one new vertex in each iteration."
1122,Kruskal's gonna just throw out the desire to have a connected subgraph at each step of the iteration.
1123,"Kruskal's algorithm will be totally content to grow a tree in parallel with lots of simultaneous little pieces, only having them coalesce at the very end of the algorithm."
1124,"So in Prim's algorithm, while we were only allowed to pick the cheapest edge subject to this constraint of spanning some new vertex."
1126,Kruskal's algorithm we're just going to pick the cheapest edge that we haven't
1127,looked at yet.
1128,"Now, there is an issue, of course, we wanna construct a spanning tree at the end."
1129,"So, we certainly don't wanna create any cycles, so we'll skip over edges that will create cycles."
1132,"Again, there is no starting point."
1133,We're just gonna look at the cheapest edge overall.
1134,So that's obviously this unit cost edge and we're gonna include that in our tree.
1135,Right?
1138,It's a greedy algorithm.
1139,So what do we do next?
1140,"Well, now we have this edge of cost two, that looks good, so let's go ahead and pick that one."
1141,Cool.
1142,Notice these two edges are totally disjoint.
1143,Kay.'
1145,"Now, it just so happens that when we look at the next edge, the edge of cost three, we will fuse together the two disjoint pieces that we had previously."
1146,"Now, we happen to have one connected piece."
1150,"Well, that would create a triangle with the edges of costs two and three, and that of course is a no-no."
1152,"So we skip over the four because we have no choice, we can't pick it, we move on to the five and the five is fine."
1154,"And now we have a spanning tree and we stop or if you prefer, you could think of it that we do, we do consider the edge of cost six."
1156,"And then, for completeness, we think about considering the seven, but that would form a triangle with the edges of costs one and five, so we skip that."
1157,"So after this single scan through the edges in assorted order, we find ourselves with these four pink edges."
1158,"In this case, it's a spanning tree and as we'll see, not just in this graph but in every graph it's actually the minimum cost spanning tree."
1159,"So, with the intuition hopefully solidly in place, I don't think the following pseudocode will surprise you."
1160,We want to get away with a single scan through the edges in short order.
1161,"So, obviously in the preprocessing step, we want to take the unsorted array of edges and sort them by edge cost."
1162,"To keep the notation and the pseudocode simple, let me just, for the purposes of the algorithm, description only, rename the edges one, two, three, four, all the way up to m conforming to this sorted order, right?"
1163,"So, the algorithm's just gonna scan through the edges in this newly found sorted order."
1165,"And now, we're just gonna zip through the edges once in sorted order."
1166,"And we take an edge, unless it's obviously a bad idea."
1168,"And that's it, after you finish up the for loop you just return the tree capital T. It's easy to imagine various optimizations that you could do."
1172,"So just like in our discussion of Primm's algorithm, what I wanna do is first just focus on why is Kruskal's algorithm correct?"
1173,Why does it output a spanning tree at all?
1174,"And then, the spanning tree that it outputs?"
1175,Why on earth should it have the minimum cost amongst all spanning trees?
1176,"That's when we're, once we're convinced of the correctness, we'll move on to a naive running time implementation and then finally, a fast implementation using suitable data structures."
1177,[sound].
1179,&amp;amp;gt;&amp;amp;gt; [foreign] &amp;amp;gt;&amp;amp;gt; We have one of the most unique charter school contexts in California.
1180,"In that, we serve one of the highest indices of"
1181,language learners which is upwards of 80% of our student population coupled with students in poverty who are 95% of our students qualify for our free or reduced lunch.
1182,&amp;amp;gt;&amp;amp;gt; [foreign] &amp;amp;gt;&amp;amp;gt; Two months ago an e-mail came to me from the
1186,&amp;amp;gt;&amp;amp;gt; I love teaching.
1187,I think I was born to be a teacher.
1188,[foreign]
1189,[laugh]
1190,I'm happy for the school because it's a great recognition for the program.
1191,It's a great recognition for the work that stands for the students supporting the high school so I'm very happy.
1192,[foreign]
1194,We are changing people's lives.
1198,&amp;amp;gt;&amp;amp;gt; I think this class is very helpful because I just came from Mexico few years ago.
1200,like unique.
1202,[clapping] &amp;amp;gt;&amp;amp;gt; Teaching in a intense charter school setting can almost be like dog years for a teacher.
1203,"So spending four years here can be like spending ten years at uh, you know school that exhibits less challenges and it's not quite as intense."
1204,&amp;amp;gt;&amp;amp;gt; [foreign].
1206,&amp;gt;&amp;gt; [foreign] &amp;gt;&amp;gt; For more please visit us at stanford.edu.
1207,The President:
1208,"Hello, Buckeyes!"
1209,(applause)
1211,It is good to be back at The Ohio State University.
1212,(applause)
1215,I love you!
1218,(applause)
1219,Get me walter bentley on the phone.
1221,I want to thank a couple of people.
1222,"First of all, the outstanding Mayor of Columbus,"
1223,Now.
1225,Mmm.
1226,(applause)
1227,Bmw...
1228,I want to thank OSU Provost Joe Alutto.
1229,Mercedes...
1231,Jaguar.
1233,"Hey, chico."
1235,Take care of her.
1237,Yeah.
1239,I'll take care of her.
1240,(applause)
1241,I haven't robbed anyone.
1242,"Now, let's face it, a presidential visit isn't even close to being the biggest thing this weekend on campus."
1243,I've been robbed!
1244,(laughter)
1245,Look at me!
1247,Do you think i dress this way?
1249,I'm an executive!
1251,383.
1252,I think Selinger is going to have a big game tonight.
1254,(applause)
1256,And I promise you I didn't do it because I knew I was coming here
1257,In the electric chair.
1259,One comb.
1262,So I genuinely think you guys are looking good.
1263,One pair of shoelaces.
1267,Earth to little abner.
1268,"You've got Ohio State, Ohio University, Xavier -- (applause)"
1270,-- Xavier is in -- Cincinnati.
1272,Audience:
1274,Booo --
1275,"Oh, god."
1277,"God, debbie, i'm so sorry."
1278,I'm not going to get in the middle of this.
1279,I'm really so sorry.
1280,(laughter)
1281,"Oh, don't be silly."
1284,So it's a testimony to Ohio basketball.
1285,I gotta cancel my credit cards.
1287,I gotta call high quality foods.
1288,And I want to thank Vijay for the outstanding introduction -- very much appreciate that.
1290,"Now, this is our last stop on a trip where we've been talking about an all-of-the-above energy strategy for America -- a strategy where we produce more oil, produce more gas, but also produce more American biofuels and more fuel-efficient cars, more solar power, more wind power, more power from the oceans, more clean and renewable energy."
1292,(applause)
1293,So if you'd just please take me there.
1294,More clean and renewable energy.
1296,"You know what I'm talking about here, because this school is a national leader in developing new sources of energy and advanced vehicles that use a lot less energy."
1298,I just had a chance to take a tour of the Center for
1299,I have to get back there right now.
1301,Spencer!
1302,"Now, I admit the best part of it was seeing the Buckeye Bullet, which has gone over 300 miles an hour and is now shooting for 400 miles an hour."
1303,"Spencer, i am not moving until you say yes."
1305,Yes!
1306,"And I asked the guys who were helping to design this whether mom was going to let them actually test-drive this thing, and the answer was no."
1307,Ye-Yes!
1308,(laughter)
1309,Yes.
1311,Yes.
1314,(applause)
1315,Whoa.
1316,The fastest in the world.
1317,Uh!
1320,(laughter)
1322,But it is a testament to the ingenuity here at Ohio State and what is essential to American leadership when it comes to energy -- our brain power.
1324,"I will say, though, when Malia gets her license in a few years, she will not be allowed to go 300 miles an hour."
1325,I felt like...
1326,(laughter)
1328,"Now, one of the reasons that I've been talking so much about fuel-efficient cars and new sources of energy is obviously because we're seeing another spike in gas prices right now."
1329,Oh.
1335,"Oh, yeah."
1337,"Trapped, lonely, and frustrated."
1338,"Right now, for most people you don't have a choice."
1339,"You know, you're stuck inside."
1340,"So when prices spike, that tax hike feels like a -- or that gas spike feels like a tax hike coming right out of your pocket."
1341,"You don't know how you got there,"
1342,That's part of the reason that we passed a payroll tax cut at the beginning of this year -- so that the average American would get an extra $40 in every paycheck to help offset the price of gas.
1343,But you're there.
1344,(applause)
1345,Yeah.
1347,Yeah.
1351,Like that recently.
1352,This happened this time last year.
1353,Really?
1355,Yeah.
1356,"It has been going on for years, for decades."
1358,"And every time prices start to go up -- especially during an election year -- politicians, they start dusting off their 3-point plan for $2.00 gas."
1359,Oh.
1361,Controlled by one person
1362,"Although this year, they decided it was going to be $2.50."
1363,Who could be so cruel.
1364,(laughter)
1366,This year they decided it was going to be $2.50.
1368,"Now, I don't know where they pick that number, $2.50."
1369,"You know, all you want to do is,"
1370,"Because it could have been $2.40, I guess."
1371,Experience the things that you can't reach.
1372,They could have said $2.10.
1373,"You know, like a baseball game"
1374,They could have said 50 cents a gallon.
1375,Or a--Or a dinner with a pretty girl.
1376,But they all make the same promise.
1378,"They head down to the gas station and they make sure a few cameras are following them, and then they tell you how we're going to have cheap gas forever if you just vote for them."
1379,"Well, i'm--I'm shy."
1380,And it has been the same script for 30 years -- the same thing.
1382,It has been like a bad rerun.
1383,Somehow i--I feel free.
1384,"And when you ask them, what specifically is your -- (audience interruption)"
1385,I feel open.
1386,"Sir, I'm here to speak to these folks."
1387,I feel sexy.
1389,Check!
1390,(applause)
1392,You're being rude.
1393,"But for now, as we await"
1395,The sixth and possibly final game
1399,Unless authorities change their minds
1400,"I'll be happy to read your book -- if you want to give me your book, I'll be happy to read it."
1401,And decide to forcibly remove the inmates
1404,(applause)
1405,"And tomorrow, while you're sitting at home"
1406,Show me some courtesy.
1408,Show me some courtesy.
1409,I'll be happy to take your book.
1410,But don't interrupt everybody else.
1411,All right?
1412,Okay.
1414,(laughter)
1415,"Go ahead and get that book from him, guys."
1416,He wants to give me a book.
1417,Please feel free to grab it.
1418,You're touting this book -- make sure that you've given it to us.
1419,"All right, now that we've gotten that settled."
1420,(laughter)
1422,That's the solution that you always here.
1423,Prices will immediately come down and all our problems will go away -- like magic.
1425,"First of all, we have been drilling."
1427,"Under my administration, America is producing more oil today than at any time in the last eight years -- at any time."
1428,(applause)
1431,That's a fact.
1433,"Offshore, I've directed my administration to open up more than 75% of potential oil resources."
1435,I just visited New Mexico.
1437,We've added enough oil and gas pipeline to circle the entire
1439,"I just visited one of those new pipelines in Oklahoma, and today I directed my administration to make sure that we cut the red tape in terms of reducing some of these bottlenecks."
1440,"So the problem is not that we're not drilling, or that we're not producing more oil."
1441,We are producing more oil than any time in the last eight years.
1442,That's not the problem.
1444,I'm not drilling in the South Lawn.
1445,(laughter)
1446,We're not drilling next to the Washington Monument.
1447,(laughter)
1449,Audience:
1450,No!
1452,So there are some spots out there that we are not drilling.
1453,"But we're doing so in a way that protects the health and safety of the American people, and protects America's incredible bounty that God gave us -- our resources."
1454,(applause)
1457,So we use 20%; we have 2%.
1459,(laughter)
1460,All right.
1463,We can't simply drill our way out of the problem.
1464,"Even if we drilled every square inch of this country right now, we're going to be relying on other countries for oil."
1465,(applause)
1466,Does anybody here think that's a good strategy?
1467,Audience:
1468,No!
1469,The President:
1470,"Of course, it isn't."
1471,"We shouldn't have to pay more at the pump every time there's instability in the Middle East, which is the main reason gas prices are going up right now."
1473,We should not be held hostage to events on the other side of the world.
1474,This is America.
1475,We control our own destiny.
1476,We forge our own future.
1477,And I will not accept an energy strategy that traps us in the past.
1478,(applause)
1479,We're not going to do it.
1480,"So as long as I'm President, America is going to be pursuing an all-of-the-above energy strategy."
1482,(applause)
1483,"We can build the next-generation nuclear reactors that are smaller and safer and cleaner and cheaper, but we've got to also look at renewable energy as the key to our future."
1486,"We've got to build homes and businesses that waste less energy, and put consumers in control of their energy bills."
1487,Audience Member:
1488,(inaudible) (laughter)
1489,The President:
1492,Right here at Ohio State.
1493,So already we've made progress.
1495,(applause)
1496,That means you'll be able to fill up your car every two weeks instead of every week.
1499,Audience:
1500,Yes!
1503,"To use even less oil, we're going to have to keep investing in clean, renewable, homegrown biofuels."
1505,"And the more we rely on these homegrown fuels, the less oil we buy from other countries and the more jobs we create right here in America."
1506,(applause)
1507,We also need to keep investing in clean energy like wind power and solar power.
1508,"I just visited the biggest American solar plant of its kind, in Boulder City, Nevada."
1509,It's powering thousands of homes.
1510,It put hundreds of local people at work.
1512,"And today, thousands of Americans have jobs because of public investments that have nearly doubled the use of clean energy in this country."
1520,"So all these steps, all these steps have put us on a path of greater energy independence."
1521,Here's a statistic I want everybody to remember.
1522,"Since I took office, America's dependence on foreign oil has gone down every single year."
1523,(applause)
1524,"In 2010, our oil dependence was under 50% for the first time in 13 years."
1526,"Even as the economy was growing, we've made progress in reducing the amount of oil that we have to import because we're being smarter; we're doing things better."
1528,We can keep moving in that direction -- we can keep developing new energy and new technology that uses less oil -- or we can listen to these folks who actually believe that the only thing we can do is drill our way out of this problem.
1529,"In fact, they make fun of clean energy."
1530,"They call the jobs produced by them ""phony"" jobs."
1531,They make jokes about them at their rallies.
1532,"Lately, we've heard a lot of politicians, a lot of folks who are running for a certain office -- (laughter)"
1534,-- they dismiss wind power.
1535,They dismiss solar power.
1536,They make jokes about biofuels.
1537,I guess they like gas-guzzlers because they're against raising fuel standards.
1538,Imagine if these guys had been around when Columbus set sail.
1541,"They don't ask what we can do; they explain what we can't do, and why we can't do it."
1542,And the point is there will always be cynics and naysayers who just want to keep on doing the same things the same way that we've always done them.
1544,"Then we wouldn't have a black President, but we do!"
1545,The President:
1546,"Well, that's true."
1547,(applause)
1548,They want to double down on the same ideas that got us exactly into this mess that we've been in and we've been digging our way out of.
1549,That's not who we are as Americans.
1550,We've always succeeded because we refused to stand still.
1551,We put faith in the future.
1552,We are inventors.
1553,We are builders.
1555,We're Thomas Edison and the Wright Brothers and Steve Jobs.
1557,(applause)
1558,Just want to point that out.
1559,But that's who we are.
1560,That's who we need to be right now.
1561,We can't be afraid of the future.
1562,(applause)
1564,They would rather give $4 billion in taxpayer subsidies to oil companies this year than to invest in clean energy.
1565,Four billion dollars to an industry that's making record profits because of what you're paying at the gas station.
1567,Does anybody think that's a wise use of your tax dollars?
1568,Audience:
1569,No!
1571,We have been subsidizing oil companies for a century.
1572,That's long enough.
1573,(applause)
1574,"It is time to stop a taxpayer giveaway to an industry that's rarely been more profitable, and start making investments in a clean energy industry that has never been more promising."
1576,"Bet on our future, not on our past."
1579,"They can either stand with the oil industry, or they can stand with the American people."
1580,"They can place their bets on the energy of the past, or place their bets on America's future -- on American workers,"
1581,"American technology, American ingenuity, American-made energy."
1582,Audience Member:
1583,Our children.
1586,Our children.
1587,(applause)
1588,That's the choice we face.
1589,That's what's at stake right now.
1590,"And, Ohio, we know the direction that we've got to go in."
1591,Ending these oil subsidies won't bring gas prices down tomorrow.
1595,I don't want folks in the Middle East taking your money out of your pocket because we did not develop the kind of strategies that will sustain our future and our independence.
1596,(applause)
1597,So I need all of you guys to make your voices heard.
1599,Write and email.
1601,Let your members of Congress know where you stand.
1602,Tell them to do the right thing.
1603,Tell them that we can win this fight.
1606,(applause)
1607,We can build an economy that lasts.
1608,We can make this another American Century.
1610,Thank you.
1611,God bless you.
1613,Here's the answer.
1614,It's pretty straight forward.
1615,"If there's only 1 argument, you return it."
1618,And the answer is that all 3 of them would work just fine.
1619,We could make it work in all cases.
1621,"And in each of these cases, the entries in this column are greater than the entries in this column, and so max could do the job."
1622,But it seems to me that the case with tuples is the most convenient.
1623,Here with these integers or reals we'd have to be doing very complicated arithmetic to add things up and then break them apart to make sure we got the right answer.
1624,But with the tuples it's simple.
1625,We just use a comma operator.
1626,"We say start with a 7, add in what we have 4 of a kind in, add in what we have the remaining 1 card of, and that gives you the 3 values, and we don't have to deal with any complicated arithmetic."
1627,"Now, if you aren't familiar with tuples, you might want a little bit of practice to understand how they work."
1630,And the way the evaluation works is you first look at the first element.
1631,"If one of them is greater, then that element is greater."
1632,"If they're the same, then you go on to the second element."
1633,"So in this case, 7 is equal to 7 so we move on."
1634,"9 is greater than 3, and so that means this guy is greater than that guy."
1635,You may have seen a similar type of thing in ordering between strings.
1637,We go left to right.
1639,"They're the same, so we move on to the next character."
1640,E compares to e.
1641,"They're the same, so we move on to the next."
1644,"And here we have an I and a p, and p comes later in the alphabet than l, so help would be greater than hello, or hello would be less than help."
1645,"The same type of idea, and this is known as lexigraphic ordering."
1646,It's so called because lex meaning words.
1647,This is the way that words are ordered.
1648,But we use the same name when we're comparing strings or when we're comparing lists of numbers or lists of any other type of value.
1649,"So, does Gabby Giffords really want to go back to Washington, back where she was once called the most positive person in Congress."
1650,It is exciting.
1651,"Staying upbeat, even during the unsettling campaigns of 2010 when we all watched opposition sometimes become the ?"
1653,?
1654,"After she voted for health care, she faced people in her district calling her a traitor, booing her in town halls."
1656,And you may remember Sarah Palin targeted her district with an ad that had a gun site on it.
1657,Giffords once worried allowed to her husband.
1658,"She said ""someday, I am really worried that someone is going to come up to me at one of these events with a gun"""
1659,But her worry didn't stop her conviction that her job was to try to make democracy work.
1660,"Even after the shooting, she sent a message of courage and unity."
1661,"last august, barely able to walk, she flew across country to cast a vote on the debt ceiling."
1662,"and as she entered, the entire Congress cheered."
1663,She knew them by name.
1665,You said hello Living....
1666,Livinggood she has looked at that disturbing photo of the man arrested for shooting her and so many others.
1668,"It was obvious that he had serious mental issues; if he would have received some treatment, this probably would not have happenend."
1669,Do you ever get angry at what happened to you?
1671,Life life
1672,"Over the past months, her dedicated staff is trying to take care of all constituent needs."
1673,She has had to miss 98% of the votes in the Congress she loves.
1674,"So, today, does she really think she can go back to Washington?"
1675,"No, better...um...I've...oh...sigh..."
1678,"You want to get better better and so you think to yourself, I'll go back to Congress if I can get better."
1679,"Yes, yes, yes."
1681,And that's where you are right now yes yes yes.
1684,Oh...better...stronger...hard...real hard and the book is about that...the courage you need when the life you live is not the life you planned and you learn there have to be many definitions of a beautiful day.
1687,What's the first word you think of?
1688,Brave.
1689,Brave.
1691,(Mark) That's what I think of when I think of you too.
1692,Thank you.
1693,(Mark) Brave and tough tough tough.
1694,tough as nails.
1695,Gabby Giffords and Mark Kelly say they want to thank all of the strangers that have written to encourage her.
1696,They plan to visit the families of those who died when she's ready and has more of the words she wants to say.
1697,"You should also know that her therapist, Dr. Esterbrook sent word to us that she has already made a big leap forward just in the days since we left her."
1698,This man right here  is my great-grandfather.
1699,He's the first cat herder in our family.
1700,"[men whooping, cats meowing]"
1701,Herdin' cats.
1702,Don't let anybody tell you it's easy.
1703,[cats yowling]
1707,Bein' a cat herder's probably about the toughest thing I think I've ever done.
1708,"I got this one this mornin', right here, and if you look at his face, it's just ripped to shreds, you know?"
1709,"You see the movies, you hear the stories;"
1710,I'm livin' a dream.
1713,"It ain't an easy job, but when you bring a herd into town and you ain't lost a one of 'em, ain't a feeling like it in the world."
1715,Whoo-hee!
1716,Alright!
1718,Managing the complexities of the digital economy.
1719,[sizzling]
1721,"We're in luck with the x axes, in both systems we know the x axes match."
1722,Whatever happens with the y and z axes won't affect the x axis value.
1723,So in the second system x will also be 10 .
1724,"In the architect system, z goes up and in the mine craft system y goes up."
1725,That's simple enough.
1727,The height is still 13 in the mind craft system so y will be 13.
1728,"Finally in the architect system, y goes north and z goes south in mind craft."
1730,Since z is going in the opposite direction.
1731,Z must then be negative 24.
1734,"You just continue, revisit, and say,"
1737,Our students are hitting it consistently.
1738,"Maybe we can raise the bar a little bit."""
1741,Yeah.
1743,Imagine a health worker.
1744,SPEAKER 2:
1745,"It's simple, isn't it?"
1746,SPEAKER 1:
1748,SPEAKER 3:
