idx,sentence
3723,"The Governor of Madhesh Province is appointed by the President of Nepal and recommended by Federal cabinet for a term of five years, and holds office at the President's pleasure."
435,This decision blocked the plan by Mayor Stephanie Rawlings-Blake and Lexington Square Partners to build a $150 million development on the site.
651,"The Bolder Boulder (styled as BOLDERBoulder and previously BolderBOULDER) is an annual 10-kilometer run in Boulder, Colorado."
772,"Not only was Último Guerrero's reign the longest of any individual reign, he is also credited with a record 22 confirmed championship defenses."
1805,"The station retained the WB affiliation for another two years on a secondary basis, giving it up upon the launch of The WB 100+, which launched the cable-only station ""WFWB"" for the market."
1809,"In late-February 2009, the station added a 24-hour local weather service on a new third digital subchannel and area cable systems."
2814,"On January 5, 2017 at the Camargo toll booth on State Highway 45, about a thousand citizens demonstrated against the ""gasolinazo"" (gasoline tax rise)."
3307,"In May 2000 Case was charged with criminal mischief and computer crime for breaking into the Colorado Springs city website, causing an estimated $25,000 in damages, though all $25,000 are costs of ""time lost"" to users."
3715,"After a successful 2014–15 campaign, the club gained promotion to Ligue 2, the French second division, alongside its local rival Red Star F.C."
3841,"It is only when it reached the third tier its popularity started growing again, however the club currently only attracts in the region of a few hundred to very low thousands fans for each match."
713,"The death of Ua Flaithbheartaigh indicates that an attempt may have been made on Gallimhe, but O Brian would have to wait a full four years before he reached this objective."
2257,"The first fella was ver no there's, there's some women on the course w er we will see who are actually presenting the course, I mean  a good fifty percent of the course is"
2281,"it's ab I think I said to you we've got  fifty, a good fifty-fifty split, if maybe not slightly more women  actually on the course."
2326,"Dexter campaigned on a platform to improve services for seniors, lowering the cost of heating oil for homes, a 10% cut in post-secondary education tuition, subsidized child care and public auto insurance."
2417,"It paid off when Dexter's minister of finance Graham Steele posted the provincial budget on April 4, 2011, showing a $447 million surplus – one of the largest in Nova Scotia's history and only the 7th time the debt was paid down since 1950."
2786,"He ran for re-election in St. Matthews as an independent Conservative, but finished a poor fourth with only 260 votes."
3470,"""And a very chilling one."""
20,"More recently evolved strains have an additional mutant marker chromosome, for a total of fourteen chromosomes."
1200,"In this kind of translation, an extra n-ary predicate symbol formula_251 is used to represent an n-variable team formula_150."
2506,A unanimous `` O-o-o-o ! ''
3222,An annual 5 and 10K race is held during the first week of September along Victory Memorial Drive.
3642,This leads to an additional -2kT/q term in the last set of parentheses above.
3923,She lived for another two years.
4064,"On 16 May 2007, Welsh scored his first goal for Toronto in a rain soaked 1–0 home win over defending MLS champions, Houston Dynamo."
4094,"At the end of the 2008–09 season, Welsh signed a new two-year deal keeping him at the club until the summer of 2011."
88,"Although Leicester were ultimately relegated with a mere five league wins all season, Piper made his mark in the club's history by scoring the last ever competitive goal at Filbert Street against Tottenham Hotspur as Leicester won 2–1."
483,In November he extended his current contract by a further two years until 2015 with the option of another year.
485,He made 45 appearances across the campaign as United recorded a club record 21 clean sheets; however they could only reach the play-off semi-finals.
816,A relieved Sylvester and Gwendolyn invite Rosie in while James snatches his gun back from a bewildered Twan's hands and leaves.
3412,"In post-conviction interviews, several of the Arthur Andersen jurors indicated that the ""guilty"" verdict was proximately based upon an internal October 16, 2001 email from in-house Arthur Andersen attorney Nancy Temple."
3734,the hour had gone and we could of stayed probably another half an hour without realizing that the hour had come
1320,Now both strings begin with 0100 and the second string has an additional one.
1336,"The 17th century historian Ahmed Mohammed al-Maqqari, relying on an earlier text, also estimated 60,000 men as Abu Hasan's force."
1457,"and he says I'm telling you know he says because the next twenty eight days, it's an extra twenty eight days to go and have a look for another job"
1497,When I was a girl twenty-five was the first corner .
2549,"In addition, there were five non-official members from each of the three major ethnic groups (Fijians, Indo-Fijians, and Europeans); Indo-Fijians and Europeans directly elected 3 members each, with a further 2 being appointed by the Governor; all 5 Fijian representatives were appointed by the Governor from a list of ten names submitted by the Great Council of Chiefs."
2570,"A further 9 members were elected from cross-voting (from 1972 referred to as ""National"") constituencies – seats allocated ethnically (3 for each ethnic constituency) but elected by universal suffrage."
2930,Could this splendid six feet of manhood be the little Paul of Avonlea schooldays ?
155,"A-productions and B-productions we saw plus the two productions for S. 'Kay, notice there is a solution one, three."
971,"The König Monster is based on the original Destroid Giant Monster that was designed by Miyatake and Kawamori, but now includes a new three-stage transformation design."
1721,"However, critic Roger Ebert offered a somewhat more positive review of ""Tarzan, the Ape Man"", awarding it two and a half stars out of a possible four."
1929,That meant Bob was a strong Category 2 when it passed over the island.
2438,"The Bankers Life study, titled ""Middle-Income Boomers, Financial Security and the New Retirement,"" found that nearly 3 of every 4 middle-income Baby Boomers are rethinking their retirement date, and of these, 79% are delaying their retirement by an average of five years."
2768,Had she been at home and in a good
3438,"The 0800 (BT Freefone) code has remained, but no new nine digit numbers have been allocated since 1997."
329,"before a shrine, enough to show him to a decent four-post bed, empty."
1070,"On 28 July 2007, a gathering of some 300 veterans of the 20th Waffen-Grenadier-Division and of other units of the ""Wehrmacht"", including a few ""Waffen SS"" veterans from Austria and Norway, took place in Sinimäe, where the battle between the German and Soviet armies had been particularly fierce."
1299,"In the early 1990s, that number was just a few thousand."
1370,"The Foundation subsequently made a break from the College, and today, the college has a quasi-endowment of a little over $1M that it does not control."
2025,"The premise of the show consists of a group of ""Beauties"" (young women who have relied primarily on their looks) and a group of ""Geeks"" (young men who have relied primarily on intellect rather than social aptitude or looks) who are paired up to compete as couples for a shared $250,000 and other prizes."
2947,The Polynesia Company settlers were joined by a further several thousand planters throughout the 1860s and 1870s.
2995,"On 23 September, Sir Hercules Robinson, soon to be appointed the British Governor of Fiji, arrived on HMS ""Dido"" and received Cakobau with a royal 21-gun salute."
3038,"It was founded in 1938 as the result of a $1.4 million bequest by Agnes Wahl Nieman, the widow of Lucius W. Nieman, founder of ""The Milwaukee Journal""."
3916,"I did that, I set it up that way so that you would have a doubling every three months."
744,"According to Nielsen Media Research, 38.9 million Americans watched McCain deliver his acceptance speech—a half million more than tuned in to see Obama the previous week."
780,"As the hurricane moved inland, its track shifted well to the east missing the area by several hundred miles."
1005,"And an estimated 5,000 Jews are buried here."
1647,"In January 2011, he pleaded guilty to the charges in a New York courthouse, facing a possible ten years in prison."
1973,"He then said: ""Think of yourself sitting down for a big two-hour wallow in instant stupid with a vat of popcorn, slathered in fake butter and possibly a mound of melted M&amp;Ms on top."
2188,Omaha's seven regular season wins came against teams with a combined 2017 record of 25–59.
2189,The Beef's wins during the 2016 and 2017 seasons came against teams with a combined 54–113 record.
2207,"Bonner was head coach for only four games, posting a 1–3 record, including losing the last three by a combined five points."
2515,"One analysis, particularly popular among Japanese scholars, posits a special ""mora phoneme"" ( ""Mōra onso"") , which corresponds to the sokuon ."
2921,"Led by Dixon, Sioux Falls scored an astounding 1022 points on the 2011 regular season, with 70 or more points in 10 games and opening with a 105-71 win over the Kent Predators in Kent, Washington."
2926,"Dixon and the Storm dominated again in 2012, this time with a perfect 14-0 record and 941 points in the regular season."
2935,"Following a 10-4 season, the Storm again prevailed in the playoffs and defeated the Nebraska Danger by a close 43-40 score for the title."
3885,"Hitchcock continued her career at Boston's Tufts University, serving as the George A. Bates Professor of Histology and Chair of the Department of Anatomy and Cellular Biology in the Schools of Medicine, Dental Medicine, Veterinary Medicine and the Sackler School of Graduate Biomedical Sciences over a course of 15 years."
3978,"Despite campus disgruntlement with her absences, Hitchcock applied for a second five-year term as Queen's principal in January, 2008."
48,"and it seemed to me all the time I was thinking of all these people in the courtroom over the case that involved, oh, a couple thousand dollars I think, it was, it was really just, uh, uh, terrific waste of everybody's time and money."
332,"Book five opened with a nearly 200-line catalogue of the suitors of Helen, similar in style to the Catalogue of Ships in ""Iliad"" book 2."
723,And that she should be the neighbor whom Anne had pictured as a commonplace Four Winds housewife !
901,The Brahmas lost in the playoffs of the 2009–10 season in a close 2-1 fifth game against the Odessa Jackalopes.
2176,"Arena Ventures owns 35 additional acres around the site that is currently being developed with hotels and office parks, specialized retail stores and restaurants, and a $1.5 million water feature with fountains, a boardwalk and quarter-mile jogging track."
2236,The film grossed $182.3 million worldwide on a $90 million budget and was panned by critics.
2927,"With Randy Murphy taking over coaching duties in 2009–10, the Havoc finished season play in second place, earning a team-record 71 points."
3703,"Also under Albertsons recent ownership, several Shaw's stores in the immediate Boston area were remodeled and re-opened as Star Markets, with the idea of increasing the number of locations of that brand to a possible 30 over the next few years."
4073,Twin leading forwards Chris Ferraro and Peter Ferraro came over from Dubuque midway through the 1991-1992 season and scored a combined 200 points in total from their time that year in Waterloo and Dubuque.
163,"The government, by taking over the project, became eligible for a $20 million grant from the Atlantic Development Board a Federal Government agency."
277,"The Lancers have claimed a league-record seven Clark Cup championships as playoff champions, five Anderson Cup titles as regular season champions, and two USA Hockey national championships."
379,The city finalized a deal that would upgrade the existing Sioux Falls Arena for an estimated $1 million funded between the city and team.
405,"The Stampede were placed in the Western Division and played their inaugural game at home against the Cedar Rapids RoughRiders on September 24, 1999, to a sold-out crowd of 4,660 fans, including an estimated 2,000 season ticket holders."
448,The following 2004–05 season allowed a franchise-high 252 goals over 60 games and the team failed to make the playoffs for the third consecutive season.
503,"The team ended the 2005–06 season with a franchise best 21–7–2 home record and 20–6–2 away record, including a franchise-high win streak of 16 games."
515,"The team finished the season 35–19–6, earning a third consecutive playoff berth, while Hartzell set a franchise-high five shutouts in the regular season."
1106,"The Storm then had their worst season to date, winning just 11 out of 60 games that included a franchise-worst 19-game losing streak."
1188,The Storm went on a team-record 13-game point streak from February 6 to March 19 and the best record in the Western Conference for the first time since 2003–04.
1191,"The Storm took a club-low 726 penalty minutes, fewest in the USHL that season."
1211,"In the Western Conference finals, the Storm beat Waterloo in a full five-game series, earning their second Clark Cup finals appearance."
1234,Tri-City sent a league-high five players to the 2017 USHL/NHL Top Prospects Game and forward Paul Washe was named Team West MVP (two goals) in Sioux Falls.
1988,"The second season was released as a widescreen seven-disc Region 1 DVD box set in the on September 5, 2006 and in United Kingdom on October 2, 2006, titled as ""Lost: The Complete Second Season – The Extended Experience""."
3208,Thirteen years of international growth and millions of satisfied customers are testament to QNet s platform for providing a profession of personal and financial independence within a thriving multi-billion dollar industry.
497,"Monitoring requirements must be met at landfills during their operation, and for an additional 30 years after."
1067,"and I have climbed to the top of the pyramid where they used to take a beating heart out of a young thirteen year old boy,"
1715,"the, you know are sometimes several hundred dollars, like, uh, tires for the car or car repair of some sort, or, like a, a dental bill or something that you're not prepared for?"
2324,"He was allowed a maximum of £12,000 expenditure a year, with an additional £5,000 credit for emergencies."
3161,"James, who used to attend Caterham School, shared in a one-day world record 496-4 (with Surrey) in 2007."
3480,"In the example above running on a V system, there would have to be a total of eight context switches; two for each request as the client switched to and from the kernel."
3532,"Instead of using whatever object ID's the servers just happened to use, under Vanguard all servers were expected to understand and return a globally unique 128-bit key, the first 64-bits containing a server identifier, the second identifying an object in that server."
480,The aircraft was a Boeing 727-21 with registration HK-1803.
753,"The report also estimates the number of Turkish mainlanders who have not been granted the right to vote, whom it labels as ""transients"", at a further 105,000."
1161,"New degree options implemented in 2010 include the Global Scholars Program, a concentrated three-year B.A."
1383,"was nominated for an additional three awards, winning two, for a total of eight wins."
1738,"If we're doing good, we catch a catfish or two once in a while."
1826,"In 1992, Hansen was in prison again on charges of defrauding two Idaho banks and 100 individuals in a $30 million investment scheme."
1994,"On January 4, 2015, Nugent kicked a career-long 58-yard field goal during the AFC first-round playoff game against the Indianapolis Colts."
2632,"The BMA completed a $28 million renovation (2012–2015) that improved galleries for contemporary, American, African, and Asian art collections; improved essential infrastructure, and created more visitor amenities."
2929,"Holding a combined 26% stake, Brue and Dressell called for reorganization of Quality Dining, resulting in Bruegger's being resold to Brue and Dressel in October 1997 for $45 million."
10,"They build them as cooling towers, to keep the temperature of the colony on the inside at an optimum 30 degrees centigrade, and they are remarkably efficient, normally accurate plus or minus a single degree."
326,"and, and they had been fishing and let him use the pole while we we all walked off a healthy hundred yards or so and let him fish."
723,"Larry Izzo attended Rice University, where he wore the number 26, and was a four-year letterman and standout and finished fourth on the school's all-time tackles list with 301 tackles, setting a school-record 46 tackles for losses, and a season record of 18 tackles for losses in 1995."
2232,"""Birth, School, Work, Death"" was previously released on a vinyl 7"" split single with The Blank Theory."
2567,"Sternberg completed ""Underworld"" in a record-setting five weeks."
2718,"It ended in 2008 and was succeeded by a new, final 3-book series, titled ""Bionicle Super Chapter Books""."
275,And to cut a long story short I need another 7 million euros lost in the books.
1332,The aircraft was a Boeing 727-251 with registration N280US.
1784,looks like a nice one .
1849,It is important to keep in mind that these are the opinions of a select few well-educated elite males and may not be characteristic of all of Roman views.
3487,You'd get a good few notes for that.
3510,"He made his first appearance of the 1991–92 campaign in the first away game season, a disappointing 3–0 defeat to Oldham Athletic at Boundary Park."
3517,"He made his comeback for Chelsea in a 1–0 victory over Norwich City in March and made a further six appearances that season, scoring his first Chelsea goal with a header in the 3–1 defeat to Aston Villa in April."
3646,"On 24 December 2004, Sinclair signed a new two-year contract extension until June 2007, with Clarets manager Steve Cotterill stating that, ""he has been an integral part of our defence""."
537,and since  are a big potential  one one ninety four I've got down here.
1329,"On October 31, 1991, ISC founder James Guerin, and 18 others were indicted by a Philadelphia Federal Grand Jury on charges of a ""$1.14 Billion Fraud (Ferranti/ISC Merger of November, 1987)"" and the illegal sales of arms to South Africa and Iraq."
2265,"A second major version, re-imagined as a disco record by Gloria Gaynor in 1974, was a number-nine hit on the U.S."
55,"On July 1, 2019 Transdev commenced a five year contract to operate the network with an option to extend for a further 10 years."
483,"The violence in the Gem was not confined to the prostitutes, with the saloon being a frequent site of gunfights between drunken patrons; and in one memorable instance, the memoirs of John S. McClintock reported a prostitute named ""Trixie"" having shot a large hole through the skull of a man who astounded everyone by surviving for another half an hour."
700,"Schwartz was lead-guitarist for the rock group, the James Gang (later replaced by Joe Walsh) and Pacific Gas & Electric who recorded a top 20 song in 1969, ""Are You Ready?"""
1314,"So, I got a good one."
1657,That was a good one.
1666,"That's a C three fifths, the C M"
2469,"Touch ba that's a good one, touch base."
2918,An area nine twenty?
3755,"When he left, he had scored an unmatched 334 goals in 410 matches, and he is still the club's best goalscorer of all time."
4003,Now the temporary board brought the club's former legendary and celebrated striker Sonny Johansson back to the club as manager for a period of three years.
4056,"This began rather well and included a memorable 1-1 tie vs local rivals Helsingborg IF in front 8.192 spectators, the highest home attendance since Allsvenskan in 2005."
320,"Of course , there are a great many details he ca n't recall yet -- but he remembers more and more every day ."
955,"BK Häcken starts the 1990s with winning Division 1 söder and faces GIF Sundsvall in the promotion play-offs, and despite an impressive 5–2 victory at home for Häcken, Sundsvall is able to come back in and win the match in Sundsvall and gets promoted to Allsvenskan."
1804,"He acknowledged the ""tacky entertainment"" but wrote that ""it's crushing to realise that this is the show that gave us the masterly ""An Unearthly Child"" a mere two years before."
2200,"You see , I 'd been praying for A BROTHER TWO YEARS OLDER THAN MYSELF . ''"
2849,"Yeah, that's gonna be a good one."
3391,about a half a mile from Plano
3797,"Our worthy ""first"" remained silent for a good ten minutes after I had"
4006,"In 1986, Eriksson returned to Djurgården and played an additional eight seasons."
273,Järnkaminerna is Djurgården's official supporters' group with a membership of a few thousand.
280,possible to raise a few 18-pounders to the summit.
616,"Thanks to the historic oil price increases of 2003–2008, OPEC revenues approximated an unprecedented US$1 trillion per year in 2008 and 2011–2014."
838,"However, an injury to Graeme Hick meant that he was flown out to play in the final Ashes Test, scoring a useful 72."
888,"In 2006, Ramprakash, relieved of the unwanted burden of captaincy, displayed good form, making a career-best 292 against Gloucestershire in May, then improving that still further with 301 not out against Northamptonshire in early August."
1070,"Alastair Cook scored a magnificent 264 in first Test to help England to a draw in a match they nearly won, while Joe Root also passed 70 three times in the series, despite not scoring a century."
1174,"England made 296–6 in the first match against the West Indies, before making 226–6, which included an unbeaten 90 from Joe Root."
1849,"As well as being a member of the England Women's World Cup winning team, her international playing career highlights include, in 2009, winning Man of the Match against the West Indies, with a career best 72 not out."
2241,"The latter worship the Dodecahedron, a mysterious twelve-sided crystal which they see as a gift from the god Ti."
2989,"During this time, he wrote a successful ""kandidat"" dissertation."
3080,"""Murray Street"" is the first album by the band to feature Jim O'Rourke as an official fifth member to bolster the group's sound."
3381,"Annual injuries dropped a further 23% after mandatory U.S. Consumer Product Safety Commission standards (adopted in 2010) went into effect, including testing requirements and brakes to prevent stair falls."
3804,"In the United States, ""End of the Road"" spent a then record breaking 13 weeks at number one on the US ""Billboard"" Hot 100, a record broken later in the year by Whitney Houston's 14-week number one hit ""I Will Always Love You""; Boyz II Men would later match Houston's record with ""I'll Make Love to You"", which spent 14 weeks at number one in 1994, and then reclaim the record with ""One Sweet Day"" (a duet with Mariah Carey), which spent 16 weeks at number one from 1995 to 1996."
324,It is a large rural 3 seat constituency.
1328,"a ringing ""three times three--and one cheer more, for the storming-"
1842,An old twenty-eight-gun
2904,"This is an outdoor area next to the G building, a large three-story complex in the middle of campus that houses the library and other facilities."
3299,"Despite President John F. Kennedy's work on his behalf, Dilworth lost the fall general election by a half million votes to progressive Republican Congressman Bill Scranton, in what scholars considered ""one of the bitterest [campaigns] in Pennsylvania history."""
3347,"Actually you're right with your four there, it was just you snuck an extra ten in somewhere, okay?"
777,"As a tribute five of his films were shown, with ""My Life So Far"" opening the festival."
934,"For about 20 years, Bisguier was the representative the USCF chose to send to a state for one or two days to play at a hospital, college, or prison, so the public could get a chance to play the Grandmaster and former U.S. Champion."
1086,"At the 2010 Winter Olympics in Vancouver, the Swiss nearly stunned Canada again in round-robin play, taking the heavily favored Canadians to a shootout, which they lost 1–0 for a narrow 3–2 loss."
1443,And to cut a Iong story short I need another 7 million euros lost in the books.
1841,"So that's how we get caught in this, uh sort of a catch twenty-two."
2174,This was an older four lane pre Interstate limited access highway.
2425,"An agreement in 1985 led to many environmental compromises in the road's design, including a downsized four-lane design south of Pennsylvania Route 3, ramp meters, and federal scenic route status, prohibiting the erection of advertisement billboards along the entire freeway portion."
2479,"In 1988, a $37 million contract was awarded to build the second tube."
2943,"Well it's, leave that as it is, this bit comes to mi think of a minus one ."
2950,"What do we do, you must take away everything that's in the brackets, so we take away a twenty, so that's the same as a minus twenty and then we'll take away a minus one, signs are the same so it's add one."
2993,"Right take away a minus one is the same as add one, so we've got twenty add one, we can get rid of these brackets now, twenty add one take away twenty add one."
3242,"Willie Rennie of the Liberal Democrats was the surprise winner, by some 1,800 votes, in what was seen as a safe Labour seat."
3279,"Now that should give me the same answer as if I do ten take away five so it's take away a plus five, Yeah?"
3380,"So we do, ten take away a plus nine, that's just take away nine."
3425,"Take away a minus three, is the same as adding the three."
3450,"So take away a minus three is the same as adding a plus three, and what would that come to?"
84,"In a 1965 four-part color saga starting with ""Off to Hollywood"", film producers plan a ""fictionalized"" feature film about Andy's sheriffing activities and the Taylors travel to Hollywood to witness the proceedings."
249,That's a minus twenty.
291,I'm taking a minus twenty from
299,You'd get a good few notes for that.
321,"a minus twenty so it's got to be zero, the answer, taking away a negative, it would be the same if I added, if, if it was minus twenty and I added twenty come to zero, they'd just cancel out."
689,"That's a positive ten there and this is a negative three here, if you like."
691,So take away a positive  I'm going to take away a positive ten pounds away from you now.
722,"So that comes up, that comes out as a minus yeah as a minus ten."
741,Now I'm gonna take away a minus three.
872,"You can't tell they're the same the only way you can tell is if they're, if they're working with number, I mean  that's a plus or a positive that's a positive three."
1189,will give me minus and so a minus one times a ten gives us a minus ten.
1205,Now a minus one times a minus three?
1211,Is a positive three.
1247,"Plus that's the same plus from there, plus a positive three."
1272,"Seventeen add a minus ten the same as take away a positive take away a positive ten, and add a positive three."
1421,"A new £2 million, three storey Learning Resources Centre was unveiled during this period."
1556,"well-oiled hinges, and a group of some fourteen officers entered the"
2209,"A minus two add a positive three, now what would minus two add so that's a negative two, add a negative three mean?"
2429,"Now the tricky one, let's do plus four make it plus five, plus five a a takeaway a negative three."
2774,But to take away a minus three
2948,"The interesting one is when we've got take away  a minus three, that's the same as add the positive three, add plus three."
3945,this is a good one .
35,that was a quick one huh ?
344,"A third ""frantic"" campaign in November 1942 raised a further 1,700 men."
742,In June 2006 he signed a new three-year contract with Middlesbrough.
798,"I have n't a great many spare moments , you know ."
1520,"Within her lifetime Pony Penning itself drew about 25,000 visitors and their number was 40 to 50,000 according to a local estimate ten years later."
1566,"in another few weeks hard work and you'll feel very What I'll do is if I give you a note for a further two months, and we can   Is your job safe?"
1935,"Some ships and vessels capsized in the Mobile Bay and Mobile River, including a $2,000 barge, drowning a watchman."
2410,Marilla would have refused but Anne cut a generous second slice .
3143,"The first season comprised a regular 26 episodes, but season two was left one episode short."
3213,"All 51 episodes were released on DVD in Region 1 in a limited-edition 9-disc Complete Series on July 24, 2007 from 20th Century Fox Home Entertainment."
3690,"Today, ambitious projects in transport, renewable energy, tourism and agricultural development are taking place in Jazan region, particularly in Jazan Economic City, including a USD$3 Billion aluminium smelter."
157,"of a minute or two the party, no doubt in consequence of a suggestion"
1296,"tact and discretion as a good many of your seniors, and I see no reason"
2275,"Due to a FIFA rule designed to prevent players from naturalizing to and representing nations to which they lack ties, Zelalem was subject to waiting a minimum of five years before he could start to represent the United States."
3606,The neighboring village Feilitzsch is only a few hundred meters away from Trogen.
3761,"""Vigilant"" ultimately netted a good round sum in the shape of prize-"
3851,Just a few inches.
205,"Neopaganism expert Victor Schnirelmann estimated the following of Armenian neopaganism to be ""no more than a few hundred people""."
942,"is an upcoming 2022 animated direct-to-video movie starring Tom and Jerry, produced by Warner Bros."
959,"Tom and Jerry: Snowman's Land is an upcoming 2022 animated direct-to-video movie starring Tom and Jerry, produced by Warner Bros."
1111,pick a good one .
1116,ooh that's a good one .
1121,and that's a good one too .
1312,There are a great many people who do not understand things so there is no use in telling them . '
1719,that's a good one ?
2648,"After a loan to lowly Córdoba CF, he returned to the former for the 1981–82 season, scoring a career-best 26 goals in 37 games ""en route"" to a La Liga promotion."
2661,"He netted his first goal in the competition twenty days later in a 2–2 home draw with RCD Español, but only added another until the end of the campaign and his team was eventually relegated back; during his tenure with Celta, he experienced a further two promotions and relegations."
2718,"She is a Forbes 30 Under 30 member, Chanel Foundation recipient, Cartier Women's Initiative Laureate, and an Echoing Green Fellow."
3117,"The team also qualified into the TOP16 stage and Skučas finished the debut season with solid 9.2 points, 3.9 rebounds and 1.7 assists averages."
3318,ooh that's a good one .
3495,The Vicesima hereditatium was a Roman 5% tax on inheritance money.
3899,"At the end of Augustus's reign, the pension for a Praetorian guard was 20,000 sesterces ""(HS)"", and that of a legionary 12,000."
3964,"The treasury was administered by three prefects ""(praefecti aerarii militaris)"", who were former praetors at first chosen by lot for a term of three years."
4085,"On Monday, June 8, 1953, a powerful F5 tornado went right across the city of Flint, Michigan and its suburb Beecher."
59,"On December 17, 2017, Guerrero signed with the Yomiuri Giants of Nippon Professional Baseball (NPB) for a two-year 800 million yen ($USD million) deal."
591,already put the wheel a spoke or two over as the crest of the sea swept
1377,Was it in a circle like that?a central one  No.
1978,"Collyer made 263 Southern League appearances for the club, and a further 18 in the FA Cup, totalling 281 outings at Palace, netting just one goal."
2261,"The tones themselves obey this harmonious criterion that does not admit of coloristic affectation: a few whites and abundant warm colors unmistakably mark this nourished painting, but where one never feels the labor of creation »""."
3473,In 1944 it was 694 students out of a total 875.
3875,"""These days I walk a few hundred meters form my house to the university and back, and I never walk alone"" she says."
3984,We lived  really close to a par three golf course.
95,another quarter of an hour we passed out of the harbour with a nice
802,I knew that we were sailing a good couple of points nearer the
1005,"The device's battery is 3500 mAh, which provides a claimed 48 hours of ""typical"" usage."
1029,"What Matt has discovered if you do that, we could reduce our pesticide use by 97%, we could [reduce our synthetic] fertilizers by a little over 90%, and the return to land and labor for farmers could actually be somewhat higher than it is in this specialized corn and soybean rotation."
1705,She's a twenty-eight; but her skipper is man enough to give a good
2246,"The RSP is theoretically capable of a maximum of 100 channels of PCM at a time, but only in a case where all system resources are devoted to audio."
2295,"1998 these were replaced with a single 36 Mbit chip, same as was used on the Expansion Pak."
2796,"of her music, joining her in a duet or two, and reeling off small-talk"
2955,And to cut a long story short I need another 7 million euros lost in the books.
3317,"`` I 'm nervous about a good many things , '' said Anne , `` but I do n't think there is much fear that I wo n't be able to talk . ''"
3473,"N now then, the other thing is when Dennis Healey went to the monetary system to ask for a couple of million pounds, he was shout down shouted down, but"
3477,"I don't think any MP has ever been to the monetary system to ask for a couple of million pounds, actually."
36,"the boat and her dreadful freight, half a dozen eighteen-pound shot were"
346,"`` You 'll probably have a good many more and worse disappointments than that before you get through life , '' said Marilla , who honestly thought she was making a comforting speech ."
903,"We had a most excellent dinner, washed down by a glass or two of good"
1245,"His studio was larger than that of any other print artist, and he had a large stable of several dozen students."
1559,"Real Madrid won the match 1–0 via a 59th-minute goal from Vinícius Júnior for a record-extending 14th title, and their 5th in nine years."
1602,"Real Madrid played in a record 17th European Cup/UEFA Champions League final, and the first since their win in 2018 against Liverpool."
1604,"Their manager Carlo Ancelotti reached a record fifth UEFA Champions League final as manager, winning in 2003 and 2007 and losing in 2005 while in charge of Milan, and winning the 2014 final with Real Madrid, and was looking to become the first manager in history to win four UEFA Champions League titles and eight European trophies."
2243,And we've been told that we'll only get between a nought and one point five percent increase at the most.
2854,of losing a good many of our men; for I should not feel justified in
3097,obscuring a good many of the stars; so that by the time we had been away
198,"Subsequently, according to a successful 16th-century petition of James Reede, gentleman of London it became the property of Gruffudd Nicholas (Gruffudd ap Nicholas) and Thomas Nicholas, who granted it to William Rede and Jonet Wirriot as part of their marriage settlement."
209,The Roche remained in the family for an additional 120 years until James Rede sold it to Sir John Perrot in 1572.
1235,He also recorded an impressive 10–6 win against Luca Brecel at the World Championship qualifiers.
1251,"Patrick could not get into the top 64 in the world rankings (he was 77th), but by finishing 40th on the European Order of Merit he earned himself a new two-year tour place."
2071,"After dinner they all had a walk through Lover 's Lane and Violet Vale and the Birch Path , then back through the Haunted Wood to the Dryad 's Bubble , where they sat down and talked for a delightful last half hour ."
2252,"A recent third vaccine dose boosts effectiveness against infection to around 75 percent, and 88 percent for severe disease."
3054,"In 1994, a meeting with the legendary then-chairman of ADM, Dwayne Andreas, resulted in a US$30m investment into the company after the first meeting, and ADM coming on board as a long term strategic partner."
689,where formula_81 is a tautological one-form.
984,"Although No batted a disappointing .194 with 2 home runs and 25 RBI in the 2012 Futures League, he became the Dinos' starting shortstop showing great defensive skills."
2242,A powerful derecho (intense and very dangerous showers and thunderstorms having straight line winds and often varying levels of rain) led to several hundred damaging wind reports.
2281,"In June 2013, they raised a $1.5 million seed round from PivotNorth Capital and SoftTech VC, and in June 2015 Survata raised an additional $6 million in a Series A round led by IDG Ventures, with participation from Bloomberg Beta, previous investors SoftTech and PivotNorth, and angel investors such as Alexis Ohanian, Garry Tan, and Tom Patterson."
4041,"The album was released as both as a regular CD and a deluxe 2CD hardback book edition, featuring seven original demos of songs from the album and stills from the studio sessions."
420,"The hail stopped , the thunder rolled and muttered away to the eastward , and the sun burst out merry and radiant over a world so changed that it seemed an absurd thing to think that a scant three quarters of an hour could have effected such a transformation ."
2114,A small
3705,"inner margin of the adductors, at a level 4 inches higher in"
4020,"Anne , she 's feeling dreadful bad over a good many things ."
513,Garrison ran for U.S. Congress in 2012 (TX-R CD25) where he was one of the leading candidates in a field of twelve candidates.
535,"Garrison teaches in the Ohio Christian University Business program, where he created new majors, conducted a regular Rome, Italy study abroad program, added a Business plan competition and developed a Business Advisory Council."
632,"A couple million Jews died, that's okay, that's the wording you use?"
2186,The election victory of Juntos por el Cambio meant a tough final two years in office for President Alberto Fernández.
2217,"A good many plums stick to the sides , you see ."
2887,But you have to pay an extra £420 for a split fold rear seat.
2962,"Being a spherical 3-manifold, it is the only homology 3-sphere, besides the 3-sphere itself, with a finite fundamental group."
3007,They scored a total of 810 goals and allowed a total of 702 goals and notched 87 total standings points out of a possible 156 points.
3018,"The team played the first-ever game in EISL history, losing to the Savannah Rug Ratz in front of a ""disappointing"" crowd of 600 fans."
