idx,construction,corrupted_construction,corrupted_sentence
6387,a scant fifty feet,a fifty feet,The shimmer of a nanobotic shield flickered like summer fireflies a fifty feet away .... supposedly the OpFor 's barrier to any probing from this sector .
6388,a few billions watts,a billions watts,Do it quick and pump a billions watts of RF across the mesa .
6389,an extra 0.5 votes,an 0.5 votes,"If residents live near the drilling site , they also hold extra voting weight based on their length of residency to the degree of an 0.5 votes per year ."
6390,a further two days,a two days,"I had hatched plans all day , and devised a clever means of exit , but waited a two days to ensure that the mud had dried sufficiently for travel around the Munbeorg — though defying the madness that threatened to creep into my idle mind through those two long , endless days was no mean feat ."
6391,a further two hours,a two hours,"For a two hours we rode slowly in the direction of Hertha 's villa , a place well - known to Lior , for it had been pointed out by Sigmund less than a week earlier ."
6392,a full nine stories,a nine stories,"The gables changed in height from wing to wing , the tallest a nine stories , while the shortest rose a mere four ."
6393,a further two days,a two days,"The ladies were absent for a two days , and I had yet to see Una ."
6394,a further forty years,a forty years,"Without any further treatments or advances in my cause , I will live at least a forty years ."
6395,a full twenty paces,a twenty paces,"The meaty projectile landed a twenty paces away , then rolled a further nine ."
6396,a full three weeks,a three weeks,""" We did some checking and according to the hospital records , you were at the emergency room on September seventeenth , a three weeks prior to waking up in the hospital ."
6397,a full three feet,a three feet,He was a three feet taller than Toby who refused to back down .
6398,a whopping 100 times,a 100 times,"Though the Trump Organization has about 22,000 employees , Starbucks is ten times that size , Intercontinental Hotels fifteen times larger ; Walmart , the largest private employer in the U.S. , is a 100 times larger ."
6399,a solid ten packs,a ten packs,"Besides , she was n't your responsibility at the time , Sam , "" growls a raspy voice that sounds as if it comes from someone who smokes a ten packs a day . """
6400,a little salty six months,a six months,"Yes , that really happened and , to be honest , I 'm still a six months later ."
6401,a good four inches,a four inches,"The Captain was a man only a few years older than Casey , his hair entirely grey and he stood a four inches shorter than the detective ."
6402,a peaceful three months,a three months,"I wish you a three months , Sydel ."
6403,a mere thirty feet,a thirty feet,"The shadow stepped into the blazing sunlight , a thirty feet away from them ."
6404,a full delirious and stupefying five minutes,a five minutes,"One morning on the parade ground the mad relentless bellowing reached a deafening crescendo , and at that the climax of that moment everyone began to shout in rhythmic unison , in time with the left boot striking the ground with a loud shocking thud , _ poes _ , _ poes , poes _ , _ poes _ , _ poes _ , and this went on for a five minutes ."
6405,a mere seven days,a seven days,It was a seven days before they would have reached the critical threshold of forty days when they hit the landmine .
6406,a few hundred metres,a hundred metres,The gunships had made contact with SWAPO who were now only a hundred metres ahead of him .
6407,a solid three seconds,a three seconds,I 'd been giving Brandon my crinkled - nose glare for a three seconds before his easy laugh made me realize what I was doing .
6408,an entire five minutes,an five minutes,"It was a testament to our respect for , or in some cases fear of , Mrs. Campbell that nobody spoke in anything above a whisper for an five minutes ."
6409,a full twenty seconds,a twenty seconds,"I was so caught up in what I was doing , and the ever - so - slowly growing light of interest in Britney 's eyes , that the rest of the class had fallen silent for a twenty seconds before the drop in noise registered for me ."
6410,a good ten minutes,a ten minutes,We spent a ten minutes with her trying to offer a variety of covert bribes ranging from the insignificant to things she could n't possibly deliver .
6411,an extra sixteen grams,an sixteen grams,"If there was a single person in the class who did n't need any extra credit , it was Alec ; but he calmly loaded the system with an sixteen grams , caught Mrs. Alexander 's eye , and then smoothly started the train of weights moving up the ramp , over the wall , through the woods , and right up to Grandma 's house ."
6412,a full fifteen minutes,a fifteen minutes,I waited around for a fifteen minutes before finally heading over to the tutoring lab .
6413,a good ten minutes,a ten minutes,I even finished my assignment a ten minutes before class was scheduled to end .
6414,a good thirty seconds,a thirty seconds,We stood like that for a thirty seconds before he reached a single finger up and traced the left side of my face as he leaned in slightly .
6415,a good fifteen seconds,a fifteen seconds,"He contemplated his response for a fifteen seconds , which was probably something like two hours in shape shifter time , before finally touching his pen to the paper again and then passing my notebook back ."
6416,a good twenty kilometers,a twenty kilometers,"For a twenty kilometers this continues , Hasan speeding along at a hundred and twenty kilometers per hour , honking , braking , flicking his headlights to scatter them ."
6417,a good fifteen minutes,a fifteen minutes,"I must have lain there a fifteen minutes to an hour , I do n't know how long , because I was out of it ."
6418,a good twenty minutes,a twenty minutes,The video lasted a twenty minutes until it was just about too dark to run the camera .
6419,a few thousand years,a thousand years,"It 's a bit like the creation theorists being hit with radiocarbon dating , thereby making a laughing stock of the Earth being only a thousand years old ."
6420,a few thousand years,a thousand years,We must look at this in the same way as we view the legacies of the ancients of our planet – they vary significantly even over a period of just a thousand years .
6421,an extra 5 years,an 5 years,"If you fight back , I 'll win and you 'll get an 5 years for resisting arrest by a Head Peacekeeper ."
6422,a good thirty minutes,a thirty minutes,It took a thirty minutes to circle back around to Mom Stop Number 27 as she 'd started to call it .
6423,a mere 476 years,a 476 years,"In a 476 years , the religion had risen from an obscure Middle Eastern sect ."
6424,an additional 120 mounds,an 120 mounds,He piled up an 120 mounds of heads there .
6425,a few thousand years,a thousand years,"By going back a thousand years , it has tried to show that these traits are part of a pattern that has permeated Arab culture so thoroughly that the ready - made excuses do not fly ."
6426,a few hundred votes,a hundred votes,"In terms of "" intent , "" Gore may have had more voters who "" intended "" to "" vote "" for him , but Bush led in the state by a hundred votes ."
6427,an additional three years,an three years,"For six years , he raised funds and provided the Mujahadeen with logistical and humanitarian aid , then for an three years he participated in military planning against the Soviets as a guerilla commander , including the fierce battle of Jalalabad which led the Soviets to finally withdraw from Afghanistan"
6428,a few hundred votes,a hundred votes,"Certainly , bin Laden was allowed to spread terrorism virtually unimpeded throughout the Clinton years , and came within a hundred votes in Florida of probably being able to continue for years beyond that ."
6429,a few thousand Jews,a thousand Jews,"It was wonderful of Speilberg to glorify a flawed Polish businessman who saved a thousand Jews , but the fact is that it was the United States who saved European Jewry by defeating the Nazis , and then by creating Israel ."
6430,a couple hundred years,a hundred years,"History that took a hundred years to develop 2,000 years ago now happens in 10 , 20 , 30 years ."
6431,a good five feet,a five feet,"Those walls need to be a five feet higher . """
6432,a fashionable ten minutes,a ten minutes,I waited until I was a ten minutes late as Bob told me that everyone does .
6433,an extra million dollars,an million dollars,"And I really do get back to my wife and my home , that there will be an million dollars in it for you ."
6434,a fresh two inches,a two inches,Streets had recently been cleared by city snow plows but today 's snowfall left a two inches .
6435,a full ten inches,a ten inches,"She positioned herself as far to the right on the bench as possible , leaving a ten inches between herself and Robert ."
6436,an agonizing three months,an three months,She was there for an three months before she was stolen from him .
6437,a good 6 inches,a 6 inches,"I had to be a 6 inches taller than her . """
6438,a good five minutes,a five minutes,The cycle continued a five minutes .
6439,a slow hundred yards,a hundred yards,"Wrapped around Hubert , Princess Alix lurched a hundred yards down the rough slope until they could take shelter behind a wall of boulders ."
6440,a quick 20 feet,a 20 feet,"The frosty head shot a 20 feet in the air . """
6441,a few thousand years,a thousand years,"Maybe in a thousand years , after he 'd killed every Other and Watcher he could get his hands on and found some way to numb his pain ."
6442,a few hundred meters,a hundred meters,"It was only a hundred meters to the river , but we needed to get the gear down there and driving was a lot easier on Sandy 's hips ."
6443,a good two hours,a two hours,It will take us a two hours to get to the _ Nera _ .
6444,a good four meters,a four meters,I made a roll cast so the fly landed a four meters above where the fish were lying .
6445,a few more hundred meters,a hundred meters,""" The Fiume Pescara flows out into the Adriatic just a hundred meters down the road ."
6446,a magical two days,a two days,It was a two days .
6447,a few thousand years,a thousand years,"As far as anyone knew , it was not called ' bra ' because there were Swedes in Verona a thousand years ago , since bra means ' good ' in Swedish ."
6448,a few hundred years,a hundred years,""" Have you heard of ' tenkara ' fishing , a sort of fly fishing without a reel that started in Japan a hundred years ago ? """
6449,a further thirty berserkers,a thirty berserkers,Most were happy to run off and scaled the heights of the hill unaware that Tomar had divided his squadron and that a thirty berserkers were moving in their direction as they ran .
6450,a few thousand men,a thousand men,"He 's probably realised all he has to do is sail a thousand men to Athens and take the city while he keeps us cooped up here . """
6451,a few thousand years lovers,a thousand years lovers,In a thousand years lovers would toss such a stone into the ocean making a silly honeymoon wish to love each other always .
6452,a few hundred yards,a hundred yards,"Bert was established in a small group of pine , only a hundred yards from our own house site and as an ex - contractor , his camp was a model ."
6453,a healthy two feet,a two feet,"She untangled herself , with great effort because her body did n't seem to want to move , and put a two feet between them ."
6454,a full six feet,a six feet,Nyron doubted if it was a six feet high inside .
6455,a good eight or ten inches,a eight or ten inches,"Nyron held his hand up , palm down , indicating that the height of the prisoner was a eight or ten inches greater than his own . """
6456,a few hundred miles,a hundred miles,"For one thing , it brought the attacker a hundred miles closer to the frontier ."
6457,a few thousand riders,a thousand riders,"They were a lot closer to the Khan 's territory , a factor that probably carried more weight than the sword of Lowren and a thousand riders who may or may not be there when needed ."
6458,a barren five or six colors,a five or six colors,"It was the lead - up , late autumn , when the sky was persistently grey , when the days were getting shorter and shorter , and the world existed in a five or six colors ."
6459,a good twenty feet,a twenty feet,The captain was yelling and the men were cussing and with a crunch the ship ran aground a twenty feet before the base of the walls .
6460,a good eight feet,a eight feet,The walkway was a eight feet wide .
6461,a bare eighteen inches,a eighteen inches,"Even then , they drew a eighteen inches or maybe two feet of water ."
6462,a good two miles,a two miles,"They were still a two miles off , but under sail and oar ."
6463,a few hundred yards,a hundred yards,There was a road leading a hundred yards to the gate of the primary eastern bastion of the fortress .
6464,a full two minutes,a two minutes,"His wingman , Freedom Two , waited in his fortified aircraft shelter for a two minutes before he too taxied to the end of the short runway , plugged in full afterburner on the older Vietnam era Phantom F-4 jet fighter and shot down the runway ."
6465,a few hundred meters,a hundred meters,"Enemy positions start just a hundred meters in front of that M-60 tank there . """
6466,a few hundred meters,a hundred meters,He was a hundred meters behind the front line and he had seen only one officer with night vision goggles on .
6467,a full five minutes,a five minutes,It took a five minutes before satellite images slowly reported the whereabouts of the main force of MiGs .
6468,a few billion years,a billion years,"It all began a billion years ago when one of God 's high - ranking creatures , Satan , developed a supercilious idea that he could run a dominion as an independent god besides God ."
6469,a couple hundred yards,a hundred yards,"He walked back to the road past half a dozen county police cars , down it a hundred yards , then right onto Lake Drive ."
6470,a few hundred yards,a hundred yards,Pickett cut his lights as he passed Del Trap 's pick - up and parked in the saw grass a hundred yards beyond .
6471,a mere two points,a two points,"In the end , when I finally beat Theunis by a two points , I could barely stand , needing the support of two other students as the medal was placed around my neck ."
6472,a rough thirty years,a thirty years,"Maagd was in her late thirties , and her face showed that it had been a thirty years ."
6473,a few hundred yards,a hundred yards,"I did not enter it , though , choosing to stay a hundred yards down the line ."
6474,a good seventy pounds,a seventy pounds,Aidan was a seventy pounds heavier than her and athletically strong .
6475,a few hundred years,a hundred years,"You 're amazing , and that vase was only a hundred years old ."
6476,a good three inches,a three inches,Benjamin Whitt was taller than Tom and Stephen by a three inches and older by two years .
6477,a scant six days,a six days,"She clung to him as they exited the prison , her steps faltering as if she had spent seven dark years strung up in a dungeon instead of a six days in a relatively clean and well - upholstered cell ."
6478,a full eight inches,a eight inches,"Her ruff was a eight inches of gossamer lace , deftly arranged in figure - eight pleats ."
6479,a solid ten minutes,a ten minutes,We crawled around for a ten minutes .
6480,a moderate seventy degrees,a seventy degrees,"The weather remained beautiful , the temperatures a seventy degrees ."
6481,a couple hundred feet,a hundred feet,A marionette to the puppet master that stands less than a hundred feet away .
6482,a whole ten minutes,a ten minutes,"You think you can make it a ten minutes this time ? """
6483,a good thirty seconds,a thirty seconds,"In hindsight , the technique really only worked for a thirty seconds , until my screwed - up mind went directly to the man that taught me to think about the music and find meaning to the lyrics ."
6484,an extra 9 to 18 inches,an 9 to 18 inches,"To grow an 9 to 18 inches , it will take from 1.5 years to 3 years ."
6485,a few million people,a million people,"Now if He can control trillions and trillions of stars , then He 's not going to have any trouble at all calling a million people off the planet ."
6486,an extra 75 days,an 75 days,which is an 75 days after Christ 's second coming .
6487,an extra 75 days,an 75 days,"And then after the Tribulation has run its course , and we go into the earthly kingdom for an 75 days , then the Old Testament saints which includes Daniel and all the rest , plus the Tribulation saints will be resurrected in their company ."
6488,a few million people,a million people,How can one little nation of just a million people be so important in God 's overall picture of the billions of the rest of the world .
6489,an extra 30 days,an 30 days,But here in verse 11 we have an 30 days thrown in .
6490,an extra 75 days,an 75 days,But here 's the secret in verse 13 : Why would God reveal to Daniel that there would be an 75 days after He returns and sets up His Kingdom on the earth ?
6491,a few hundred yards,a hundred yards,"This was where Foust Carney came out on Clinton Hwy , not but a hundred yards from Dynamite Rd ."
6492,a good 100 feet,a 100 feet,"The shed was a 100 feet away , and this could take years , and all this for a bunch of boards that come off a hundred year old barn ."
6493,a full eleven minutes,a eleven minutes,It had been a eleven minutes that all this had taken place .
6494,a solid eight hours,a eight hours,"I would n't have traded my life with anyone , although my thoughts sometimes fixed on the seductive notion of getting a eight hours sleep or having an uninterrupted adult conversation ."
6495,a measly two children,a two children,""" That 's a two children , and of course I 'm serious . """
6496,a good five miles,a five miles,"Your new house in Richmond Hill and that 's a five miles further north . """
6497,an extra ten minutes,an ten minutes,One Saturdays they played quietly in their rooms and let us get an ten minutes sleep and we were so thrilled that they did n't have any trouble talking their father into a trip to a pet shop to find a quiet animal that would be cared for exclusively by them .
6498,a full twelve months,a twelve months,"It took us a twelve months to find new hiding places for the gifts , and as we got more creative , so did they ."
6499,a mere eighteen inches,a eighteen inches,The sides of the house were a eighteen inches from the high steel panel fences on each side .
6500,a good five miles,a five miles,"They still had a five miles to hike back into town , and the coat would make him sweaty ."
6501,a few hundred metres,a hundred metres,"After a hundred metres , the lead elf stopped in front of a small stone building ."
6502,a few thousand years,a thousand years,Civilization has only been around for a thousand years and has n't really taken hold yet .
6503,an additional three dollars,an three dollars,She asks for an three dollars for five minutes and he keeps feeding change until he hears the ring .
6504,a few hundred dollars,a hundred dollars,He stuffs a hundred dollars back in each man 's pocket so it does n't look too much like a robbery .
6505,an exhausting two hours,an two hours,"Finally , after an two hours a doctor dressed in green scrubs stepped through the door . """
6506,a whole five weeks,a five weeks,"That 's a five weeks earlier than planned . """
6507,a good 50 yards,a 50 yards,She saw me from a 50 yards away and started waving her clipboard and grinning inanely at me .
6508,a whole fifty miles,a fifty miles,"After all the running around to collect the ten thousand pound that I raised for Children In Need for walking a fifty miles , I decided that I needed a car , lucky really ."
6509,a few hundred sizes,a hundred sizes,"It was a little short in the arms and a hundred sizes too big . """
6510,a few million years,a million years,""" When you wish upon a star , you are a million years late ."
6511,a handy few hundred dollars,a hundred dollars,"As for Karen , she went into hyper - drive upon returning to class ... gave the Valedictorian speech at graduation , bought "" California clothes"" ... picked up a hundred dollars at her going away party ."
6512,a good twenty minutes,a twenty minutes,"I ran from the bus , not looking back , and I did n't stop , I kept running all the way to the harbour , a twenty minutes in the opposite direction of my house ."
6513,a good two inches,a two inches,The dress was red and cut a two inches above my knee .
6514,a good twenty yards,a twenty yards,"The two teenagers were a twenty yards ahead of him , sprinting into the void ."
6515,an important five minutes,an five minutes,"He may have only played five minutes in that match , but they were an five minutes !"
6516,an important 10 mins,an 10 mins,"Dudman , you are only on for 10 mins , but it is an 10 mins , and essential that we do not concede in those first 10 -- otherwise my plans are f**ked ."
6517,a few thousand pages,a thousand pages,"Like Coarshon , his other five comrades have their faces buried in their personal , company owned laptops , diligently perusing a thousand pages of highly relevant , privileged information ."
6518,a good 40 miles,a 40 miles,"Abel 's house is a 40 miles from our farm , with the aid of a "" pikepass "" and 422 horsepower 6.2 liter SS Camero I made the trip in 33 minutes flat ."
6519,a good ten minutes,a ten minutes,"We rolled around for a ten minutes , just playing ."
6520,an additional ten dollars,an ten dollars,""" Let me guess , "" Ava rolled her eyes , "" the only thing she knew was that they gave her an ten dollars because they damaged me . """
6521,a full twenty minutes,a twenty minutes,"My coworkers , the ones who I got along with best , were devastated to see me go , and I 'd sat in my car crying for a twenty minutes before I left the parking lot ."
6522,a whopping five hours,a five hours,I 'd waited in too many long lines already since arriving a five hours before my flight — and now I 'd learned that my plane was delayed .
6523,a good four hours,a four hours,"I watched a lot of movies , dozed for a four hours , and tried not to touch elbows with the guy sitting next to me , who 'd been keen on territorial expansion between our two seats ."
6524,an extra five pounds,an five pounds,"Better have some food left over than not enough , I decided , and added an five pounds of ground beef ."
6525,an amazing two weeks,an two weeks,"Here 's to an two weeks . """
6526,a few hundred dollars,a hundred dollars,"She had a hundred dollars saved up , she would use that to make herself presentable . """
6527,a long two weeks,a two weeks,Brad would be gone a two weeks this time .
6528,a few hundred yards,a hundred yards,We 're both lucky it happened there and not a hundred yards sooner .
6529,a good two miles,a two miles,It was a two miles to the nearest neighbor and six miles to town .
6530,a few hundred bucks,a hundred bucks,"There was n't much , just a hundred bucks , but it would get Charlotte on the road and out of town , hopefully before anyone realized what happened ."
6531,a great straight ten days,a ten days,"Cavanaugh thought he 'd had a ten days after earning about $ 16,500 for a few finishes at riding competitions ."
6532,a good five minutes,a five minutes,"We had to have been on the driveway for a five minutes before the trees started to thin , and I sat up a little straighter in my seat as his mom 's house popped into view ."
6533,a least thirty steps,a thirty steps,"Suddenly , without warning , he was flung out , there was no tunnel , he was a thirty steps in the air , cold water cascading all around him , and he was falling , into an enormous lake ."
6534,a good five minutes,a five minutes,He stopped and seemed frozen for a five minutes .
6535,a few hundred feet,a hundred feet,What lay just a hundred feet from shore was a spectacle of light and color .
6536,a boundless billion halves,a billion halves,"She could either lasciviously snap the buds of my tongue into a billion halves ; or could inexhaustibly tremble and slaver for even the slightest trace of her persona to emanate from my fervent breath ; every unfurling instant of her destined lifetime ,"
6537,a good 6 inches,a 6 inches,It was hard to imagine considering she was a 6 inches shorter than he but probably still could n't weigh much more than one - hundred pounds .
6538,a good thirty cars,a thirty cars,Pulling into the museum parking lot he guessed there were a thirty cars or so — many more than he would have expected .
6539,a good ten or fifteen years,a ten or fifteen years,"A slender , elderly , man who was probably a ten or fifteen years older than the Smiths greeted him ."
6540,a good four houses,a four houses,Bright red lights flashed about the room even though they were a four houses away from the corner .
6541,a good twenty miles,a twenty miles,"Rachel 's smiled enveloped Daniel and wished he could think of something fun for them to go do together , but the closest movie theater and real restaurants were a twenty miles away ."
6542,a good four or five seconds,a four or five seconds,"Lightning flashed again outside , though the thunder was a four or five seconds off and muted somewhat by the heavy clouds , he could see that there was a puddle in the dormer ."
6543,a full 48 hours,a 48 hours,"They told him of course that he could n't report a missing person for a 48 hours , and that as she was n't related , and was living there temporarily that there was no reason to suspect anything but a voluntary absence ."
6544,a good fifty yards,a fifty yards,The light that shone seemed to land upon a small figure a fifty yards into the forest .
6545,a few hundred years,a hundred years,"In a hundred years , they 'd overrun this planet too , and the process would begin all over again ."
6546,a few thousand feet,a thousand feet,Or we could be a thousand feet up with an angry robot that decides to smash us for leaving it behind .
6547,a few thousand members,a thousand members,"If we stay in space , the worst that happens is a thousand members of a dying species succumb to the natural order . """
6548,an additional 30 days,an 30 days,"The figure of 1,290 days adds an 30 days whereas the figure of 1,335 days adds another 45 days ."
6549,a few hundred yards,a hundred yards,"Heath battled the wind and snow to make it to our house , which was only a hundred yards from his front door ."
6550,a few billion dollars,a billion dollars,""" Your husband has a billion dollars ."
6551,an extra three seconds,an three seconds,"By holding down the button for an three seconds , he could override the automatic water conservation features ."
6552,a comfortable 71 degrees,a 71 degrees,The building temperature was a 71 degrees Fahrenheit .
6553,a full eighteen inches,a eighteen inches,The sergeant leaped back a eighteen inches and landed bolt upright .
6554,a good ten miles,a ten miles,Southampton looked like the best port to head for : although it had the longest of the three ferry crossing to the Isle of Wight it was also the closer to them by a ten miles .
6555,a full five minutes,a five minutes,They waited a five minutes until the roar had died away and extracted themselves from the thorn bush .
6556,a few hundred metres,a hundred metres,Parker responded in kind and the tussle continued for a hundred metres until it was interrupted by a grey shape lurching up the path towards them .
6557,a good twenty metres,a twenty metres,There was a twenty metres to the track below . '
6558,a few hundred years,a hundred years,"Wait until you 've been with him for a hundred years , like me . """
6559,a full eight inches,a eight inches,Their largest life jacket was a eight inches too small to fit around me and zip up .
6560,a few hundred yards,a hundred yards,In all the confusion and metal policeness of the situation the lads did not notice Olander 's car pull up a hundred yards away from them .
6561,a few hundred yards,a hundred yards,"They found their chalet , only a hundred yards from the bus stop , and were soon unpacked , and in bed ."
6562,a full seven minutes,a seven minutes,"He pondered this again and again , for a seven minutes , and then his mind wandered onto football , cakes , and ice cream ."
6563,a few thousand humans,a thousand humans,"After all , there were only a thousand humans on this planet , so in theory he could actually greet and meet each one as they arrived ."
6564,a few thousand settlers,a thousand settlers,"From where she stood now , Space Port City , the capital of Aves , looked much like any Earth - side spaceport , though she knew that it was populated by only a thousand settlers ."
6565,a few thousand years,a thousand years,"Well within a few million Earth years , I 'd wager ; perhaps only a thousand years ."
6566,a few hundred meters,a hundred meters,"Only a hundred meters above the ground , they flew past a small landing strip and continued to fly north of the town . """
6567,a few hundred meters,a hundred meters,Carrying such weight was not too difficult for the blackbirds ; they had to only fly with their human cargo a hundred meters before they reached relative safety on a nearby hill .
6568,a few thousand years,a thousand years,"A great part of the region was covered with green areas and springs as stated in the Qur'an , less than a thousand years ago , and the people of the region made use of these endowments ."
6569,a very quiet two days,a two days,It was a two days with much speculation as to what unicorns did to celebrate .
6570,a good thirty feet,a thirty feet,The floor was a thirty feet down .
6571,"a whopping 50,000 thoughts","a 50,000 thoughts","This can be a 50,000 thoughts a day ."
6572,a very long ten seconds,a ten seconds,"Clark and I sit there , breathing through our oxygen masks in calm silence for a ten seconds as we coast through the smoke and finally into the clear night air ."
6573,a few hundred miles,a hundred miles,"It looks like the path will stay a hundred miles to the east of us , but we 're definitely going to feel the impact starting at about 5:00 A.M. I 'm expecting swells of around thirty feet ."
6574,a further sixty years,a sixty years,"He lived with the horror of those memories for a sixty years , until he finally attempted to avenge his family by marching to the East Lands with only a host of companions to fight at his side ."
6575,a solid two days,a two days,"His mind was suddenly alive with Angel - Magic as he sensed that his endurance had recovered more than adequately , compared to a two days sleep , and full stomach of the types of energizing and healing sustenance only this world could provide ."
6576,a further seven days,a seven days,It took a seven days for the first letter from Torin to arrive .
6577,a further six days,a six days,"It would take a six days for the entire army to reach the fortified walls , so his only option was to send a small army of wielders on altherin horses , with a substantial guard to protect them , while a rescue team of Aldebrands and Alit'aren try to infiltrate the keep ."
6578,an entire two days,an two days,"Volos rolled his eyes and replied with an ocean - deep voice , "" Yeah , an two days ! """
6579,a good six feet,a six feet,"A large boulder stuck up out of the ground a six feet , with a few smaller boulders littering the area around it ; they were keeping the brush and trees from growing nearby ."
6580,a good fifteen feet,a fifteen feet,"Once he was back a fifteen feet , he yelled to the group , "" Turn around and go home ."
6581,a mere three feet,a three feet,"He intercepted her lunge a three feet away from Sara , who shrieked in surprise ."
6582,a full five minutes,a five minutes,Mystique waited a five minutes before she finally went to see if Daemon was still alive .
6583,an extra fifteen feet,an fifteen feet,The blast had lifted her and thrown her an fifteen feet and she 'd slid to a stop when she 'd landed .
6584,a full five minutes,a five minutes,The glow never grew as intense as it had when she healed Stacey but it lasted almost a five minutes before Angelica finally let go of Nelson 's hands .
6585,a few million stars,a million stars,"The Entity is a nebula much like any other : hot gases , interstellar dust , a million stars ."
6586,a mere twenty yards,a twenty yards,"At the last checkpoint , which was in the Pilot 's Quarter , I saw my uncle a twenty yards ahead ."
6587,a mere seven hours,a seven hours,"After a seven hours of intime , he tasted the pungent fruit of genius ."
6588,a mere billion miles,a billion miles,I was a billion miles from the battle .
6589,a mere five blocks,a five blocks,"In walking a five blocks , he encountered three separate groups of heavily armed men ."
6590,a mere two paces,a two paces,"To punctuate her threat , a bolt of lightning struck the ground a two paces in front of the south gate ."
6591,an extra 500 calories,an 500 calories,"As I progressed , my strategy for steady and effective fat release became a 500 - calorie per day deficit on my calorie intake and to burn an 500 calories with my activity levels ."
6592,a mere three yards,a three yards,"His flashlight glowed ever dimmer , illuminating a three yards of space before him , a dull , jaundiced yellow , a sickly lesion of light ."
6593,a few thousand years,a thousand years,It 's a thousand years from now .
6594,a full six days,a six days,"It would take a long journey and a six days to know each other thoroughly , meaning that they all knew of each other anyway ."
6595,a few hundred feet,a hundred feet,"Quite a hundred feet away , that was for sure ."
6596,a further three minutes,a three minutes,"Phoebe stood and listened for a three minutes . """
6597,a full five days,a five days,No matter what you hear happening above stay in here for a five days .
6598,a few hundred yards,a hundred yards,Two stood raised in dry dock far off in the distance and three more were moored in the a hundred yards off in the water .
6599,a good two feet,a two feet,"He felt a deep satisfaction as the sailor 's foot gave way and fell with him a two feet , as it dropped he pulled himeself up a reached up and grabbed onto the waist of the man pants which gave him a firm grip ."
6600,a few hundred years,a hundred years,* The description of a plucked brand was given by Amos a hundred years earlier ...
6601,a good three heads,a three heads,"Carved from dark red stone , the statue was a three heads taller than either of them ."
6602,a few thousand beings,a thousand beings,"The aromas of cooking food masked the danker , heavier odors of the badly - maintained hygiene of a thousand beings ."
6603,a few hundred pounds,a hundred pounds,"A forklift outweighed whatever it tried to lift , this suit only added a hundred pounds to the weight of the user ."
6604,a couple thousand Gs,a thousand Gs,"State of the art in silicone , the traditional material for solid - state equipment , could barely handle a thousand Gs ."
6605,a few hundred watts,a hundred watts,"The plastic was flexible , rugged , lightweight , and could handle a hundred watts , more than enough to guide a missile ."
6606,a few hundred feet,a hundred feet,"Some boards had been replaced , the solar was new , as was the electric water pump and new pipes to the spring a hundred feet away ."
6607,a mere four hours,a four hours,"She had to be at work at 6:30 AM , which meant she had to be at the bus at 5:35 AM and awake at 5:05 at the latest , a four hours away ."
6608,an extra twenty minutes,an twenty minutes,"After taking the clean laundry home , they rode an twenty minutes on the bus , then walked another ten blocks to a Wal - Mart ."
6609,a few hundred watts,a hundred watts,"What is it , a hundred watts ? """
6610,an additional two doors,an two doors,"There were four metal doors per level , with an two doors between floors ."
6611,a few hundred feet,a hundred feet,Only to die from a mine a hundred feet short of the other side .
6612,a good twenty feet,a twenty feet,The turret had been ripped open and sat a twenty feet away .
6613,a full twenty minutes,a twenty minutes,It was a twenty minutes before Dana finished with the paperwork .
6614,a good ten feet,a ten feet,"Large golden wings , fiery eyes , dark barbs delineating a powerful back all the way down to a long tail , Zoricah 's dragon must have been a ten feet long with a wingspan of probably twice that length ."
6615,a good twenty feet,a twenty feet,"Moments later , the coyotes slowed — their prey cornered — caught where two walls right - angled , creating a solid , impenetrable intersection a twenty feet high ."
6616,a skinny six inches,a six inches,"While Jude was overweight and struggling with acne and her bad temper , Porter was a six inches shorter , with a crooked nose way too big for his face ."
6617,a good ten degrees,a ten degrees,It 's always a ten degrees cooler there and — let 's face it — you've got the ocean and the beach .
6618,a few thousand dollars,a thousand dollars,"The ten - year - old Nissan 350Z was still on finance , she still had a thousand dollars of student debt ."
6619,a whole two years,a two years,"I waited a two years to get you alone . """
6620,a mere eighteen years,a eighteen years,"Henry was a relative new comer on staff , having been with us a eighteen years ."
6621,a good two acres,a two acres,"They lived lavishly , in a very large house in the suburbs , their property a two acres fronting the river ."
6622,a good four fingers,a four fingers,"It was empty , a four fingers of scotch disappeared without my knowing it ."
6623,a few million years,a million years,In about fifteen minutes we 'd time - traveled a million years .
6624,a good forty yards,a forty yards,"I parked the Volvo on the street , across from my flat , and cursed ; I 'd have to carry her a forty yards ."
6625,a good forty minutes,a forty minutes,Franky had to lie there a forty minutes .
6626,a few hundred yards,a hundred yards,"Behind me , a hundred yards , the sibilant sea washed the beaches and I 'm sure I heard the gulls ."
6627,a full forty minutes,a forty minutes,"Mind you , after a forty minutes of my thrustings she probably needed something to salve her inflamed and dry tissues ."
6628,a good three feet,a three feet,Water collected half way down the drive and filled the garage to a depth of what looked to be a three feet .
6629,a good thirty or forty metres,a thirty or forty metres,He beats me to the drive shed by a thirty or forty metres .
6630,a good twenty minutes,a twenty minutes,"Compounded with varied pricing and purported nutritional value , Colt always ended up spending a twenty minutes trying to decide ."
6631,a good ten meters,a ten meters,"The waters must 've been a ten meters below him , and the way they crashed against the hull certainly did not look inviting ."
6632,a good 35 minutes,a 35 minutes,I sat in the restroom for a 35 minutes .
