idx,construction,corrupted_construction,corrupted_sentence
6201,a whole two seconds,a whole two second,My mother gazed at Batsheva for a whole two second before bobbing her head slowly .
6202,a good two kilometers,a good two kilometer,"Up on the ship , a good two kilometer from where she had gone under , Thelton watched in horror as Indy slipped into the water ."
6203,a good five minutes,a good five minute,Anya told me he stood there for a good five minute with a torn expression plastered to his face .
6204,a good ten minutes,a good ten minute,"After hugging one another for a good ten minute , I finally let her get in her car and go home ."
6205,a good ten minutes,a good ten minute,We 'd been walking for a good ten minute along a dirt path and still no sign of the guys anywhere .
6206,a further sixty minutes,a further sixty minute,""" I have to wait a further sixty minute . """
6207,a few hundred words,a few hundred word,"To need as few words as possible , to set your mind free from their restraints , was one of the highest virtues ; the Sages of the Circle prided themselves in using no more than a few hundred word ."
6208,a mere six months,a mere six month,"So much of their lives had come to revolve around food , and the lack of it , it was hard to believe that a mere six month ago their household was as happy as any hard - working Farmer 's ."
6209,a further three months,a further three month,"Now , a further three month on , she was on her way , four glorious weeks in Australia : first the reef , then Sydney , and lastly the outback ."
6210,a few hundred yards,a few hundred yard,"After a few hundred yard all sign of water was gone , returned to sky or its underground source , and there was only desert again ."
6211,a couple hundred metres,a couple hundred metre,"As they drove between two large sand dunes , in the mid - afternoon , Mark sighted a big bullock trotting east towards the ridge of sand a couple hundred metre away ."
6212,a good 300 metres,a good 300 metre,"The bullock had stopped in a patch of scrub , at the foot of a big dune , now a good 300 metre away ."
6213,a good four hours,a good four hour,"I 'm lucky to be looking forward to a good four hour kip at the wharf before the boat loading starts in the morning . """
6214,a few hundred yards,a few hundred yard,"Both pilots , the head stockman and Mark engaged in a brief conversation and the riders were given instructions : two were to ride out a few hundred yard to a place where the valley narrowed and there was an open grassy area ."
6215,a few hundred yards,a few hundred yard,"Mark turned to Susan and pointed towards some buildings a few hundred yard away . """
6216,a few hundred yards,a few hundred yard,"As they circled for landing , Susan saw a boat with two men , along a tributary a few hundred yard from the river mouth ."
6217,a bare five metres,a bare five metre,"Fifty metres , then twenty , then it came past a bare five metre from their boat ."
6218,a few hundred yards,a few hundred yard,"But , instead of proceeding across , he drove off - road and went up the riverbank a few hundred yard ."
6219,a few hundred yards,a few hundred yard,"She almost felt relief when , a few hundred yard later , it ended in another gate ."
6220,a good ten minutes,a good ten minute,"She luxuriated in the hot water and steam for a good ten minute ; she was determined to wash every trace of the outback from her body , washing it out of her soul might not be so easy , but she would try ."
6221,a long five minutes,a long five minute,"When he came close to the water 's edge he sat down , real still , for a long five minute , looking for any sign that a big lizard was lurking ."
6222,a good ten metres,a good ten metre,It seemed to take an age until it was a good ten metre back from the edge and the struggle abated .
6223,a few hundred yards,a few hundred yard,They walked a few hundred yard until they were well out of sight of the others .
6224,a bare 20 metres,a bare 20 metre,Now it was a bare 20 metre from where they stood and it was still powering towards them .
6225,a bare five metres,a bare five metre,"It passed them by , a bare five metre from the water 's edge ."
6226,a bare 1–2 metres,a bare 1–2 metre,They were ten metres back from the edge and it was a bare 1–2 metre from the edge itself .
6227,a few hundred yards,a few hundred yard,There was a lovely sandstone church a few hundred yard from the restaurant .
6228,a comfortable 72 degrees,a comfortable 72 degree,She marveled at the thermostat ( set at a comfortable 72 degree ) and the food that was already in the fridge .
6229,a few hundred yards,a few hundred yard,"Charleo climbed back down and went a few hundred yard , pulled a shell horn from the pouch on his hip , and blew the "" all be safe "" sound ."
6230,a few hundred yards,a few hundred yard,"The wightling army halted a few hundred yard from the center of the battlefield , opposite the chukkon warriors ."
6231,an impressive 20 feet,an impressive 20 foot,"When the elephantine creatures reared and stood on their two hind legs , they became an impressive 20 foot tall ."
6232,a mere thirteen months,a mere thirteen month,"I had n't seen her before , but I had joined the dance studio last July when I moved here , a mere thirteen month ago ."
6233,a few hundred yards,a few hundred yard,"Holding my hand , Sheila guided me through the green lawn for a few hundred yard , until we were on top of another hill ."
6234,a stiff twenty years,a stiff twenty year,"He got a stiff twenty year , I sure do n't envy him . """
6235,a good two days,a good two day,It always took Robert Martin a good two day to reach Djambo 's village .
6236,a balmy fifty degrees,a balmy fifty degree,The temperature was a balmy fifty degree with no wind .
6237,a good ten years,a good ten year,"Fifty is nothing nowadays , it 's the new thirty five , and you look awesome ; a good ten year younger . """
6238,a balmy 76 degrees,a balmy 76 degree,"The temperature was a balmy 76 degree , but he was covered with insects ."
6239,a good fifteen minutes,a good fifteen minute,He kept running for a good fifteen minute before he stopped to catch his breath .
6240,a good hundred yards,a good hundred yard,"The hut was a good hundred yard deep into the lush vegetation , and he could not possibly be seen from the beach ."
6241,a long two days,a long two day,It had been a long two day for him .
6242,a few hundred yards,a few hundred yard,The Ansbro family probably joined their neighbours on top of Rushill just a few hundred yard from their cabin .
6243,a mere 1000 men,a mere 1000 man,"In the same year , 1798 , General Humbert landed safely in Mayo with a troop comprising a mere 1000 man ."
6244,a few thousand miles,a few thousand mile,The fear of just a few weeks and a few thousand mile passed no longer held her .
6245,a few hundred gallons,a few hundred gallon,"It may have rarely held more than a few hundred gallon of rain water at any given time , used to water the flowers and plants the garden center sold ."
6246,a few hundred feet,a few hundred foot,"He had set out limping , staggering , but had managed a fairly reasonable walk after a few hundred foot ."
6247,a few hundred feet,a few hundred foot,"There was very little room , but there was a building at their backs and a wide view of the downtown area and the edge of the ravine a few hundred foot away ."
6248,a few million dollars,a few million dollar,"He just socked it into a bank account and left it there , when he explains this towards the end of book one he gives the impression that knowing that money was there ( He talks about a few million dollar ) was a big deal to him , as though it may have ruled his life ."
6249,a good ten minutes,a good ten minute,"I wait a good ten minute before I even try to sit up , then I dress in the bathroom , just in case she has forgotten something and comes back to the room ."
6250,a good ten minutes,a good ten minute,Neither of us speaks for a good ten minute .
6251,a couple hundred dollars,a couple hundred dollar,After dropping a few candy bars on the table she took a couple hundred dollar from the case and a pack of smokes from the carton and walked down the street in Boland Creek .
6252,a full six inches,a full six inch,"They were a strange contrast , with Mason standing at a full six inch over Karen ."
6253,a good five minutes,a good five minute,Adam scowled at the phone and waited for a good five minute before General Moreland 's voice came onto the line .
6254,a few hundred feet,a few hundred foot,He walked out and looked at the guard post from a few hundred foot away .
6255,a scant five feet,a scant five foot,It bounced off his shoulder and fell down the shaft that was now a scant five foot away from the fighting men .
6256,a good thirty seconds,a good thirty second,We had already walked for at least a good thirty second .
6257,a good hundred feet,a good hundred foot,"We had walked a good hundred foot from the trap in the building . """
6258,a good three seconds,a good three second,They slapped and wacked each other for a good three second .
6259,a good ten minutes,a good ten minute,They worked on it for a good ten minute before they finally smudged and smeared it enough to break through .
6260,a few million years,a few million year,""" Sadly , in a few million year the magnetism will tear this planet apart and it 'll all be gone , "" she said , frowning ."
6261,a mere three years,a mere three year,"CeCe called , urging her uncle - a mere three year older than the trio - to hurry . """
6262,a mere ten seconds,a mere ten second,Sheila 's lips still vibrated from a kiss that had lasted ten minutes in a mere ten second .
6263,a few hundred years,a few hundred year,"His last order had been to survey Carçus City , logging any structures or buildings that might be beneficial to the new cities his brethren would start creating in a few hundred year ."
6264,an additional four days,an additional four day,"The next best route would take us an additional four day and five hours of walking . """
6265,a few hundred pounds,a few hundred pound,"She was just about to scold them when Traskk appeared , holding the entire stack of panels — a few hundred pound ' worth of blast - proof paneling from Hector 's ship ."
6266,a few hundred inhabitants,a few hundred inhabitant,I made the mistake of assuming a village would have only a few hundred inhabitant and maybe a main square with a road leading off in each direction .
6267,a good fifteen minutes,a good fifteen minute,Delphina laid her head on the closed toilet seat and cried for a good fifteen minute .
6268,a scant five or six weeks,a scant five or six week,"When Nicolas returned , assuming that all went well and he did indeed return in a timely manner and all in one piece , there would be a scant five or six week until her expected confinement ."
6269,a generous two fingers,a generous two finger,"He walked to the cabinet and poured himself a generous two finger of scotch and carried it through to the master bathroom , not turning on the lights ."
6270,a full 180 degrees,a full 180 degree,The 7th house of course drawn opposite the ascendant a full 180 degree .
6271,a * * thousand years,a * * thousand year,"But , beloved , do not forget this one thing , that with the Lord * * one day * * _ is _ as a * * thousand year * * , and a * * thousand years * * as * * one day * * ."
6272,a mere five metres,a mere five metre,"He quickly got to his feet and made his way towards the door , a mere five metre from the living room ."
6273,an interesting three years,an interesting three year,It will be an interesting three year .
6274,a good five minutes,a good five minute,It takes a good five minute of hard body - wrenching sobs .
6275,a few extra thousand shillings,a few extra thousand shilling,"I do n't make off with a lot , just a few extra thousand shilling ."
6276,a good five minutes,a good five minute,"He holds it , walks out of the room into an inner room for a good five minute ."
6277,a good thirty minutes,a good thirty minute,Each artiste gets a good thirty minute .
6278,a good five minutes,a good five minute,"After a good five minute , she pulls herself together ."
6279,a mere three years,a mere three year,"At a mere three year older than me , he looks quite well - kept quite the handsome gent and groomed to a tee and well mannered ."
6280,a good ten yards,a good ten yard,"Pine needles pricked her mercilessly , but she followed Sean a good ten yard away from the inn despite the pain before turning back to look at the building ."
6281,a good two decades,a good two decade,"Carly was only three years out of college , a good two decade younger than Carter . _"
6282,a few hundred meters,a few hundred meter,Cold water soaked Lana 's boots as Dan kept them on the creek 's edge for a few hundred meter before veering into the surrounding forest .
6283,a few hundred meters,a few hundred meter,"The destruction disappeared by mile marker five , only a few hundred meter from the turnoff to her condo community ."
6284,a few hundred meters,a few hundred meter,A military transport rolled from the main road leading out of the forest a few hundred meter away towards the town .
6285,a good three inches,a good three inch,"He had the loose - limbed build of a basketball player , and at six - foot - three , he had a good three inch on me ."
6286,a balmy thirty degrees,a balmy thirty degree,"Overnight , it had warmed up to a balmy thirty degree , and the barn was fragrant with the long familiar smells of horse , hay , and sawdust ."
6287,a good four inches,a good four inch,He had a good four inch on me .
6288,a good four inches,a good four inch,"He was a lanky black man , a good four inch taller than me , with close - cropped hair and a narrow mustache . """
6289,a good fifty yards,a good fifty yard,"I nearly lost my nerve then , but the barn would muffle most of the sound , and the house was a good fifty yard beyond ."
6290,a tense thirty seconds,a tense thirty second,Russell endured a tense thirty second as the card machine decided what to do with the American Express card .
6291,a literal 72 hours,a literal 72 hour,"Yet , 17:23 uses an expression ( "" on the third day "" ) that implies a _ shorter _ period of time – if we demand that Matthew 12:40 ( "" three days and three nights "" ) must be a literal 72 hour ."
6292,a full 72 hours,a full 72 hour,"1 Samuel 30 indicates that "" three days and three nights "" was an expression that did not necessarily mean a full 72 hour ."
6293,a few hundred feet,a few hundred foot,The face was only a few hundred foot tall and not completely vertical .
6294,a few hundred yards,a few hundred yard,It was only seconds before the first parts of the drift caught them a few hundred yard from the base .
6295,a full sixty pounds,a full sixty pound,"She was three and a half feet tall , while he was four feet in height , a full sixty pound heavier than she was ."
6296,a perfectly healthy 6 lbs,a perfectly healthy 6 lb,And my son is a perfectly healthy 6 lb 7 oz .
6297,a mere ten feet,a mere ten foot,Ravi awoke a mere ten foot from the mouth of the crevasse .
6298,a few thousand years,a few thousand year,"I mean who 's to say any of this will matter in a few thousand year . """
6299,a few hundred yards,a few hundred yard,He ran the Lady Marie aground a few hundred yard up the shore from the farthest ship .
6300,a good four inches,a good four inch,"He was a good four inch taller , his dark wavy hair slicked by the water ."
6301,a few hundred marines,a few hundred marine,"Your security garrison consists of what , a few hundred marine and other officers ? """
6302,an additional ten sympathizers,an additional ten sympathizer,In total they managed to recruit an additional ten sympathizer .
6303,an entire two weeks,an entire two week,For an entire two week before leaving I had called hostels and looked for availability and found none .
6304,a good fifteen seconds,a good fifteen second,"Slowly , after a good fifteen second , he turned it away from my face and , with a shaking arm , he aimed it at the book on the floor ."
6305,an arbitrary thirty minutes,an arbitrary thirty minute,"By not blocking off an arbitrary thirty minute , the discussion gets done in exactly the time required ."
6306,"a mere 525,500 pounds","a mere 525,500 pound","Without fuel , the Saturn V weighed a mere 525,500 pound ( 239,725 kg ) ."
6307,a few hundred dollars,a few hundred dollar,"We learned a valuable lesson for just a few hundred dollar in advertising . """
6308,a diverse 16 years,a diverse 16 year,"His experience spans a diverse 16 year in retail and SaaS startups across healthcare , mar - tech , and ad - tech , and productivity software sectors ."
6309,a good three miles,a good three mile,Plymouth was a good three mile distant .
6310,a good two hours,a good two hour,"It must have been eight o'clock , a good two hour after I usually dragged myself out of bed ."
6311,a hectic three months,a hectic three month,It had been a hectic three month .
6312,a good two months,a good two month,"It had been a good two month for both of them , both on and off the court ."
6313,a muscular 130 pounds,a muscular 130 pound,Lisa had matured and was now 5'7 ' and a muscular 130 pound .
6314,an additional two years,an additional two year,"FTO designations automatically expire after two years , but the Secretary of State may designate an organization for an additional two year upon a finding that the statutory criteria continue to be met ."
6315,a good twenty minutes,a good twenty minute,"Anyways , our conversation which lasted for a good twenty minute was followed by a lot more of walking around the ancient city of Istanbul ."
6316,a few hundred yards,a few hundred yard,"After the launch and both lifeboats were in the water and the _ Kaipo _ had drifted safely a few hundred yard away from them , Wil secured the wheel on a course due south and moved to the foremast ."
6317,a full ten degrees,a full ten degree,"It was cool a full ten degree cooler inside , as if the AC were running ."
6318,a mere five times,a mere five time,Moreland 's book _ Love your God with all your Mind : The Role of Reason in the Life of the Soul _ manages to mention the name ' Christ ' a mere five time ! '
6319,an extra 4 inches,an extra 4 inch,My wash bucket on the back of the boat had an extra 4 inch of water in it after the two days of rain .
6320,a few trillion bots,a few trillion bot,"Just replicate a few trillion bot , configure them into something the enemy expects and send them in the direction the enemy is anticipating ."
6321,a few billion kilometers,a few billion kilometer,""" The general physical dimensions of the Old Ones swarm have been estimated to vary anywhere from a few billion kilometer in breadth to about half a light year ."
6322,a full eight minutes,a full eight minute,"They made their way between the beds , found the elevator which took a full eight minute to make its way to the ground floor ."
6323,an extra two gallons,an extra two gallon,It 'll give us an extra two gallon if we have to hit the road .
6324,a few hundred feet,a few hundred foot,The people just stood and looked at them as they passed on the freeway a few hundred foot away . _
6325,a steady ninety miles,a steady ninety mile,"He kept the bike at a steady ninety mile an hour for the better part of two hours , barely missing an over turned truck in the freeway ."
6326,a few hundred years,a few hundred year,"I always knew he had seen a lot of history , but listening to him now , I wonder if I will sound like this in a few hundred year ."
6327,a good twenty minutes,a good twenty minute,We were a good twenty minute into the presentation when the door opened .
6328,a good twenty minutes,a good twenty minute,I knew it would save me a good twenty minute and exhaustion was starting to set in .
6329,a good eight inches,a good eight inch,The man she was talking to was a good eight inch and 80 pounds bigger than her .
6330,a good four inches,a good four inch,She rose up a good four inch .
6331,a good three inches,a good three inch,His heart dropped a good three inch when he saw her tears .
6332,a few hundred times,a few hundred time,"As I leveled up , the slowing effect would grow , ultimately freezing the target 60 - 70 % , and that could save my skin quite a few hundred time ."
6333,a few hundred feet,a few hundred foot,"When we were a few hundred foot away from the city , I slowed down ."
6334,a good fifty feet,a good fifty foot,"He used a quick spell for a short teleport , reappearing a good fifty foot away from us ."
6335,a good thirty seconds,a good thirty second,"It 's a good thirty second before he replies . """
6336,a paltry sixty kilos,a paltry sixty kilo,""" You need not fetch wood from the barn- plenty here , and kindling as well , "" she spoke without facing me and while hunched over the basin , her spinal column impressed upon the nightgown its knotted likeness ; in guessing , she weighed a paltry sixty kilo ; and her hair had been safely tucked underneath a bonnet ."
6337,a good four years,a good four year,"She had completely ignored their presence as children , and was relieved to have them live in the countryside with the Markhams , where they spent a good four year of their childhood ."
6338,a long five minutes,a long five minute,Chris sat for a long five minute in Elizabeth Page 's desk chair and stared at nothing .
6339,a few hundred dollars,a few hundred dollar,The landlord said we could rent the house for a few hundred dollar a month .
6340,a few hundred feet,a few hundred foot,Jackie shakes her head to get rid of the thought of a dead deer laying a few hundred foot from our campsite .
6341,an extra three hours,an extra three hour,"But that will take an extra three hour . """
6342,a good fifteen minutes,a good fifteen minute,"' You have to ... ' Amy began , then thought better of telling Susannah that the bread should have a good fifteen minute ' hard kneading , not the two or three slaps Susannah was obviously making do with . '"
6343,a few billion dollars,a few billion dollar,"From start to finish , it will take a few billion dollar and four - to - five years to begin production ."
6344,a few hundred yards,a few hundred yard,"At the woods , he made a sharp left and skirted the trees for a few hundred yard ."
6345,a good three ounces,a good three ounce,I mixed hot water in a cup with a good three ounce of slivovitz .
6346,a few million lines,a few million line,"This only comprised a few million line of information that was fed into the neural network before it was brought into awareness , you can think of it as the same process that happens in any animal before it is born , all of its base instincts and living functions intact prior to being born ."
6347,a few thousand years,a few thousand year,""" Kat according to Glitch this ship was placed here just a few thousand year before yours ."
6348,a few million years,a few million year,I just happened to be the first creator that has been on this world in a few million year .
6349,an additional six months,an additional six month,Yes I can start building the drones today it will take about six months to create the drones and an additional six month for the drones to start returning the information on their assigned planets and the systems they have been sent to .
6350,a few million years,a few million year,This look had been on his face for a few million year .
6351,a very interesting thousand years,a very interesting thousand year,This has been a very interesting thousand year .
6352,a nice three fingers,a nice three finger,"I recommend a cold shower for you Twinnie and a nice three finger of Scotch for me . """
6353,a good five years,a good five year,"Alise had introduced them at the Huntington Art Show on Village Green a good five year ago . """
6354,a few hundred meters,a few hundred meter,"Just then he saw Fish stick his head out from around the tree a few hundred meter up the path , his livery looking none the worse for the wear . """
6355,a good six inches,a good six inch,Under normal circumstances he was an extremely tall man who would tower over the others by a good six inch .
6356,an incredibly miniscule 450 millionths,an incredibly miniscule 450 millionth,In our hands we hold a perfectly weighted instrument which comes into contact with the ball for an incredibly miniscule 450 millionth of a second .
6357,a whopping great 121 pages,a whopping great 121 page,"And yet not only content with producing a whopping great 121 page of rules for us to read , interpret , remember and then follow ; the powers that be then go on to grind us into the deepest recesses of boredom with 58 pages of appendices and a 23 page index ."
6358,a whole two days,a whole two day,""" _ But we have a whole two day to come up with a new idea . """
6359,a further 155 miles,a further 155 mile,"The first night we camped just out of Pine Creek , a distance of 175 miles and the following morning we travelled up the bitumen Stuart Highway to Darwin , a further 155 mile , making 330 miles each way ( it is about 150 miles by air ) ."
6360,a few hundred yards,a few hundred yard,"Still no rain , the billabong was now reduced to a small puddle about 2 feet deep , less that 100 yards wide and a few hundred yard long rather than its previous dimensions of about 300 yards wide by 1000 long ."
6361,a couple hundred yards,a couple hundred yard,"A large goanna was spotted a couple hundred yard away , standing up on its back legs , looking over waist high para - grass ."
6362,a few hundred yards,a few hundred yard,Following up a rocky creek bed for a few hundred yard they reached a place where the water cascaded over a series of waterfalls dropping 50 feet into the valley below .
6363,an additional 30 hours,an additional 30 hour,I did and was granted an additional 30 hour .
6364,a further 20 years,a further 20 year,McMahon commented that the ore has been in the ground for millions of years and a further 20 year is hardly going to alter it .
6365,a few hundred yards,a few hundred yard,Then it looked like a snake had crawled along the road for a few hundred yard until a table drain formed the path of least resistance .
6366,a few thousand years,a few thousand year,"Subsequently at other times of peak inter - glacial ocean melting a few thousand year ago sea levels were up to 20 metres higher than today , and all the coastal floodplains we see today of the great rivers of the Top End of the NT would have disappeared into shallow coastal estuaries and deltas , fringed by the sandstones outliers and escarpments of the Arnhem Land Plateau ."
6367,a few hundred animals,a few hundred animal,"At most , assuming a doubling in the original buffalo population every 4 years , there can have been a few hundred animal at this time , for which there would have been adequate food resources remaining on Coburg Peninsula ."
6368,a long five minutes,a long five minute,"It was a long five minute , but Janette made it downstairs ."
6369,a sloppy three fingers,a sloppy three finger,Janette brought up the two hundred dollar bottle of scotch and poured a sloppy three finger into each of the three glasses .
6370,a few hundred yards,a few hundred yard,"He caught them a few hundred yard off the Jericho pier . """
6371,a few hundred yards,a few hundred yard,"We can keep it isolated within a few hundred yard , and ensure only minimal life force is used within those boundaries . """
6372,a full six to eight hours,a full six to eight hour,"Riding a ship for many days , then walking a full six to eight hour , took a toll on the group ."
6373,a few thousand years,a few thousand year,It 's a good deal more complex than that and in my case goes back a few thousand year to the evolution of gender differences .
6374,a full five songs,a full five song,It was a full five song later before she realized she 'd had her eyes closed .
6375,a little past 14 years,a little past 14 year,"Lyn : When I was a little past 14 year old , I had firmly learned that I had these abilities , and actually enjoyed using them , trying new things , etc ."
6376,an extra fifteen minutes,an extra fifteen minute,"The professor , for his part , was feeling generous and gave the stragglers an extra fifteen minute ."
6377,a good three hours,a good three hour,"Still , she forced a good three hour of work on the first draft before she decided to do some yoga ."
6378,a few thousand others,a few thousand other,""" Along with a few thousand other ."
6379,a few hundred meters,a few hundred meter,But Jenkins saw the problem in time and lifted the jumper a few hundred meter with a brief spurt on the rockets .
6380,a few thousand devices,a few thousand device,Maybe a few thousand device at most .
6381,a few hundred meters,a few hundred meter,"While the lifters were being unloaded and a secure post set up a few hundred meter from Camp Matterhorn , Dikesi and Volk picked their way along the streambed toward the edge of the dig ."
6382,a few billion years,a few billion year,Maybe this _ was _ the Engebbe dig site or what it looked like a few billion year ago .
6383,a few trillion times,a few trillion time,We just put ANAD inside the deceased and replicate a few trillion time .
6384,a few million times,a few million time,They increase the efficiency of the exchange ... a few million time .
6385,a few hundred yards,a few hundred yard,"When he was four , he had fallen into Crescent Lake , just a few hundred yard from where they were now ."
6386,a few hundred meters,a few hundred meter,"If he stood to one side of the window , Caden could see the low floodlit dome of the Containment Facility , a few hundred meter south from the barracks compound ."
6387,a scant fifty feet,a scant fifty foot,The shimmer of a nanobotic shield flickered like summer fireflies a scant fifty foot away .... supposedly the OpFor 's barrier to any probing from this sector .
6388,a few billions watts,a few billions watt,Do it quick and pump a few billions watt of RF across the mesa .
6389,an extra 0.5 votes,an extra 0.5 vote,"If residents live near the drilling site , they also hold extra voting weight based on their length of residency to the degree of an extra 0.5 vote per year ."
6390,a further two days,a further two day,"I had hatched plans all day , and devised a clever means of exit , but waited a further two day to ensure that the mud had dried sufficiently for travel around the Munbeorg — though defying the madness that threatened to creep into my idle mind through those two long , endless days was no mean feat ."
6391,a further two hours,a further two hour,"For a further two hour we rode slowly in the direction of Hertha 's villa , a place well - known to Lior , for it had been pointed out by Sigmund less than a week earlier ."
6392,a full nine stories,a full nine story,"The gables changed in height from wing to wing , the tallest a full nine story , while the shortest rose a mere four ."
6393,a further two days,a further two day,"The ladies were absent for a further two day , and I had yet to see Una ."
6394,a further forty years,a further forty year,"Without any further treatments or advances in my cause , I will live at least a further forty year ."
6395,a full twenty paces,a full twenty pace,"The meaty projectile landed a full twenty pace away , then rolled a further nine ."
6396,a full three weeks,a full three week,""" We did some checking and according to the hospital records , you were at the emergency room on September seventeenth , a full three week prior to waking up in the hospital ."
6397,a full three feet,a full three foot,He was a full three foot taller than Toby who refused to back down .
6398,a whopping 100 times,a whopping 100 time,"Though the Trump Organization has about 22,000 employees , Starbucks is ten times that size , Intercontinental Hotels fifteen times larger ; Walmart , the largest private employer in the U.S. , is a whopping 100 time larger ."
6399,a solid ten packs,a solid ten pack,"Besides , she was n't your responsibility at the time , Sam , "" growls a raspy voice that sounds as if it comes from someone who smokes a solid ten pack a day . """
6400,a little salty six months,a little salty six month,"Yes , that really happened and , to be honest , I 'm still a little salty six month later ."
6401,a good four inches,a good four inch,"The Captain was a man only a few years older than Casey , his hair entirely grey and he stood a good four inch shorter than the detective ."
6402,a peaceful three months,a peaceful three month,"I wish you a peaceful three month , Sydel ."
6403,a mere thirty feet,a mere thirty foot,"The shadow stepped into the blazing sunlight , a mere thirty foot away from them ."
6404,a full delirious and stupefying five minutes,a full delirious and stupefying five minute,"One morning on the parade ground the mad relentless bellowing reached a deafening crescendo , and at that the climax of that moment everyone began to shout in rhythmic unison , in time with the left boot striking the ground with a loud shocking thud , _ poes _ , _ poes , poes _ , _ poes _ , _ poes _ , and this went on for a full delirious and stupefying five minute ."
6405,a mere seven days,a mere seven day,It was a mere seven day before they would have reached the critical threshold of forty days when they hit the landmine .
6406,a few hundred metres,a few hundred metre,The gunships had made contact with SWAPO who were now only a few hundred metre ahead of him .
6407,a solid three seconds,a solid three second,I 'd been giving Brandon my crinkled - nose glare for a solid three second before his easy laugh made me realize what I was doing .
6408,an entire five minutes,an entire five minute,"It was a testament to our respect for , or in some cases fear of , Mrs. Campbell that nobody spoke in anything above a whisper for an entire five minute ."
6409,a full twenty seconds,a full twenty second,"I was so caught up in what I was doing , and the ever - so - slowly growing light of interest in Britney 's eyes , that the rest of the class had fallen silent for a full twenty second before the drop in noise registered for me ."
6410,a good ten minutes,a good ten minute,We spent a good ten minute with her trying to offer a variety of covert bribes ranging from the insignificant to things she could n't possibly deliver .
6411,an extra sixteen grams,an extra sixteen gram,"If there was a single person in the class who did n't need any extra credit , it was Alec ; but he calmly loaded the system with an extra sixteen gram , caught Mrs. Alexander 's eye , and then smoothly started the train of weights moving up the ramp , over the wall , through the woods , and right up to Grandma 's house ."
6412,a full fifteen minutes,a full fifteen minute,I waited around for a full fifteen minute before finally heading over to the tutoring lab .
6413,a good ten minutes,a good ten minute,I even finished my assignment a good ten minute before class was scheduled to end .
6414,a good thirty seconds,a good thirty second,We stood like that for a good thirty second before he reached a single finger up and traced the left side of my face as he leaned in slightly .
6415,a good fifteen seconds,a good fifteen second,"He contemplated his response for a good fifteen second , which was probably something like two hours in shape shifter time , before finally touching his pen to the paper again and then passing my notebook back ."
6416,a good twenty kilometers,a good twenty kilometer,"For a good twenty kilometer this continues , Hasan speeding along at a hundred and twenty kilometers per hour , honking , braking , flicking his headlights to scatter them ."
6417,a good fifteen minutes,a good fifteen minute,"I must have lain there a good fifteen minute to an hour , I do n't know how long , because I was out of it ."
6418,a good twenty minutes,a good twenty minute,The video lasted a good twenty minute until it was just about too dark to run the camera .
6419,a few thousand years,a few thousand year,"It 's a bit like the creation theorists being hit with radiocarbon dating , thereby making a laughing stock of the Earth being only a few thousand year old ."
6420,a few thousand years,a few thousand year,We must look at this in the same way as we view the legacies of the ancients of our planet – they vary significantly even over a period of just a few thousand year .
6421,an extra 5 years,an extra 5 year,"If you fight back , I 'll win and you 'll get an extra 5 year for resisting arrest by a Head Peacekeeper ."
6422,a good thirty minutes,a good thirty minute,It took a good thirty minute to circle back around to Mom Stop Number 27 as she 'd started to call it .
6423,a mere 476 years,a mere 476 year,"In a mere 476 year , the religion had risen from an obscure Middle Eastern sect ."
6424,an additional 120 mounds,an additional 120 mound,He piled up an additional 120 mound of heads there .
6425,a few thousand years,a few thousand year,"By going back a few thousand year , it has tried to show that these traits are part of a pattern that has permeated Arab culture so thoroughly that the ready - made excuses do not fly ."
6426,a few hundred votes,a few hundred vote,"In terms of "" intent , "" Gore may have had more voters who "" intended "" to "" vote "" for him , but Bush led in the state by a few hundred vote ."
6427,an additional three years,an additional three year,"For six years , he raised funds and provided the Mujahadeen with logistical and humanitarian aid , then for an additional three year he participated in military planning against the Soviets as a guerilla commander , including the fierce battle of Jalalabad which led the Soviets to finally withdraw from Afghanistan"
6428,a few hundred votes,a few hundred vote,"Certainly , bin Laden was allowed to spread terrorism virtually unimpeded throughout the Clinton years , and came within a few hundred vote in Florida of probably being able to continue for years beyond that ."
6429,a few thousand Jews,a few thousand Jew,"It was wonderful of Speilberg to glorify a flawed Polish businessman who saved a few thousand Jew , but the fact is that it was the United States who saved European Jewry by defeating the Nazis , and then by creating Israel ."
6430,a couple hundred years,a couple hundred year,"History that took a couple hundred year to develop 2,000 years ago now happens in 10 , 20 , 30 years ."
6431,a good five feet,a good five foot,"Those walls need to be a good five foot higher . """
6432,a fashionable ten minutes,a fashionable ten minute,I waited until I was a fashionable ten minute late as Bob told me that everyone does .
6433,an extra million dollars,an extra million dollar,"And I really do get back to my wife and my home , that there will be an extra million dollar in it for you ."
6434,a fresh two inches,a fresh two inch,Streets had recently been cleared by city snow plows but today 's snowfall left a fresh two inch .
6435,a full ten inches,a full ten inch,"She positioned herself as far to the right on the bench as possible , leaving a full ten inch between herself and Robert ."
6436,an agonizing three months,an agonizing three month,She was there for an agonizing three month before she was stolen from him .
6437,a good 6 inches,a good 6 inch,"I had to be a good 6 inch taller than her . """
6438,a good five minutes,a good five minute,The cycle continued a good five minute .
6439,a slow hundred yards,a slow hundred yard,"Wrapped around Hubert , Princess Alix lurched a slow hundred yard down the rough slope until they could take shelter behind a wall of boulders ."
6440,a quick 20 feet,a quick 20 foot,"The frosty head shot a quick 20 foot in the air . """
